R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
  time_Gyr   Prad    Ptidal    Fcore     Pint     Hint     conv melt P(MPa)   zbot     %vol    Tbot     Tm      Fbot     Ftop     dlid   T_core
 0.10000D-01   1.0375   0.0000    0.746   1.0887 0.77537D-08  0  0    6.02    5.000  0.01145  272.75  266.94   72.266  107.357    5.00   274.38
 0.12270D-01   1.0362   0.0000    1.353   1.1074 0.39975D-08  0  0   11.92    9.896  0.01186  272.26  267.51   27.309   63.129    9.90   276.01
 0.14540D-01   1.0349   0.0000    1.771   1.1251 0.26662D-08  1  0   17.93   15.126  0.01233  271.72  267.76   20.433   56.783    7.62   277.64
 0.16810D-01   1.0336   0.0000    2.095   1.1417 0.20415D-08  1  0   23.94   20.109  0.01282  271.20  267.85   17.840   54.667    7.86   279.27
 0.19080D-01   1.0324   0.0000    2.359   1.1568 0.16910D-08  1  0   29.45   24.672  0.01329  270.70  267.86   15.943   53.221    8.03   280.89
 0.21350D-01   1.0311   0.0000    2.581   1.1703 0.14695D-08  1  0   34.44   28.798  0.01375  270.25  267.82   14.472   52.163    8.15   282.52
 0.23620D-01   1.0298   0.0000    2.776   1.1821 0.13174D-08  1  0   38.95   32.524  0.01418  269.83  267.76   13.290   51.346    8.24   284.14
 0.25890D-01   1.0285   0.0000    2.948   1.1919 0.12063D-08  1  0   43.03   35.892  0.01460  269.45  267.67   12.319   50.685    8.31   285.76
 0.28160D-01   1.0273   0.0000    3.104   1.1997 0.11212D-08  1  0   46.73   38.947  0.01500  269.09  267.57   11.515   50.128    8.36   287.37
 0.30430D-01   1.0260   0.0000    3.247   1.2054 0.10533D-08  1  0   50.10   41.729  0.01538  268.76  267.46   10.848   49.641    8.42   288.99
 0.32700D-01   1.0247   0.0000    3.379   1.2088 0.99720D-09  1  0   53.19   44.275  0.01575  268.45  267.33   10.299   49.201    8.46   290.60
 0.34970D-01   1.0234   0.0000    3.503   1.2100 0.94942D-09  1  0   56.03   46.619  0.01610  268.16  267.20    9.853   48.789    8.50   292.21
 0.37240D-01   1.0222   0.0000    3.621   1.2089 0.90757D-09  1  0   58.66   48.792  0.01644  267.90  267.05    9.498   48.393    8.55   293.82
 0.39510D-01   1.0209   0.0000    3.732   1.2055 0.87001D-09  1  0   61.13   50.823  0.01677  267.64  266.89    9.226   48.004    8.59   295.43
 0.41780D-01   1.0196   0.0000    3.839   1.1999 0.83555D-09  1  0   63.44   52.739  0.01709  267.39  266.72    9.028   47.615    8.64   297.03
 0.44050D-01   1.0184   0.0000    3.943   1.1922 0.80337D-09  1  0   65.65   54.562  0.01740  267.16  266.53    8.897   47.219    8.69   298.63
 0.46320D-01   1.0171   0.0000    4.043   1.1824 0.77284D-09  1  0   67.76   56.315  0.01772  266.93  266.33    8.825   46.813    8.74   300.24
 0.48590D-01   1.0159   0.0000    4.142   1.1707 0.74356D-09  1  0   69.82   58.016  0.01803  266.70  266.12    8.807   46.395    8.80   301.83
 0.50860D-01   1.0146   0.0000    4.238   1.1572 0.71524D-09  1  0   71.83   59.684  0.01835  266.48  265.88    8.835   45.963    8.86   303.43
 0.53130D-01   1.0134   0.0000    4.334   1.1421 0.68767D-09  1  0   73.81   61.332  0.01868  266.26  265.64    8.903   45.515    8.93   305.03
 0.55400D-01   1.0121   0.0000    4.428   1.1256 0.66077D-09  1  0   75.78   62.974  0.01902  266.03  265.38    9.005   45.052    8.99   306.62
 0.57670D-01   1.0109   0.0000    4.522   1.1079 0.63447D-09  1  0   77.76   64.621  0.01937  265.80  265.10    9.134   44.574    9.07   308.21
 0.59940D-01   1.0096   0.0000    4.614   1.0892 0.60879D-09  1  0   79.75   66.281  0.01973  265.57  264.81    9.285   44.083    9.15   309.80
 0.62210D-01   1.0084   0.0000    4.707   1.0697 0.58376D-09  1  0   81.77   67.961  0.02012  265.33  264.51    9.451   43.579    9.23   311.39
 0.64480D-01   1.0071   0.0000    4.799   1.0496 0.55943D-09  1  0   83.82   69.666  0.02052  265.08  264.19    9.626   43.065    9.31   312.97
 0.66750D-01   1.0059   0.0000    4.890   1.0293 0.53588D-09  1  0   85.89   71.397  0.02094  264.82  263.86    9.806   42.543    9.40   314.55
 0.69020D-01   1.0046   0.0000    4.981   1.0088 0.51317D-09  1  0   88.01   73.157  0.02139  264.56  263.52    9.984   42.016    9.49   316.13
 0.71290D-01   1.0034   0.0000    5.072   0.9885 0.49140D-09  1  0   90.15   74.944  0.02187  264.29  263.17   10.157   41.486    9.59   317.71
 0.73560D-01   1.0021   0.0000    5.162   0.9684 0.47064D-09  1  0   92.32   76.755  0.02237  264.00  262.81   10.319   40.956    9.68   319.29
