R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
     Pint       Hint       etaref      pCLA conv   zbot     %vol    Tbot     Tm      Fbot     Ftop     dlid
 0.90000D+11 0.22988D-10 0.28184D+14   0.0150  0  153.340  0.28425  189.50  193.72    0.000    2.939  153.34
 0.90000D+11 0.22988D-10 0.31623D+14   0.0150  0  153.340  0.28425  189.50  193.96    0.000    2.939  153.34
 0.90000D+11 0.22988D-10 0.35481D+14   0.0150  0  153.340  0.28425  189.50  194.21    0.000    2.939  153.34
 0.90000D+11 0.22988D-10 0.39811D+14   0.0150  0  153.340  0.28425  189.50  194.45    0.000    2.939  153.34
 0.90000D+11 0.22988D-10 0.44668D+14   0.0150  0  153.340  0.28425  189.50  194.70    0.000    2.939  153.34
 0.90000D+11 0.22988D-10 0.50119D+14   0.0150  0  153.340  0.28425  189.50  194.96    0.000    2.939  153.34
 0.90000D+11 0.22988D-10 0.56234D+14   0.0150  0  153.340  0.28425  189.50  195.22    0.000    2.939  153.34
 0.90000D+11 0.22988D-10 0.63096D+14   0.0150  0  153.340  0.28425  189.50  195.48    0.000    2.939  153.34
 0.90000D+11 0.22988D-10 0.70795D+14   0.0150  0  153.340  0.28425  189.50  195.74    0.000    2.939  153.34
 0.90000D+11 0.22988D-10 0.79433D+14   0.0150  0  153.340  0.28425  189.50  196.01    0.000    2.939  153.34
 0.90000D+11 0.22988D-10 0.89125D+14   0.0150  0  153.340  0.28425  189.50  196.28    0.000    2.939  153.34
 0.90000D+11 0.22988D-10 0.10000D+15   0.0150  0  153.340  0.28425  189.50  196.56    0.000    2.939  153.34
 0.90000D+11 0.22988D-10 0.11220D+15   0.0150  0  153.340  0.28425  189.50  196.83    0.000    2.939  153.34
 0.90000D+11 0.22988D-10 0.12589D+15   0.0150  0  153.340  0.28425  189.50  197.12    0.000    2.939  153.34
 0.90000D+11 0.22988D-10 0.14125D+15   0.0150  0  153.340  0.28425  189.50  197.40    0.000    2.939  153.34
 0.90000D+11 0.22988D-10 0.15849D+15   0.0150  0  153.340  0.28425  189.50  197.69    0.000    2.939  153.34
 0.90000D+11 0.22988D-10 0.17783D+15   0.0150  0  153.340  0.28425  189.50  197.98    0.000    2.939  153.34
 0.90000D+11 0.22988D-10 0.19953D+15   0.0150  0  153.340  0.28425  189.50  198.27    0.000    2.939  153.34
 0.90000D+11 0.22988D-10 0.22387D+15   0.0150  0  153.340  0.28425  189.50  198.57    0.000    2.939  153.34
 0.90000D+11 0.22988D-10 0.25119D+15   0.0150  0  153.340  0.28425  189.50  198.87    0.000    2.939  153.34
 0.90000D+11 0.22988D-10 0.28184D+15   0.0150  0  153.340  0.28425  189.50  199.18    0.000    2.939  153.34
 0.90000D+11 0.22988D-10 0.31623D+15   0.0150  0  153.340  0.28425  189.50  199.48    0.000    2.939  153.34
 0.90000D+11 0.22988D-10 0.35481D+15   0.0150  0  153.340  0.28425  189.50  199.79    0.000    2.939  153.34
 0.90000D+11 0.22988D-10 0.39811D+15   0.0150  0  153.340  0.28425  189.50  200.11    0.000    2.939  153.34
 0.90000D+11 0.22988D-10 0.44668D+15   0.0150  0  153.340  0.28425  189.50  200.42    0.000    2.939  153.34
 0.90000D+11 0.22988D-10 0.50119D+15   0.0150  0  153.340  0.28425  189.50  200.74    0.000    2.939  153.34
 0.90000D+11 0.22988D-10 0.56234D+15   0.0150  0  153.340  0.28425  189.50  201.07    0.000    2.939  153.34
 0.90000D+11 0.22988D-10 0.63096D+15   0.0150  0  153.340  0.28425  189.50  201.39    0.000    2.939  153.34
 0.90000D+11 0.22988D-10 0.70795D+15   0.0150  0  153.340  0.28425  189.50  201.72    0.000    2.939  153.34
 0.90000D+11 0.22988D-10 0.79433D+15   0.0150  0  153.340  0.28425  189.50  202.06    0.000    2.939  153.34
 0.90000D+11 0.22988D-10 0.89125D+15   0.0150  0  153.340  0.28425  189.50  202.39    0.000    2.939  153.34
 0.90000D+11 0.22988D-10 0.10000D+16   0.0150  0  153.340  0.28425  189.50  202.73    0.000    2.939  153.34
 0.10500D+12 0.27023D-10 0.10000D+14   0.0150  0  152.268  0.24601  201.85  200.39   -0.000    3.429  142.12
 0.10500D+12 0.27023D-10 0.11220D+14   0.0150  0  152.255  0.24560  201.98  200.75   -0.000    3.429  138.63
 0.10500D+12 0.27023D-10 0.12589D+14   0.0150  0  152.227  0.24476  202.24  201.31   -0.000    3.429  131.50
 0.10500D+12 0.27023D-10 0.14125D+14   0.0150  0  152.136  0.24206  203.07  202.75    0.000    3.429  108.60
 0.10500D+12 0.27023D-10 0.15849D+14   0.0150  0  152.087  0.24056  203.54  201.82   -0.000    3.429  152.09
 0.10500D+12 0.27023D-10 0.17783D+14   0.0150  0  152.087  0.24056  203.54  201.98   -0.000    3.429  152.09
 0.10500D+12 0.27023D-10 0.19953D+14   0.0150  0  152.087  0.24056  203.54  202.15   -0.000    3.429  152.09
 0.10500D+12 0.27023D-10 0.22387D+14   0.0150  0  152.087  0.24056  203.54  202.33   -0.000    3.429  152.09
 0.10500D+12 0.27023D-10 0.25119D+14   0.0150  0  152.087  0.24056  203.54  202.51   -0.000    3.429  152.09
 0.10500D+12 0.27023D-10 0.28184D+14   0.0150  0  152.087  0.24056  203.54  202.69   -0.000    3.429  152.09
