R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
     Pint       etaref      pCLA   zbot_avg zbot_min zbot_max
 0.42000D+12 0.31623D+14   0.0150  112.470  107.352  117.392
 0.42000D+12 0.35481D+14   0.0150  109.162  103.863  114.291
 0.42000D+12 0.39811D+14   0.0150  105.544  100.072  110.856
 0.42000D+12 0.44668D+14   0.0150  101.609   95.986  107.092
 0.42000D+12 0.50119D+14   0.0150   97.360   91.607  102.994
 0.42000D+12 0.56234D+14   0.0150   92.809   86.943   98.570
 0.42000D+12 0.63096D+14   0.0150   87.981   82.016   93.852
 0.42000D+12 0.70795D+14   0.0150   82.914   76.870   88.879
 0.42000D+12 0.79433D+14   0.0150   77.656   71.552   83.692
 0.42000D+12 0.89125D+14   0.0150   72.265   66.121   78.350
 0.42000D+12 0.10000D+15   0.0150   66.805   60.641   72.918
 0.42000D+12 0.11220D+15   0.0150   61.346   55.180   67.464
 0.42000D+12 0.12589D+15   0.0150   55.955   49.808   62.056
 0.42000D+12 0.14125D+15   0.0150   50.697   44.591   56.759
 0.42000D+12 0.15849D+15   0.0150   45.633   39.592   51.631
 0.42000D+12 0.17783D+15   0.0150   40.813   34.860   46.721
 0.42000D+12 0.19953D+15   0.0150   36.278   30.435   42.080
 0.42000D+12 0.22387D+15   0.0150   32.060   26.361   37.729
 0.42000D+12 0.25119D+15   0.0150   28.179   22.658   33.682
 0.42000D+12 0.28184D+15   0.0150   25.355   21.259   30.224
 0.42000D+12 0.31623D+15   0.0150   23.739   21.146   27.394
 0.42000D+12 0.35481D+15   0.0150   22.843   21.134   25.114
 0.42000D+12 0.39811D+15   0.0150   22.686   21.134   24.263
 0.42000D+12 0.44668D+15   0.0150   22.686   21.134   24.263
 0.42000D+12 0.50119D+15   0.0150   22.686   21.134   24.263
 0.42000D+12 0.56234D+15   0.0150   22.686   21.134   24.263
 0.42000D+12 0.63096D+15   0.0150   22.686   21.134   24.263
 0.42000D+12 0.70795D+15   0.0150   22.686   21.134   24.263
 0.42000D+12 0.79433D+15   0.0150   22.686   21.134   24.263
 0.42000D+12 0.89125D+15   0.0150   22.686   21.134   24.263
 0.42000D+12 0.10000D+16   0.0150   22.686   21.134   24.263
 0.43000D+12 0.10000D+14   0.0150  132.327  129.340  135.082
 0.43000D+12 0.11220D+14   0.0150  131.025  127.826  133.986
 0.43000D+12 0.12589D+14   0.0150  129.597  126.171  132.778
 0.43000D+12 0.14125D+14   0.0150  128.030  124.369  131.442
 0.43000D+12 0.15849D+14   0.0150  126.305  122.407  129.954
 0.43000D+12 0.17783D+14   0.0150  124.405  120.261  128.302
 0.43000D+12 0.19953D+14   0.0150  122.309  117.928  126.450
 0.43000D+12 0.22387D+14   0.0150  119.996  115.372  124.385
 0.43000D+12 0.25119D+14   0.0150  117.442  112.593  122.069
 0.43000D+12 0.28184D+14   0.0150  114.627  109.559  119.487
 0.43000D+12 0.31623D+14   0.0150  111.530  106.258  116.603
 0.43000D+12 0.35481D+14   0.0150  108.132  102.680  113.412
 0.43000D+12 0.39811D+14   0.0150  104.421   98.796  109.881
 0.43000D+12 0.44668D+14   0.0150  100.393   94.619  106.024
 0.43000D+12 0.50119D+14   0.0150   96.053   90.152  101.832
 0.43000D+12 0.56234D+14   0.0150   91.416   85.405   97.319
 0.43000D+12 0.63096D+14   0.0150   86.513   80.406   92.523
 0.43000D+12 0.70795D+14   0.0150   81.382   75.200   87.481
 0.43000D+12 0.79433D+14   0.0150   76.077   69.840   82.242
 0.43000D+12 0.89125D+14   0.0150   70.656   64.385   76.865
 0.43000D+12 0.10000D+15   0.0150   65.188   58.900   71.417
 0.43000D+12 0.11220D+15   0.0150   59.739   53.456   65.967
 0.43000D+12 0.12589D+15   0.0150   54.377   48.122   60.581
 0.43000D+12 0.14125D+15   0.0150   49.168   42.963   55.324
 0.43000D+12 0.15849D+15   0.0150   44.168   38.039   50.252
 0.43000D+12 0.17783D+15   0.0150   39.427   33.391   45.413
 0.43000D+12 0.19953D+15   0.0150   34.981   29.069   40.852
 0.43000D+12 0.22387D+15   0.0150   30.860   25.108   36.585
 0.43000D+12 0.25119D+15   0.0150   27.084   21.520   32.624
 0.43000D+12 0.28184D+15   0.0150   24.729   21.013   29.390
 0.43000D+12 0.31623D+15   0.0150   23.295   20.946   26.670
