R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
   zbot    P(MPa) Hint     conv melt pCLA   Tbot     Tm     etam        k   Fcond_bot Fcond_top   Fbot     Ftop    dlid z_topTBL z_botTBL
   11.59   13.97 0.30851D-08  0  1  0.00800  272.11  268.78 0.13839D+15  2.177   38.892   38.317   22.401   54.727   11.59   11.59   11.59
   11.91   14.36 0.30023D-08  0  1  0.00802  272.08  268.79 0.13773D+15  2.177   37.842   37.266   21.346   53.679   11.91   11.91   11.91
   12.24   14.74 0.29239D-08  0  1  0.00803  272.05  268.81 0.13709D+15  2.177   36.847   36.271   20.346   52.686   12.24   12.24   12.24
   12.56   15.13 0.28495D-08  0  1  0.00805  272.02  268.83 0.13647D+15  2.177   35.903   35.327   19.397   51.744   12.56   12.56   12.56
   12.88   15.52 0.27789D-08  0  1  0.00807  271.98  268.84 0.13586D+15  2.178   35.006   34.431   18.496   50.850   12.88   12.88   12.88
   13.20   15.91 0.27117D-08  0  1  0.00809  271.95  268.85 0.13526D+15  2.178   34.153   33.578   17.638   49.999   13.20   13.20   13.20
   13.52   16.30 0.26476D-08  0  1  0.00811  271.92  268.87 0.13468D+15  2.178   33.340   32.765   16.821   49.189   13.52   13.52   13.52
   13.85   16.68 0.25866D-08  0  1  0.00813  271.89  268.88 0.13411D+15  2.178   32.566   31.991   16.042   48.416   13.85   13.85   13.85
   14.17   17.07 0.25283D-08  0  1  0.00815  271.85  268.89 0.13356D+15  2.179   31.826   31.251   15.298   47.679   14.17   14.17   14.17
   14.49   17.46 0.24727D-08  0  1  0.00817  271.82  268.90 0.13301D+15  2.179   31.120   30.544   14.587   46.975   14.49   14.49   14.49
   14.81   17.85 0.24194D-08  0  1  0.00819  271.79  268.91 0.13248D+15  2.179   30.444   29.869   13.906   46.301   14.81   14.81   14.81
   15.13   18.24 0.23684D-08  0  1  0.00821  271.76  268.92 0.13196D+15  2.180   29.796   29.221   13.254   45.656   15.13   15.13   15.13
   15.46   18.63 0.23196D-08  0  1  0.00823  271.72  268.93 0.13145D+15  2.180   29.176   28.601   12.630   45.038   15.46   15.46   15.46
   15.78   19.01 0.22727D-08  0  1  0.00825  271.69  268.94 0.13095D+15  2.180   28.581   28.006   12.030   44.446   15.78   15.78   15.78
   16.10   19.40 0.22277D-08  0  1  0.00827  271.66  268.94 0.13046D+15  2.180   28.010   27.435   11.454   43.877   16.10   16.10   16.10
   16.42   19.79 0.21845D-08  0  0  0.00829  271.63  268.95 0.12998D+15  2.181   27.461   26.887   10.901   43.331   16.42   16.42   16.42
   16.74   19.79 0.21429D-08  1  0  0.00831  271.59  268.95 0.12951D+15  2.181   26.934   26.359   10.594   43.025   10.03   14.43   16.10
   17.07   20.18 0.21029D-08  1  0  0.00833  271.56  268.96 0.12905D+15  2.181   26.426   25.851   10.484   42.913   10.06   14.36   16.42
   17.39   20.57 0.20644D-08  1  0  0.00835  271.53  268.96 0.12859D+15  2.182   25.937   25.363   10.376   42.803   10.08   14.30   16.75
   17.71   20.96 0.20273D-08  1  0  0.00837  271.49  268.97 0.12815D+15  2.182   25.466   24.891   10.270   42.696   10.10   14.24   17.07
   18.03   21.35 0.19915D-08  1  0  0.00839  271.46  268.97 0.12771D+15  2.182   25.012   24.437   10.167   42.591   10.12   14.18   17.40
   18.35   21.74 0.19570D-08  1  0  0.00842  271.43  268.98 0.12728D+15  2.182   24.573   23.999   10.065   42.487   10.14   14.13   17.72
   18.68   22.13 0.19236D-08  1  0  0.00844  271.40  268.98 0.12686D+15  2.183   24.150   23.576    9.966   42.386   10.16   14.08   18.04
   19.00   22.52 0.18914D-08  1  0  0.00846  271.36  268.98 0.12644D+15  2.183   23.741   23.167    9.868   42.287   10.18   14.03   18.37
