R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
     Pint       Hint       etaref      pCLA conv   zbot     %vol    Tbot     Tm      Fbot     Ftop     dlid
 0.34510D-09 0.67500D+12 0.10000D+16   0.0150  1   72.772  0.02129  264.62  265.81   -2.393   19.868   21.60
 0.30440D-09 0.69000D+12 0.35481D+15   0.0150  1   85.008  0.02497  262.65  264.24    0.294   22.797   17.16
 0.36832D-09 0.69000D+12 0.39811D+15   0.0150  1   69.552  0.02049  265.09  266.06    1.006   23.452   17.11
 0.42071D-09 0.69000D+12 0.44668D+15   0.0150  1   60.536  0.01852  266.36  267.08    1.175   23.619   17.22
 0.47428D-09 0.69000D+12 0.50119D+15   0.0150  1   53.452  0.01721  267.30  267.86    1.202   23.655   17.37
 0.53347D-09 0.69000D+12 0.56234D+15   0.0150  1   47.334  0.01621  268.08  268.51    1.172   23.635   17.54
 0.59663D-09 0.69000D+12 0.63096D+15   0.0150  1   42.182  0.01545  268.70  269.05    1.086   23.562   17.72
 0.66057D-09 0.69000D+12 0.70795D+15   0.0150  1   37.996  0.01487  269.20  269.50    0.942   23.430   17.92
 0.67168D-09 0.69000D+12 0.79433D+15   0.0150  1   37.352  0.01479  269.28  269.79    0.486   22.997   18.27
 0.34982D-09 0.69000D+12 0.89125D+15   0.0150  1   73.416  0.02146  264.52  265.78   -2.278   20.465   20.95
 0.36996D-09 0.69000D+12 0.10000D+16   0.0150  1   69.230  0.02041  265.14  266.23   -2.573   20.184   21.38
 0.36350D-09 0.70500D+12 0.35481D+15   0.0150  1   72.128  0.02113  264.71  265.76    1.005   23.938   16.69
 0.41708D-09 0.70500D+12 0.39811D+15   0.0150  1   62.468  0.01891  266.10  266.86    1.229   24.156   16.79
 0.47092D-09 0.70500D+12 0.44668D+15   0.0150  1   55.062  0.01749  267.09  267.68    1.279   24.214   16.93
 0.52768D-09 0.70500D+12 0.50119D+15   0.0150  1   48.944  0.01646  267.88  268.35    1.241   24.188   17.10
 0.59203D-09 0.70500D+12 0.56234D+15   0.0150  1   43.470  0.01563  268.55  268.92    1.175   24.134   17.27
 0.65861D-09 0.70500D+12 0.63096D+15   0.0150  1   38.962  0.01500  269.09  269.39    1.049   24.021   17.46
 0.71645D-09 0.70500D+12 0.70795D+15   0.0150  1   35.742  0.01458  269.46  269.78    0.826   23.812   17.69
 0.68056D-09 0.70500D+12 0.79433D+15   0.0150  1   37.674  0.01483  269.24  269.98    0.125   23.142   18.15
 0.37800D-09 0.70500D+12 0.89125D+15   0.0150  1   69.230  0.02041  265.14  266.22   -2.435   20.800   20.75
 0.39934D-09 0.70500D+12 0.10000D+16   0.0150  1   65.366  0.01953  265.70  266.63   -2.750   20.499   21.18
 0.35467D-09 0.72000D+12 0.31623D+15   0.0150  1   75.670  0.02207  264.17  265.35    0.928   24.354   16.31
 0.41173D-09 0.72000D+12 0.35481D+15   0.0150  1   64.722  0.01939  265.79  266.61    1.267   24.678   16.38
 0.46776D-09 0.72000D+12 0.39811D+15   0.0150  1   56.672  0.01778  266.88  267.50    1.367   24.783   16.50
 0.52553D-09 0.72000D+12 0.44668D+15   0.0150  1   50.232  0.01667  267.71  268.20    1.351   24.779   16.66
 0.58772D-09 0.72000D+12 0.50119D+15   0.0150  1   44.758  0.01582  268.39  268.78    1.275   24.717   16.83
