R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
   zbot    P(MPa) Hint     conv melt pCLA   Tbot     Tm     etam        k   Fcond_bot Fcond_top   Fbot     Ftop    dlid z_topTBL z_botTBL
   11.59   13.97 0.29617D-08  0  0  0.01201  272.09  268.48 0.14252D+15  2.177   38.886   38.311   23.054   54.064   11.59   11.59   11.59
   11.91   14.36 0.28822D-08  0  0  0.01204  272.05  268.50 0.14187D+15  2.177   37.836   37.261   22.000   53.016   11.91   11.91   11.91
   12.24   14.74 0.28070D-08  0  0  0.01207  272.02  268.51 0.14124D+15  2.177   36.841   36.266   21.000   52.023   12.24   12.24   12.24
   12.56   15.13 0.27356D-08  0  0  0.01210  271.99  268.52 0.14062D+15  2.178   35.897   35.321   20.052   51.082   12.56   12.56   12.56
   12.88   15.52 0.26677D-08  0  0  0.01213  271.95  268.54 0.14002D+15  2.178   35.000   34.425   19.150   50.187   12.88   12.88   12.88
   13.20   15.91 0.26032D-08  0  0  0.01216  271.92  268.55 0.13943D+15  2.178   34.147   33.572   18.293   49.336   13.20   13.20   13.20
   13.52   16.30 0.25417D-08  0  0  0.01219  271.89  268.56 0.13886D+15  2.178   33.334   32.759   17.476   48.526   13.52   13.52   13.52
   13.85   16.68 0.24831D-08  0  0  0.01222  271.85  268.57 0.13830D+15  2.179   32.559   31.984   16.697   47.753   13.85   13.85   13.85
   14.17   17.07 0.24272D-08  0  0  0.01224  271.82  268.58 0.13775D+15  2.179   31.820   31.245   15.953   47.016   14.17   14.17   14.17
   14.49   17.46 0.23738D-08  0  0  0.01227  271.79  268.59 0.13722D+15  2.179   31.113   30.538   15.242   46.311   14.49   14.49   14.49
   14.81   17.85 0.23226D-08  0  0  0.01230  271.75  268.60 0.13669D+15  2.180   30.437   29.862   14.561   45.638   14.81   14.81   14.81
   15.13   18.24 0.22737D-08  0  0  0.01233  271.72  268.60 0.13618D+15  2.180   29.790   29.215   13.910   44.993   15.13   15.13   15.13
   15.46   18.63 0.22268D-08  0  0  0.01236  271.69  268.61 0.13568D+15  2.180   29.170   28.595   13.285   44.375   15.46   15.46   15.46
   15.78   19.01 0.21818D-08  0  0  0.01239  271.65  268.62 0.13518D+15  2.180   28.575   28.000   12.686   43.782   15.78   15.78   15.78
