R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
  time_Gyr   Prad    Ptidal    Fcore     Pint     Hint     conv melt P(MPa)   zbot     %vol    Tbot     Tm      Fbot     Ftop     dlid   T_core
 0.10000D-01   1.0375   0.1200    0.832   1.0800 0.38584D-08  0  0   12.05   10.000  0.01187  272.25  269.18   27.286   62.208   10.00   274.07
 0.12270D-01   1.0362   0.1200    1.468   1.0800 0.26751D-08  0  0   17.43   14.465  0.01227  271.79  269.44   13.312   48.337   14.46   275.89
 0.14540D-01   1.0349   0.1200    1.809   1.0800 0.22621D-08  1  0   20.29   17.135  0.01252  271.51  269.51    8.706   43.786    9.85   277.71
 0.16810D-01   1.0336   0.1200    2.076   1.0800 0.20276D-08  1  0   22.73   19.142  0.01272  271.30  269.54    8.064   43.138    9.98   279.52
 0.19080D-01   1.0324   0.1200    2.313   1.0800 0.18541D-08  1  0   24.93   20.957  0.01290  271.11  269.54    7.543   42.612   10.08   281.34
 0.21350D-01   1.0311   0.1200    2.524   1.0800 0.17212D-08  1  0   26.93   22.599  0.01307  270.93  269.54    7.111   42.176   10.16   283.15
 0.23620D-01   1.0298   0.1200    2.714   1.0800 0.16165D-08  1  0   28.74   24.085  0.01323  270.77  269.53    6.746   41.810   10.23   284.96
 0.25890D-01   1.0285   0.1200    2.888   1.0800 0.15323D-08  1  0   30.38   25.432  0.01337  270.62  269.51    6.435   41.498   10.29   286.77
 0.28160D-01   1.0273   0.1200    3.049   1.0800 0.14633D-08  1  0   31.87   26.652  0.01350  270.49  269.49    6.168   41.229   10.34   288.57
 0.30430D-01   1.0260   0.1200    3.198   1.0800 0.14059D-08  1  0   33.22   27.759  0.01363  270.37  269.47    5.935   40.996   10.38   290.37
 0.32700D-01   1.0247   0.1200    3.339   1.0800 0.13578D-08  1  0   34.44   28.761  0.01374  270.25  269.44    5.732   40.793   10.42   292.18
 0.34970D-01   1.0234   0.1200    3.471   1.0800 0.13171D-08  1  0   35.55   29.669  0.01385  270.15  269.42    5.554   40.615   10.45   293.98
 0.37240D-01   1.0222   0.1200    3.597   1.0800 0.12823D-08  1  0   36.55   30.490  0.01394  270.06  269.40    5.397   40.459   10.48   295.77
 0.39510D-01   1.0209   0.1200    3.716   1.0800 0.12524D-08  1  0   37.46   31.231  0.01403  269.98  269.38    5.259   40.321   10.51   297.57
 0.41780D-01   1.0196   0.1200    3.830   1.0800 0.12267D-08  1  0   38.28   31.900  0.01411  269.90  269.36    5.137   40.199   10.53   299.36
 0.44050D-01   1.0184   0.1200    3.939   1.0800 0.12044D-08  1  0   39.02   32.502  0.01418  269.83  269.34    5.029   40.092   10.55   301.15
 0.46320D-01   1.0171   0.1200    4.044   1.0800 0.11852D-08  1  0   39.68   33.042  0.01425  269.77  269.32    4.934   39.997   10.57   302.94
 0.48590D-01   1.0159   0.1200    4.145   1.0800 0.11685D-08  1  0   40.27   33.524  0.01430  269.72  269.30    4.850   39.914   10.58   304.73
 0.50860D-01   1.0146   0.1200    4.243   1.0800 0.11540D-08  1  0   40.80   33.954  0.01436  269.67  269.29    4.776   39.841   10.60   306.52
 0.53130D-01   1.0134   0.1200    4.337   1.0800 0.11415D-08  1  0   41.26   34.334  0.01440  269.63  269.27    4.711   39.777   10.61   308.30
 0.55400D-01   1.0121   0.1200    4.428   1.0800 0.11307D-08  1  0   41.67   34.670  0.01445  269.59  269.26    4.655   39.721   10.62   310.08
 0.57670D-01   1.0109   0.1200    4.517   1.0800 0.11215D-08  1  0   42.03   34.962  0.01448  269.55  269.25    4.606   39.672   10.63   311.86
 0.59940D-01   1.0096   0.1200    4.603   1.0800 0.11136D-08  1  0   42.35   35.216  0.01452  269.52  269.24    4.564   39.630   10.63   313.64
 0.62210D-01   1.0084   0.1200    4.687   1.0800 0.11069D-08  1  0   42.61   35.434  0.01454  269.50  269.23    4.528   39.595   10.64   315.42
 0.64480D-01   1.0071   0.1200    4.768   1.0800 0.11013D-08  1  0   42.84   35.617  0.01457  269.48  269.23    4.498   39.565   10.65   317.19
 0.66750D-01   1.0059   0.1200    4.848   1.0800 0.10967D-08  1  0   43.03   35.769  0.01459  269.46  269.22    4.473   39.540   10.65   318.96
 0.69020D-01   1.0046   0.1200    4.925   1.0800 0.10931D-08  1  0   43.18   35.892  0.01460  269.45  269.22    4.453   39.521   10.65   320.73
 0.71290D-01   1.0034   0.1200    5.001   1.0800 0.10902D-08  1  0   43.29   35.988  0.01461  269.43  269.21    4.437   39.505   10.66   322.50
 0.73560D-01   1.0021   0.1200    5.075   1.0800 0.10882D-08  1  0   43.38   36.058  0.01462  269.43  269.21    4.426   39.494   10.66   324.27
 0.75830D-01   1.0009   0.1200    5.148   1.0800 0.10868D-08  1  0   43.44   36.105  0.01463  269.42  269.21    4.418   39.486   10.66   326.03
 0.78100D-01   0.9997   0.1200    5.219   1.0800 0.10860D-08  1  0   43.47   36.130  0.01463  269.42  269.21    4.414   39.482   10.66   327.79
 0.80370D-01   0.9984   0.1200    5.289   1.0800 0.10859D-08  1  0   43.47   36.134  0.01463  269.42  269.21    4.413   39.482   10.66   329.55
 0.82640D-01   0.9972   0.1200    5.357   1.0800 0.10863D-08  1  0   43.46   36.120  0.01463  269.42  269.21    4.416   39.484   10.66   331.31
 0.84910D-01   0.9960   0.1200    5.424   1.0800 0.10872D-08  1  0   43.42   36.089  0.01463  269.42  269.21    4.421   39.489   10.66   333.07
 0.87180D-01   0.9947   0.1200    5.490   1.0800 0.10887D-08  1  0   43.36   36.041  0.01462  269.43  269.21    4.429   39.497   10.66   334.82
 0.89450D-01   0.9935   0.1200    5.555   1.0800 0.10905D-08  1  0   43.28   35.978  0.01461  269.44  269.21    4.439   39.507   10.66   336.57
 0.91720D-01   0.9923   0.1200    5.619   1.0800 0.10928D-08  1  0   43.19   35.901  0.01460  269.44  269.22    4.451   39.519   10.65   338.32
 0.93990D-01   0.9911   0.1200    5.681   1.0800 0.10955D-08  1  0   43.08   35.811  0.01459  269.46  269.22    4.466   39.533   10.65   340.07
 0.96260D-01   0.9898   0.1200    5.743   1.0800 0.10985D-08  1  0   42.95   35.710  0.01458  269.47  269.22    4.482   39.550   10.65   341.82
 0.98530D-01   0.9886   0.1200    5.804   1.0800 0.11019D-08  1  0   42.81   35.597  0.01456  269.48  269.23    4.501   39.568   10.65   343.56
 0.10080D+00   0.9874   0.1200    5.864   1.0800 0.11056D-08  1  0   42.66   35.475  0.01455  269.49  269.23    4.521   39.588   10.64   345.31
 0.10307D+00   0.9862   0.1200    5.923   1.0800 0.11097D-08  1  0   42.50   35.343  0.01453  269.51  269.24    4.543   39.610   10.64   347.05
 0.10534D+00   0.9850   0.1200    5.981   1.0800 0.11140D-08  1  0   42.33   35.203  0.01451  269.53  269.24    4.566   39.633   10.63   348.79
 0.10761D+00   0.9838   0.1200    6.038   1.0800 0.11186D-08  1  0   42.15   35.054  0.01449  269.54  269.25    4.591   39.657   10.63   350.52
 0.10988D+00   0.9826   0.1200    6.095   1.0800 0.11234D-08  1  0   41.96   34.899  0.01448  269.56  269.25    4.616   39.682   10.62   352.26
 0.11215D+00   0.9813   0.1200    6.150   1.0800 0.11286D-08  1  0   41.76   34.737  0.01445  269.58  269.26    4.643   39.709   10.62   353.99
 0.11442D+00   0.9801   0.1200    6.205   1.0800 0.11339D-08  1  0   41.55   34.570  0.01443  269.60  269.27    4.672   39.737   10.61   355.72
 0.11669D+00   0.9789   0.1200    6.260   1.0800 0.11395D-08  1  0   41.34   34.397  0.01441  269.62  269.27    4.701   39.766   10.61   357.45
 0.11896D+00   0.9777   0.1200    6.313   1.0800 0.11453D-08  1  0   41.12   34.220  0.01439  269.64  269.28    4.731   39.796   10.60   359.18
 0.12123D+00   0.9765   0.1200    6.366   1.0800 0.11512D-08  1  0   40.90   34.038  0.01437  269.66  269.29    4.762   39.826   10.60   360.91
 0.12350D+00   0.9753   0.1200    6.419   1.0800 0.11574D-08  1  0   40.67   33.852  0.01434  269.68  269.29    4.793   39.858   10.59   362.63
 0.12577D+00   0.9741   0.1200    6.471   1.0800 0.11638D-08  1  0   40.44   33.663  0.01432  269.70  269.30    4.826   39.890   10.59   364.35
 0.12804D+00   0.9729   0.1200    6.522   1.0800 0.11703D-08  1  0   40.20   33.471  0.01430  269.72  269.31    4.859   39.923   10.58   366.07
 0.13031D+00   0.9717   0.1200    6.572   1.0800 0.11770D-08  1  0   39.97   33.277  0.01427  269.75  269.31    4.893   39.957   10.57   367.79
 0.13258D+00   0.9705   0.1200    6.622   1.0800 0.11838D-08  1  0   39.73   33.080  0.01425  269.77  269.32    4.927   39.991   10.57   369.51
 0.13485D+00   0.9693   0.1200    6.672   1.0800 0.11908D-08  1  0   39.48   32.882  0.01423  269.79  269.33    4.962   40.025   10.56   371.22
 0.13712D+00   0.9681   0.1200    6.721   1.0800 0.11979D-08  1  0   39.24   32.682  0.01420  269.81  269.33    4.997   40.060   10.56   372.94
 0.13939D+00   0.9670   0.1200    6.769   1.0800 0.12052D-08  1  0   38.99   32.481  0.01418  269.84  269.34    5.033   40.096   10.55   374.65
 0.14166D+00   0.9658   0.1200    6.817   1.0800 0.12126D-08  1  0   38.74   32.279  0.01415  269.86  269.34    5.069   40.132   10.54   376.35
 0.14393D+00   0.9646   0.1200    6.864   1.0800 0.12201D-08  1  0   38.49   32.076  0.01413  269.88  269.35    5.105   40.168   10.54   378.06
 0.14620D+00   0.9634   0.1200    6.911   1.0800 0.12277D-08  1  0   38.25   31.873  0.01410  269.91  269.36    5.142   40.204   10.53   379.77
 0.14847D+00   0.9622   0.1200    6.958   1.0800 0.12354D-08  1  0   38.00   31.669  0.01408  269.93  269.36    5.179   40.241   10.52   381.47
 0.15074D+00   0.9610   0.1200    7.004   1.0800 0.12433D-08  1  0   37.75   31.466  0.01406  269.95  269.37    5.216   40.278   10.52   383.17
 0.15301D+00   0.9599   0.1200    7.049   1.0800 0.12512D-08  1  0   37.50   31.263  0.01403  269.97  269.38    5.253   40.315   10.51   384.87
 0.15528D+00   0.9587   0.1200    7.094   1.0800 0.12592D-08  1  0   37.25   31.060  0.01401  270.00  269.38    5.291   40.352   10.50   386.57
 0.15755D+00   0.9575   0.1200    7.139   1.0800 0.12673D-08  1  0   37.00   30.858  0.01398  270.02  269.39    5.328   40.390   10.49   388.26
 0.15982D+00   0.9563   0.1200    7.183   1.0800 0.12754D-08  1  0   36.76   30.656  0.01396  270.04  269.39    5.366   40.427   10.49   389.96
 0.16209D+00   0.9552   0.1200    7.227   1.0800 0.12837D-08  1  0   36.51   30.456  0.01394  270.07  269.40    5.404   40.465   10.48   391.65
 0.16436D+00   0.9540   0.1200    7.270   1.0800 0.12920D-08  1  0   36.27   30.256  0.01391  270.09  269.41    5.441   40.503   10.47   393.34
 0.16663D+00   0.9528   0.1200    7.313   1.0800 0.13003D-08  1  0   36.03   30.057  0.01389  270.11  269.41    5.479   40.540   10.47   395.03
 0.16890D+00   0.9516   0.1200    7.356   1.0800 0.13088D-08  1  0   35.78   29.860  0.01387  270.13  269.42    5.517   40.578   10.46   396.72
 0.17117D+00   0.9505   0.1200    7.398   1.0800 0.13172D-08  1  0   35.54   29.664  0.01384  270.15  269.42    5.555   40.616   10.45   398.40
 0.17344D+00   0.9493   0.1200    7.440   1.0800 0.13258D-08  1  0   35.31   29.470  0.01382  270.18  269.43    5.592   40.654   10.45   400.08
 0.17571D+00   0.9481   0.1200    7.481   1.0800 0.13343D-08  1  0   35.07   29.277  0.01380  270.20  269.43    5.630   40.691   10.44   401.76
 0.17798D+00   0.9470   0.1200    7.522   1.0800 0.13430D-08  1  0   34.84   29.085  0.01378  270.22  269.44    5.668   40.729   10.43   403.44
 0.18025D+00   0.9458   0.1200    7.563   1.0800 0.13516D-08  1  0   34.61   28.896  0.01376  270.24  269.44    5.705   40.766   10.42   405.12
 0.18252D+00   0.9447   0.1200    7.603   1.0800 0.13603D-08  1  0   34.38   28.708  0.01374  270.26  269.45    5.743   40.804   10.42   406.80
 0.18479D+00   0.9435   0.1200    7.643   1.0800 0.13690D-08  1  0   34.15   28.522  0.01371  270.28  269.45    5.780   40.841   10.41   408.47
 0.18706D+00   0.9424   0.1200    7.683   1.0800 0.13778D-08  1  0   33.92   28.337  0.01369  270.30  269.45    5.817   40.878   10.40   410.14
 0.18933D+00   0.9412   0.1200    7.722   1.0800 0.13865D-08  1  0   33.70   28.155  0.01367  270.32  269.46    5.854   40.915   10.40   411.81
 0.19160D+00   0.9401   0.1200    7.761   1.0800 0.13953D-08  1  0   33.48   27.974  0.01365  270.34  269.46    5.891   40.952   10.39   413.48
 0.19387D+00   0.9389   0.1200    7.800   1.0800 0.14041D-08  1  0   33.26   27.796  0.01363  270.36  269.47    5.927   40.988   10.38   415.15
 0.19614D+00   0.9378   0.1200    7.838   1.0800 0.14129D-08  1  0   33.05   27.619  0.01361  270.38  269.47    5.964   41.025   10.38   416.81
 0.19841D+00   0.9366   0.1200    7.876   1.0800 0.14217D-08  1  0   32.83   27.445  0.01359  270.40  269.47    6.000   41.061   10.37   418.48
 0.20068D+00   0.9355   0.1200    7.914   1.0800 0.14306D-08  1  0   32.62   27.272  0.01357  270.42  269.48    6.036   41.097   10.36   420.14
 0.20295D+00   0.9343   0.1200    7.951   1.0800 0.14394D-08  1  0   32.42   27.101  0.01355  270.44  269.48    6.072   41.133   10.36   421.80
 0.20522D+00   0.9332   0.1200    7.988   1.0800 0.14483D-08  1  0   32.21   26.933  0.01354  270.46  269.48    6.108   41.169   10.35   423.45
 0.20749D+00   0.9320   0.1200    8.025   1.0800 0.14571D-08  1  0   32.01   26.767  0.01352  270.48  269.49    6.143   41.204   10.34   425.11
