R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
     Pint       etaref      pCLA conv P(MPa)   zbot     %vol    Tbot     Tm      TH2O      Fbot     Ftop     dlid   T_core
 0.00000D+00 0.10000D+13   0.0300  1  169.15  141.725  0.21922  211.56  203.42  256.51    7.726    6.387   37.85  1496.99
 0.12500D+11 0.10000D+13   0.0300  1  168.97  141.498  0.21642  212.43  204.73  256.55    7.718    6.790   38.29  1497.07
 0.25000D+11 0.10000D+13   0.0300  1  168.88  141.353  0.21468  212.97  205.69  256.57    7.713    7.196   36.31  1497.13
 0.37500D+11 0.10000D+13   0.0300  1  168.78  141.208  0.21296  213.51  206.60  256.59    7.708    7.602   34.54  1497.19
 0.50000D+11 0.10000D+13   0.0300  1  168.67  141.062  0.21126  214.03  207.48  256.61    7.704    8.007   32.95  1497.24
 0.62500D+11 0.10000D+13   0.0300  1  168.56  140.916  0.20958  214.55  208.31  256.63    7.699    8.413   31.50  1497.29
 0.75000D+11 0.10000D+13   0.0300  1  168.44  140.770  0.20793  215.06  209.12  256.66    7.695    8.819   30.19  1497.35
 0.87500D+11 0.10000D+13   0.0300  1  168.32  140.624  0.20631  215.55  209.89  256.68    7.690    9.225   28.99  1497.40
 0.10000D+12 0.10000D+13   0.0300  1  168.20  140.478  0.20471  216.04  210.63  256.70    7.686    9.631   27.89  1497.45
 0.11250D+12 0.10000D+13   0.0300  1  168.07  140.332  0.20314  216.52  211.35  256.72    7.682   10.037   26.87  1497.50
 0.12500D+12 0.10000D+13   0.0300  1  167.94  140.186  0.20159  216.99  212.05  256.75    7.678   10.443   25.93  1497.56
 0.13750D+12 0.10000D+13   0.0300  1  167.81  140.041  0.20007  217.45  212.72  256.77    7.673   10.849   25.06  1497.61
 0.15000D+12 0.10000D+13   0.0300  1  167.67  139.896  0.19857  217.90  213.37  256.79    7.669   11.255   24.26  1497.66
 0.16250D+12 0.10000D+13   0.0300  1  167.54  139.751  0.19709  218.35  214.00  256.81    7.666   11.661   23.50  1497.70
 0.17500D+12 0.10000D+13   0.0300  1  167.40  139.606  0.19564  218.79  214.61  256.83    7.662   12.068   22.80  1497.75
 0.18750D+12 0.10000D+13   0.0300  1  167.26  139.461  0.19422  219.21  215.21  256.86    7.658   12.474   22.13  1497.80
 0.20000D+12 0.10000D+13   0.0300  1  167.12  139.317  0.19281  219.63  215.79  256.88    7.654   12.881   21.51  1497.85
 0.21250D+12 0.10000D+13   0.0300  1  166.97  139.172  0.19142  220.05  216.36  256.90    7.651   13.287   20.93  1497.89
 0.22500D+12 0.10000D+13   0.0300  1  166.83  139.028  0.19006  220.45  216.91  256.92    7.647   13.694   20.38  1497.94
 0.23750D+12 0.10000D+13   0.0300  1  166.68  138.884  0.18872  220.85  217.44  256.94    7.644   14.100   19.86  1497.98
 0.25000D+12 0.10000D+13   0.0300  1  166.54  138.740  0.18739  221.24  217.97  256.96    7.640   14.507   19.37  1498.03
 0.26250D+12 0.10000D+13   0.0300  1  166.39  138.596  0.18609  221.63  218.48  256.99    7.637   14.913   18.90  1498.07
 0.27500D+12 0.10000D+13   0.0300  1  166.24  138.452  0.18480  222.01  218.98  257.01    7.633   15.320   18.46  1498.12
 0.28750D+12 0.10000D+13   0.0300  1  166.09  138.309  0.18354  222.38  219.47  257.03    7.630   15.727   18.04  1498.16
