R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
     Pint       Hint       etaref      pCLA conv   zbot     %vol    Tbot     Tm      Fbot     Ftop     dlid
 0.75000D+11 0.18666D-10 0.10000D+15   0.0200  0  157.862  0.32100  176.85  189.71    0.000    2.449  157.86
 0.87500D+11 0.22648D-10 0.10000D+15   0.0200  0  151.159  0.29566  185.74  194.76   -0.000    2.858  151.16
 0.10000D+12 0.26084D-10 0.10000D+15   0.0200  0  150.013  0.26159  197.22  201.20    0.000    3.266  150.01
 0.11250D+12 0.29573D-10 0.10000D+15   0.0200  0  148.485  0.22675  208.22  208.22   -0.000    3.674  148.48
 0.12500D+12 0.33183D-10 0.10000D+15   0.0200  0  146.940  0.19982  216.24  215.94   -0.000    4.082   92.89
 0.13750D+12 0.36646D-10 0.10000D+15   0.0200  0  146.347  0.19108  218.76  217.83   -0.000    4.490  102.12
 0.15000D+12 0.40057D-10 0.10000D+15   0.0200  1  145.982  0.18607  220.18  219.78    0.000    4.899   58.26
 0.16250D+12 0.43482D-10 0.10000D+15   0.0200  1  145.628  0.18144  221.48  221.49    0.000    5.307   53.93
 0.17500D+12 0.46920D-10 0.10000D+15   0.0200  1  145.272  0.17702  222.72  223.11    0.000    5.715   50.16
 0.18750D+12 0.50373D-10 0.10000D+15   0.0200  1  144.912  0.17276  223.90  224.67   -0.000    6.123   46.83
 0.20000D+12 0.53947D-10 0.10000D+15   0.0200  1  144.419  0.16726  225.40  225.06    0.000    6.532   46.07
 0.21250D+12 0.57435D-10 0.10000D+15   0.0200  1  144.062  0.16348  226.43  226.47    0.000    6.940   43.37
 0.22500D+12 0.60936D-10 0.10000D+15   0.0200  1  143.698  0.15980  227.43  227.86   -0.000    7.348   40.88
 0.23750D+12 0.64452D-10 0.10000D+15   0.0200  1  143.323  0.15616  228.40  229.27   -0.000    7.756   38.54
 0.25000D+12 0.68121D-10 0.10000D+15   0.0200  1  142.880  0.15209  229.49  229.15    0.000    8.164   38.67
 0.26250D+12 0.71673D-10 0.10000D+15   0.0200  1  142.509  0.14883  230.35  230.45   -0.000    8.573   36.67
 0.27500D+12 0.75240D-10 0.10000D+15   0.0200  1  142.112  0.14550  231.23  231.85   -0.000    8.981   34.66
 0.28750D+12 0.78984D-10 0.10000D+15   0.0200  1  141.680  0.14202  232.14  231.66    0.000    9.389   35.46
 0.30000D+12 0.82588D-10 0.10000D+15   0.0200  1  141.358  0.13954  232.79  232.51   -0.000    9.797   34.21
 0.31250D+12 0.86207D-10 0.10000D+15   0.0200  1  141.036  0.13715  233.41  233.33    0.000   10.206   33.05
 0.32500D+12 0.90029D-10 0.10000D+15   0.0200  1  140.392  0.13259  234.59  234.47   -0.000   10.614   31.63
 0.33750D+12 0.93686D-10 0.10000D+15   0.0200  1  140.070  0.13042  235.15  235.23   -0.000   11.022   30.66
 0.35000D+12 0.97564D-10 0.10000D+15   0.0200  1  139.426  0.12629  236.21  236.27   -0.000   11.430   29.47
 0.36250D+12 0.10126D-09 0.10000D+15   0.0200  1  139.104  0.12432  236.71  236.98    0.000   11.838   28.63
 0.37500D+12 0.10519D-09 0.10000D+15   0.0200  1  138.460  0.12055  237.67  237.93    0.000   12.247   27.62
 0.38750D+12 0.10893D-09 0.10000D+15   0.0200  1  138.138  0.11876  238.12  238.59    0.000   12.655   26.90
 0.40000D+12 0.11292D-09 0.10000D+15   0.0200  1  137.494  0.11531  239.00  239.48    0.000   13.063   26.03
 0.41250D+12 0.11670D-09 0.10000D+15   0.0200  1  137.172  0.11366  239.41  240.10   -0.000   13.471   25.39
 0.42500D+12 0.12075D-09 0.10000D+15   0.0200  1  136.528  0.11050  240.21  240.93    0.000   13.879   24.64
 0.43750D+12 0.12484D-09 0.10000D+15   0.0200  1  135.884  0.10750  240.97  241.72    0.000   14.288   23.94
 0.45000D+12 0.12869D-09 0.10000D+15   0.0200  1  135.562  0.10606  241.33  242.29    0.000   14.696   23.41
 0.46250D+12 0.13284D-09 0.10000D+15   0.0200  1  134.918  0.10330  242.02  243.03   -0.000   15.104   22.79
 0.47500D+12 0.13702D-09 0.10000D+15   0.0200  1  134.274  0.10067  242.68  243.75    0.000   15.512   22.22
 0.48750D+12 0.14125D-09 0.10000D+15   0.0200  1  133.630  0.09817  243.31  244.44   -0.000   15.921   21.68
 0.50000D+12 0.14551D-09 0.10000D+15   0.0200  1  132.986  0.09579  243.91  245.11   -0.000   16.329   21.18
 0.51250D+12 0.14981D-09 0.10000D+15   0.0200  1  132.342  0.09352  244.48  245.75    0.000   16.737   20.70
 0.52500D+12 0.15415D-09 0.10000D+15   0.0200  1  131.698  0.09135  245.03  246.38   -0.000   17.145   20.25
 0.53750D+12 0.15852D-09 0.10000D+15   0.0200  1  131.054  0.08928  245.55  246.99    0.000   17.553   19.83
 0.55000D+12 0.16294D-09 0.10000D+15   0.0200  1  130.410  0.08730  246.05  247.58   -0.000   17.962   19.43
 0.56250D+12 0.16778D-09 0.10000D+15   0.0200  1  129.444  0.08449  246.76  248.27   -0.000   18.370   19.00
 0.57500D+12 0.17230D-09 0.10000D+15   0.0200  1  128.800  0.08271  247.21  248.83   -0.000   18.778   18.64
 0.58750D+12 0.17685D-09 0.10000D+15   0.0200  1  128.156  0.08100  247.65  249.36   -0.000   19.186   18.31
 0.60000D+12 0.18187D-09 0.10000D+15   0.0200  1  127.190  0.07857  248.27  250.00    0.000   19.595   17.94
 0.61250D+12 0.18696D-09 0.10000D+15   0.0200  1  126.224  0.07627  248.87  250.61    0.000   20.003   17.60
 0.62500D+12 0.19167D-09 0.10000D+15   0.0200  1  125.580  0.07481  249.24  251.10    0.000   20.411   17.32
 0.63750D+12 0.19690D-09 0.10000D+15   0.0200  1  124.614  0.07272  249.79  251.67    0.000   20.819   17.01
 0.65000D+12 0.20220D-09 0.10000D+15   0.0200  1  123.648  0.07074  250.31  252.22    0.000   21.227   16.72
 0.66250D+12 0.20758D-09 0.10000D+15   0.0200  1  122.682  0.06887  250.80  252.76   -0.000   21.636   16.45
 0.67500D+12 0.21304D-09 0.10000D+15   0.0200  1  121.716  0.06709  251.28  253.28   -0.000   22.044   16.19
 0.68750D+12 0.21858D-09 0.10000D+15   0.0200  1  120.750  0.06539  251.73  253.79   -0.000   22.452   15.94
 0.70000D+12 0.22421D-09 0.10000D+15   0.0200  1  119.784  0.06378  252.17  254.28   -0.000   22.860   15.71
 0.71250D+12 0.23050D-09 0.10000D+15   0.0200  1  118.496  0.06175  252.73  254.83   -0.000   23.269   15.47
 0.72500D+12 0.23632D-09 0.10000D+15   0.0200  1  117.530  0.06030  253.13  255.29    0.000   23.677   15.25
 0.73750D+12 0.24285D-09 0.10000D+15   0.0200  1  116.242  0.05847  253.64  255.81    0.000   24.085   15.04
 0.75000D+12 0.24952D-09 0.10000D+15   0.0200  1  114.954  0.05675  254.13  256.30    0.000   24.493   14.83
 0.76250D+12 0.25634D-09 0.10000D+15   0.0200  1  113.666  0.05513  254.60  256.78   -0.000   24.901   14.64
 0.77500D+12 0.26330D-09 0.10000D+15   0.0200  1  112.378  0.05359  255.05  257.25    0.000   25.310   14.45
 0.78750D+12 0.27042D-09 0.10000D+15   0.0200  1  111.090  0.05213  255.48  257.70    0.000   25.718   14.28
 0.80000D+12 0.27770D-09 0.10000D+15   0.0200  1  109.802  0.05075  255.90  258.14   -0.000   26.126   14.11
 0.81250D+12 0.28594D-09 0.10000D+15   0.0200  1  108.192  0.04912  256.40  258.62   -0.000   26.534   13.94
 0.82500D+12 0.29359D-09 0.10000D+15   0.0200  1  106.904  0.04788  256.78  259.03   -0.000   26.943   13.79
