R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
     Pint       Hint       etaref      pCLA conv   zbot     %vol    Tbot     Tm      Fbot     Ftop     dlid
 0.44065D-09 0.12000D+13 0.32000D+14   0.0200  1  103.362  0.04478  257.78  261.95    0.000   39.189    9.16
 0.45859D-09 0.12125D+13 0.32000D+14   0.0200  1  100.142  0.04228  258.61  262.46    0.000   39.597    9.09
 0.46895D-09 0.12250D+13 0.32000D+14   0.0200  1   98.854  0.04135  258.93  262.75    0.000   40.006    9.03
 0.47959D-09 0.12375D+13 0.32000D+14   0.0200  1   97.566  0.04046  259.24  263.04    0.000   40.414    8.97
 0.49050D-09 0.12500D+13 0.32000D+14   0.0200  1   96.278  0.03961  259.54  263.32    0.000   40.822    8.92
 0.50330D-09 0.12625D+13 0.32000D+14   0.0200  1   94.668  0.03859  259.91  263.62    0.000   41.230    8.86
 0.51486D-09 0.12750D+13 0.32000D+14   0.0200  1   93.380  0.03781  260.20  263.89    0.000   41.638    8.81
 0.52674D-09 0.12875D+13 0.32000D+14   0.0200  1   92.092  0.03706  260.48  264.15    0.000   42.047    8.76
 0.54075D-09 0.13000D+13 0.32000D+14   0.0200  1   90.482  0.03616  260.82  264.42    0.000   42.455    8.71
 0.55336D-09 0.13125D+13 0.32000D+14   0.0200  1   89.194  0.03547  261.09  264.67    0.000   42.863    8.66
 0.65007D-09 0.13250D+13 0.32000D+14   0.0200  1   75.992  0.02962  263.57  265.32    2.066   45.141    8.77
 0.71396D-09 0.13375D+13 0.32000D+14   0.0200  1   69.552  0.02739  264.63  266.06    2.881   46.309    8.64
 0.76832D-09 0.13500D+13 0.32000D+14   0.0200  1   65.044  0.02601  265.34  266.57    3.364   47.177    8.54
 0.81821D-09 0.13625D+13 0.32000D+14   0.0200  1   61.502  0.02501  265.87  266.97    3.689   47.900    8.46
 0.86493D-09 0.13750D+13 0.32000D+14   0.0200  1   58.604  0.02425  266.29  267.29    3.911   48.527    8.39
 0.91139D-09 0.13875D+13 0.32000D+14   0.0200  1   56.028  0.02361  266.66  267.58    4.085   49.109    8.32
 0.96231D-09 0.14000D+13 0.32000D+14   0.0200  1   53.452  0.02299  267.02  267.85    4.266   49.700    8.25
 0.10122D-08 0.14125D+13 0.32000D+14   0.0200  1   51.198  0.02248  267.33  268.09    4.400   50.245    8.19
 0.10598D-08 0.14250D+13 0.32000D+14   0.0200  1   49.266  0.02206  267.59  268.30    4.483   50.742    8.13
 0.11114D-08 0.14375D+13 0.32000D+14   0.0200  1   47.334  0.02165  267.84  268.51    4.575   51.247    8.08
 0.11593D-08 0.14500D+13 0.32000D+14   0.0200  1   45.724  0.02132  268.05  268.69    4.613   51.700    8.02
 0.12194D-08 0.14625D+13 0.32000D+14   0.0200  1   43.792  0.02094  268.30  268.88    4.722   52.222    7.97
 0.12660D-08 0.14750D+13 0.32000D+14   0.0200  1   42.504  0.02069  268.46  269.03    4.712   52.628    7.92
 0.13256D-08 0.14875D+13 0.32000D+14   0.0200  1   40.894  0.02039  268.67  269.19    4.773   53.105    7.87
 0.13791D-08 0.15000D+13 0.32000D+14   0.0200  1   39.606  0.02016  268.83  269.33    4.776   53.523    7.82
 0.14361D-08 0.15125D+13 0.32000D+14   0.0200  1   38.318  0.01992  268.99  269.47    4.786   53.948    7.77
 0.14971D-08 0.15250D+13 0.32000D+14   0.0200  1   37.030  0.01970  269.15  269.60    4.803   54.381    7.72
 0.15625D-08 0.15375D+13 0.32000D+14   0.0200  1   35.742  0.01948  269.30  269.73    4.828   54.820    7.67
 0.16327D-08 0.15500D+13 0.32000D+14   0.0200  1   34.454  0.01926  269.46  269.85    4.862   55.269    7.63
 0.16923D-08 0.15625D+13 0.32000D+14   0.0200  1   33.488  0.01910  269.57  269.96    4.826   55.649    7.58
 0.17554D-08 0.15750D+13 0.32000D+14   0.0200  1   32.522  0.01894  269.69  270.06    4.797   56.035    7.54
 0.18224D-08 0.15875D+13 0.32000D+14   0.0200  1   31.556  0.01879  269.80  270.16    4.774   56.427    7.50
 0.18935D-08 0.16000D+13 0.32000D+14   0.0200  1   30.590  0.01863  269.92  270.26    4.758   56.825    7.46
 0.19693D-08 0.16125D+13 0.32000D+14   0.0200  1   29.624  0.01848  270.03  270.35    4.748   57.230    7.41
 0.20502D-08 0.16250D+13 0.32000D+14   0.0200  1   28.658  0.01834  270.14  270.45    4.747   57.643    7.37
 0.21367D-08 0.16375D+13 0.32000D+14   0.0200  1   27.692  0.01819  270.25  270.53    4.754   58.063    7.33
 0.22034D-08 0.16500D+13 0.32000D+14   0.0200  1   27.048  0.01809  270.33  270.61    4.674   58.399    7.29
 0.23009D-08 0.16625D+13 0.32000D+14   0.0200  1   26.082  0.01795  270.44  270.69    4.696   58.834    7.24
 0.23759D-08 0.16750D+13 0.32000D+14   0.0200  1   25.438  0.01786  270.51  270.77    4.628   59.180    7.21
 0.24548D-08 0.16875D+13 0.32000D+14   0.0200  1   24.794  0.01776  270.59  270.84    4.565   59.530    7.17
 0.25378D-08 0.17000D+13 0.32000D+14   0.0200  1   24.150  0.01767  270.66  270.91    4.506   59.886    7.14
 0.26614D-08 0.17125D+13 0.32000D+14   0.0200  1   23.184  0.01754  270.77  270.98    4.563   60.354    7.09
 0.27562D-08 0.17250D+13 0.32000D+14   0.0200  1   22.540  0.01745  270.84  271.04    4.519   60.723    7.05
 0.28567D-08 0.17375D+13 0.32000D+14   0.0200  1   21.896  0.01736  270.91  271.10    4.481   61.099    7.01
 0.29196D-08 0.17500D+13 0.32000D+14   0.0200  1   21.574  0.01731  270.95  271.17    4.331   61.363    6.99
 0.30297D-08 0.17625D+13 0.32000D+14   0.0200  1   20.930  0.01723  271.02  271.22    4.304   61.748    6.95
 0.31467D-08 0.17750D+13 0.32000D+14   0.0200  1   20.286  0.01714  271.09  271.28    4.284   62.141    6.91
 0.32714D-08 0.17875D+13 0.32000D+14   0.0200  1   19.642  0.01705  271.16  271.33    4.272   62.541    6.87
 0.33485D-08 0.18000D+13 0.32000D+14   0.0200  1   19.320  0.01701  271.20  271.39    4.136   62.818    6.85
 0.34866D-08 0.18125D+13 0.32000D+14   0.0200  1   18.676  0.01692  271.27  271.43    4.138   63.231    6.81
 0.35715D-08 0.18250D+13 0.32000D+14   0.0200  1   18.354  0.01688  271.30  271.49    4.008   63.515    6.78
 0.37251D-08 0.18375D+13 0.32000D+14   0.0200  1   17.710  0.01680  271.37  271.53    4.025   63.942    6.74
 0.38191D-08 0.18500D+13 0.32000D+14   0.0200  1   17.388  0.01676  271.41  271.58    3.903   64.233    6.71
 0.39912D-08 0.18625D+13 0.32000D+14   0.0200  1   16.744  0.01667  271.48  271.61    3.937   64.677    6.67
 0.40959D-08 0.18750D+13 0.32000D+14   0.0200  1   16.422  0.01663  271.51  271.66    3.824   64.977    6.64
 0.42048D-08 0.18875D+13 0.32000D+14   0.0200  1   16.100  0.01659  271.55  271.71    3.714   65.279    6.61
 0.44072D-08 0.19000D+13 0.32000D+14   0.0200  1   15.456  0.01651  271.62  271.73    3.773   65.748    6.57
 0.45296D-08 0.19125D+13 0.32000D+14   0.0200  1   15.134  0.01647  271.65  271.78    3.674   66.061    6.54
 0.46574D-08 0.19250D+13 0.32000D+14   0.0200  1   14.812  0.01643  271.68  271.82    3.579   66.377    6.52
 0.47908D-08 0.19375D+13 0.32000D+14   0.0200  1   14.490  0.01639  271.72  271.85    3.487   66.697    6.49
 0.49303D-08 0.19500D+13 0.32000D+14   0.0200  1   14.168  0.01635  271.75  271.89    3.400   67.021    6.46
 0.50762D-08 0.19625D+13 0.32000D+14   0.0200  1   13.846  0.01631  271.79  271.93    3.317   67.349    6.43
 0.52291D-08 0.19750D+13 0.32000D+14   0.0200  1   13.524  0.01627  271.82  271.96    3.239   67.682    6.40
 0.53894D-08 0.19875D+13 0.32000D+14   0.0200  1   13.202  0.01623  271.86  271.99    3.166   68.019    6.37
 0.55577D-08 0.20000D+13 0.32000D+14   0.0200  1   12.880  0.01619  271.89  272.02    3.098   68.362    6.34
 0.57347D-08 0.20125D+13 0.32000D+14   0.0200  1   12.558  0.01615  271.92  272.05    3.035   68.710    6.31
 0.57703D-08 0.20250D+13 0.32000D+14   0.0200  1   12.558  0.01615  271.92  272.11    2.766   68.853    6.30
 0.58059D-08 0.20375D+13 0.32000D+14   0.0200  1   12.558  0.01615  271.92  272.16    2.496   68.996    6.29
 0.58416D-08 0.20500D+13 0.32000D+14   0.0200  1   12.558  0.01615  271.92  272.22    2.226   69.138    6.27
 0.58772D-08 0.20625D+13 0.32000D+14   0.0200  1   12.558  0.01615  271.92  272.27    1.956   69.281    6.26
 0.59128D-08 0.20750D+13 0.32000D+14   0.0200  1   12.558  0.01615  271.92  272.33    1.686   69.424    6.25
 0.58009D-08 0.20875D+13 0.32000D+14   0.0200  1   12.880  0.01619  271.89  272.41    1.209   69.362    6.25
 0.58356D-08 0.21000D+13 0.32000D+14   0.0200  1   12.880  0.01619  271.89  272.47    0.939   69.505    6.24
 0.58704D-08 0.21125D+13 0.32000D+14   0.0200  1   12.880  0.01619  271.89  272.52    0.669   69.647    6.23
 0.59051D-08 0.21250D+13 0.32000D+14   0.0200  1   12.880  0.01619  271.89  272.58    0.398   69.789    6.21
 0.59398D-08 0.21375D+13 0.32000D+14   0.0200  1   12.880  0.01619  271.89  272.63    0.128   69.931    6.20
 0.32962D-08 0.21500D+13 0.32000D+14   0.0200  1   23.506  0.01758  270.73  270.96   -4.308   66.035    6.96
