R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
     Pint       etaref      pCLA   zbot_avg zbot_min zbot_max
 0.30000D+11 0.31623D+14   0.0150  146.417  146.109  146.696
 0.30000D+11 0.35481D+14   0.0150  146.165  145.841  146.457
 0.30000D+11 0.39811D+14   0.0150  145.900  145.560  146.207
 0.30000D+11 0.44668D+14   0.0150  145.623  145.265  145.944
 0.30000D+11 0.50119D+14   0.0150  145.331  144.953  145.669
 0.30000D+11 0.56234D+14   0.0150  145.025  144.625  145.379
 0.30000D+11 0.63096D+14   0.0150  144.702  144.279  145.075
 0.30000D+11 0.70795D+14   0.0150  144.361  143.913  144.754
 0.30000D+11 0.79433D+14   0.0150  144.001  143.526  144.416
 0.30000D+11 0.89125D+14   0.0150  143.621  143.115  144.059
 0.30000D+11 0.10000D+15   0.0150  143.218  142.679  143.681
 0.30000D+11 0.11220D+15   0.0150  142.790  142.216  143.281
 0.30000D+11 0.12589D+15   0.0150  142.335  141.721  142.856
 0.30000D+11 0.14125D+15   0.0150  141.851  141.194  142.405
 0.30000D+11 0.15849D+15   0.0150  141.334  140.629  141.924
 0.30000D+11 0.17783D+15   0.0150  140.782  140.024  141.411
 0.30000D+11 0.19953D+15   0.0150  140.191  139.374  140.863
 0.30000D+11 0.22387D+15   0.0150  139.556  138.674  140.276
 0.30000D+11 0.25119D+15   0.0150  138.873  137.919  139.645
 0.30000D+11 0.28184D+15   0.0150  138.137  137.102  138.966
 0.30000D+11 0.31623D+15   0.0150  137.341  136.217  138.234
 0.30000D+11 0.35481D+15   0.0150  136.478  135.254  137.443
 0.30000D+11 0.39811D+15   0.0150  135.540  134.204  136.584
 0.30000D+11 0.44668D+15   0.0150  134.519  133.058  135.651
 0.30000D+11 0.50119D+15   0.0150  133.402  131.801  134.634
 0.30000D+11 0.56234D+15   0.0150  132.178  130.420  133.521
 0.30000D+11 0.63096D+15   0.0150  130.833  128.899  132.302
 0.30000D+11 0.70795D+15   0.0150  129.351  127.219  130.961
 0.30000D+11 0.79433D+15   0.0150  127.714  125.359  129.482
 0.30000D+11 0.89125D+15   0.0150  125.900  123.297  127.856
 0.30000D+11 0.10000D+16   0.0150  123.887  121.007  126.071
 0.45000D+11 0.10000D+14   0.0150  148.237  148.021  148.452
 0.45000D+11 0.11220D+14   0.0150  148.064  147.840  148.287
 0.45000D+11 0.12589D+14   0.0150  147.884  147.651  148.116
 0.45000D+11 0.14125D+14   0.0150  147.697  147.454  147.938
 0.45000D+11 0.15849D+14   0.0150  147.502  147.250  147.753
 0.45000D+11 0.17783D+14   0.0150  147.299  147.036  147.560
 0.45000D+11 0.19953D+14   0.0150  147.087  146.813  147.359
 0.45000D+11 0.22387D+14   0.0150  146.865  146.580  147.149
 0.45000D+11 0.25119D+14   0.0150  146.634  146.337  146.930
 0.45000D+11 0.28184D+14   0.0150  146.392  146.082  146.701
 0.45000D+11 0.31623D+14   0.0150  146.138  145.814  146.462
 0.45000D+11 0.35481D+14   0.0150  145.873  145.534  146.211
 0.45000D+11 0.39811D+14   0.0150  145.594  145.239  145.949
 0.45000D+11 0.44668D+14   0.0150  145.301  144.929  145.673
 0.45000D+11 0.50119D+14   0.0150  144.992  144.603  145.384
 0.45000D+11 0.56234D+14   0.0150  144.668  144.258  145.079
 0.45000D+11 0.63096D+14   0.0150  144.325  143.890  144.758
 0.45000D+11 0.70795D+14   0.0150  143.963  143.500  144.419
 0.45000D+11 0.79433D+14   0.0150  143.580  143.086  144.062
 0.45000D+11 0.89125D+14   0.0150  143.174  142.647  143.684
 0.45000D+11 0.10000D+15   0.0150  142.744  142.180  143.283
 0.45000D+11 0.11220D+15   0.0150  142.286  141.682  142.857
 0.45000D+11 0.12589D+15   0.0150  141.799  141.150  142.405
 0.45000D+11 0.14125D+15   0.0150  141.278  140.580  141.923
 0.45000D+11 0.15849D+15   0.0150  140.722  139.970  141.408
 0.45000D+11 0.17783D+15   0.0150  140.126  139.313  140.858
 0.45000D+11 0.19953D+15   0.0150  139.487  138.606  140.268
 0.45000D+11 0.22387D+15   0.0150  138.798  137.843  139.635
 0.45000D+11 0.25119D+15   0.0150  138.055  137.017  138.953
 0.45000D+11 0.28184D+15   0.0150  137.252  136.122  138.216
 0.45000D+11 0.31623D+15   0.0150  136.382  135.148  137.420
 0.45000D+11 0.35481D+15   0.0150  135.435  134.086  136.555
 0.45000D+11 0.39811D+15   0.0150  134.403  132.925  135.614
 0.45000D+11 0.44668D+15   0.0150  133.275  131.653  134.588
 0.45000D+11 0.50119D+15   0.0150  132.038  130.256  133.464
 0.45000D+11 0.56234D+15   0.0150  130.678  128.716  132.231
 0.45000D+11 0.63096D+15   0.0150  129.179  127.016  130.873
 0.45000D+11 0.70795D+15   0.0150  127.522  125.134  129.374
 0.45000D+11 0.79433D+15   0.0150  125.686  123.046  127.717
 0.45000D+11 0.89125D+15   0.0150  123.647  120.729  125.877
 0.45000D+11 0.10000D+16   0.0150  121.381  118.155  123.834
 0.60000D+11 0.10000D+14   0.0150  148.051  147.802  148.296
 0.60000D+11 0.11220D+14   0.0150  147.871  147.612  148.125
 0.60000D+11 0.12589D+14   0.0150  147.683  147.414  147.947
 0.60000D+11 0.14125D+14   0.0150  147.487  147.208  147.762
 0.60000D+11 0.15849D+14   0.0150  147.283  146.993  147.570
 0.60000D+11 0.17783D+14   0.0150  147.071  146.768  147.369
 0.60000D+11 0.19953D+14   0.0150  146.848  146.533  147.159
 0.60000D+11 0.22387D+14   0.0150  146.616  146.287  146.941
 0.60000D+11 0.25119D+14   0.0150  146.373  146.030  146.712
 0.60000D+11 0.28184D+14   0.0150  146.119  145.760  146.473
 0.60000D+11 0.31623D+14   0.0150  145.852  145.477  146.223
 0.60000D+11 0.35481D+14   0.0150  145.572  145.179  145.961
 0.60000D+11 0.39811D+14   0.0150  145.278  144.867  145.685
 0.60000D+11 0.44668D+14   0.0150  144.969  144.537  145.396
 0.60000D+11 0.50119D+14   0.0150  144.642  144.189  145.092
 0.60000D+11 0.56234D+14   0.0150  144.298  143.822  144.771
 0.60000D+11 0.63096D+14   0.0150  143.935  143.434  144.433
 0.60000D+11 0.70795D+14   0.0150  143.550  143.023  144.075
 0.60000D+11 0.79433D+14   0.0150  143.142  142.587  143.697
 0.60000D+11 0.89125D+14   0.0150  142.710  142.124  143.296
 0.60000D+11 0.10000D+15   0.0150  142.250  141.631  142.871
 0.60000D+11 0.11220D+15   0.0150  141.760  141.106  142.418
 0.60000D+11 0.12589D+15   0.0150  141.237  140.545  141.936
 0.60000D+11 0.14125D+15   0.0150  140.677  139.933  141.421
 0.60000D+11 0.15849D+15   0.0150  140.078  139.271  140.870
 0.60000D+11 0.17783D+15   0.0150  139.434  138.559  140.280
 0.60000D+11 0.19953D+15   0.0150  138.742  137.789  139.645
 0.60000D+11 0.22387D+15   0.0150  137.994  136.956  138.961
 0.60000D+11 0.25119D+15   0.0150  137.186  136.052  138.223
 0.60000D+11 0.28184D+15   0.0150  136.309  135.069  137.423
 0.60000D+11 0.31623D+15   0.0150  135.355  133.997  136.554
 0.60000D+11 0.35481D+15   0.0150  134.316  132.826  135.609
 0.60000D+11 0.39811D+15   0.0150  133.179  131.541  134.576
 0.60000D+11 0.44668D+15   0.0150  131.932  130.130  133.445
 0.60000D+11 0.50119D+15   0.0150  130.561  128.576  132.202
 0.60000D+11 0.56234D+15   0.0150  129.049  126.859  130.833
 0.60000D+11 0.63096D+15   0.0150  127.376  124.959  129.321
 0.60000D+11 0.70795D+15   0.0150  125.523  122.852  127.646
 0.60000D+11 0.79433D+15   0.0150  123.464  120.514  125.786
 0.60000D+11 0.89125D+15   0.0150  121.175  117.916  123.718
 0.60000D+11 0.10000D+16   0.0150  118.629  115.032  121.414
 0.75000D+11 0.10000D+14   0.0150  147.862  147.579  148.139
 0.75000D+11 0.11220D+14   0.0150  147.674  147.380  147.961
 0.75000D+11 0.12589D+14   0.0150  147.478  147.172  147.777
 0.75000D+11 0.14125D+14   0.0150  147.274  146.956  147.584
 0.75000D+11 0.15849D+14   0.0150  147.061  146.729  147.384
 0.75000D+11 0.17783D+14   0.0150  146.838  146.493  147.175
 0.75000D+11 0.19953D+14   0.0150  146.605  146.245  146.957
 0.75000D+11 0.22387D+14   0.0150  146.362  145.986  146.729
 0.75000D+11 0.25119D+14   0.0150  146.107  145.714  146.491
 0.75000D+11 0.28184D+14   0.0150  145.839  145.428  146.241
 0.75000D+11 0.31623D+14   0.0150  145.559  145.129  145.979
 0.75000D+11 0.35481D+14   0.0150  145.264  144.813  145.705
 0.75000D+11 0.39811D+14   0.0150  144.953  144.481  145.416
 0.75000D+11 0.44668D+14   0.0150  144.626  144.131  145.113
 0.75000D+11 0.50119D+14   0.0150  144.281  143.761  144.793
 0.75000D+11 0.56234D+14   0.0150  143.916  143.369  144.455
 0.75000D+11 0.63096D+14   0.0150  143.531  142.954  144.098
 0.75000D+11 0.70795D+14   0.0150  143.122  142.514  143.721
