R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
     Pint       etaref      pCLA conv P(MPa)   zbot     %vol    Tbot     Tm      TH2O      Fbot     Ftop     dlid   T_core
 0.00000D+00 0.10000D+16   0.0300  1  131.52  111.080  0.07892  251.44  240.43  260.89    7.367    6.355   51.21  1502.60
 0.12500D+11 0.10000D+16   0.0300  1  131.31  110.794  0.07845  251.57  241.20  260.93    7.356    6.757   53.00  1502.57
 0.25000D+11 0.10000D+16   0.0300  1  129.25  108.991  0.07555  252.40  242.56  261.17    7.335    7.163   50.33  1502.66
 0.37500D+11 0.10000D+16   0.0300  1  127.06  107.091  0.07272  253.21  243.86  261.42    7.314    7.570   47.95  1502.74
 0.50000D+11 0.10000D+16   0.0300  1  124.74  105.093  0.06995  254.01  245.11  261.68    7.292    7.976   45.80  1502.82
 0.62500D+11 0.10000D+16   0.0300  1  122.29  102.995  0.06726  254.81  246.31  261.95    7.269    8.383   43.87  1502.90
 0.75000D+11 0.10000D+16   0.0300  1  119.72  100.795  0.06464  255.59  247.47  262.24    7.246    8.790   42.11  1502.98
 0.87500D+11 0.10000D+16   0.0300  1  117.01   98.492  0.06210  256.36  248.59  262.53    7.221    9.196   40.52  1503.06
 0.10000D+12 0.10000D+16   0.0300  1  114.18   96.087  0.05965  257.12  249.68  262.84    7.196    9.603   39.05  1503.14
 0.11250D+12 0.10000D+16   0.0300  1  111.22   93.578  0.05728  257.87  250.73  263.15    7.170   10.010   37.71  1503.21
 0.12500D+12 0.10000D+16   0.0300  1  108.13   90.969  0.05500  258.61  251.74  263.47    7.142   10.416   36.47  1503.29
 0.13750D+12 0.10000D+16   0.0300  1  104.92   88.262  0.05281  259.33  252.72  263.81    7.114   10.823   35.32  1503.36
 0.15000D+12 0.10000D+16   0.0300  1  101.59   85.460  0.05072  260.04  253.67  264.15    7.086   11.230   34.26  1503.42
 0.16250D+12 0.10000D+16   0.0300  1   98.15   82.571  0.04871  260.73  254.59  264.50    7.056   11.636   33.27  1503.49
 0.17500D+12 0.10000D+16   0.0300  1   94.61   79.602  0.04681  261.41  255.48  264.85    7.025   12.042   32.35  1503.55
 0.18750D+12 0.10000D+16   0.0300  1   90.99   76.562  0.04500  262.06  256.34  265.21    6.994   12.448   31.49  1503.61
 0.20000D+12 0.10000D+16   0.0300  1   87.29   73.462  0.04328  262.71  257.17  265.57    6.962   12.853   30.68  1503.67
 0.21250D+12 0.10000D+16   0.0300  1   83.53   70.316  0.04167  263.33  257.96  265.93    6.929   13.259   29.92  1503.73
 0.22500D+12 0.10000D+16   0.0300  1   79.73   67.138  0.04014  263.93  258.73  266.29    6.896   13.663   29.20  1503.78
 0.23750D+12 0.10000D+16   0.0300  1   75.91   63.946  0.03872  264.51  259.46  266.65    6.862   14.068   28.52  1503.82
 0.25000D+12 0.10000D+16   0.0300  1   72.09   60.755  0.03738  265.07  260.16  267.01    6.829   14.472   27.88  1503.86
 0.26250D+12 0.10000D+16   0.0300  1   68.29   57.581  0.03614  265.60  260.82  267.36    6.795   14.875   27.27  1503.89
 0.27500D+12 0.10000D+16   0.0300  1   64.53   54.442  0.03498  266.11  261.46  267.70    6.761   15.279   26.69  1503.92
 0.28750D+12 0.10000D+16   0.0300  1   60.83   51.353  0.03391  266.60  262.06  268.04    6.728   15.681   26.13  1503.94
 0.30000D+12 0.10000D+16   0.0300  1   57.21   48.330  0.03292  267.06  262.62  268.36    6.695   16.084   25.60  1503.96
 0.31250D+12 0.10000D+16   0.0300  1   53.68   45.389  0.03201  267.50  263.16  268.68    6.662   16.486   25.09  1503.98
 0.32500D+12 0.10000D+16   0.0300  1   50.27   42.542  0.03117  267.91  263.66  268.97    6.630   16.888   24.60  1504.00
 0.33750D+12 0.10000D+16   0.0300  1   46.98   39.804  0.03040  268.29  264.13  269.26    6.599   17.288   24.13  1504.02
 0.35000D+12 0.10000D+16   0.0300  1   43.87   37.209  0.02970  268.65  264.56  269.53    6.565   17.686   23.67  1504.04
 0.36250D+12 0.10000D+16   0.0300  0   42.95   35.641  0.02929  268.86  264.90  269.69    6.503   18.047   35.64  1504.05
 0.37500D+12 0.10000D+16   0.0300  0   42.28   35.082  0.02915  268.94  265.16  269.75    6.497   18.455   35.08  1504.07
 0.38750D+12 0.10000D+16   0.0300  0   41.63   34.540  0.02901  269.01  265.41  269.80    6.492   18.862   34.54  1504.08
 0.40000D+12 0.10000D+16   0.0300  0   40.99   34.015  0.02888  269.08  265.66  269.86    6.486   19.270   34.01  1504.09
 0.41250D+12 0.10000D+16   0.0300  0   40.38   33.505  0.02875  269.15  265.90  269.91    6.481   19.677   33.50  1504.10
 0.42500D+12 0.10000D+16   0.0300  0   39.78   33.010  0.02863  269.21  266.14  269.96    6.476   20.085   33.01  1504.11
 0.43750D+12 0.10000D+16   0.0300  0   39.20   32.529  0.02851  269.27  266.37  270.01    6.471   20.492   32.53  1504.12
 0.45000D+12 0.10000D+16   0.0300  0   38.64   32.061  0.02840  269.33  266.60  270.05    6.467   20.900   32.06  1504.13
 0.46250D+12 0.10000D+16   0.0300  0   38.09   31.607  0.02829  269.39  266.82  270.10    6.462   21.307   31.61  1504.14
 0.47500D+12 0.10000D+16   0.0300  0   37.56   31.165  0.02818  269.45  267.04  270.15    6.458   21.715   31.17  1504.15
 0.48750D+12 0.10000D+16   0.0300  0   37.04   30.735  0.02808  269.51  267.26  270.19    6.454   22.123   30.74  1504.15
 0.50000D+12 0.10000D+16   0.0300  0   36.54   30.317  0.02798  269.56  267.47  270.23    6.450   22.530   30.32  1504.16
 0.51250D+12 0.10000D+16   0.0300  0   36.05   29.910  0.02789  269.61  267.68  270.27    6.445   22.938   29.91  1504.16
 0.52500D+12 0.10000D+16   0.0300  0   35.57   29.514  0.02779  269.66  267.88  270.31    6.442   23.346   29.51  1504.17
 0.53750D+12 0.10000D+16   0.0300  0   35.10   29.128  0.02770  269.71  268.09  270.35    6.438   23.753   29.13  1504.17
 0.55000D+12 0.10000D+16   0.0300  0   34.65   28.751  0.02762  269.76  268.28  270.39    6.434   24.161   28.75  1504.18
 0.56250D+12 0.10000D+16   0.0300  0   34.21   28.384  0.02753  269.81  268.48  270.43    6.431   24.569   28.38  1504.19
 0.57500D+12 0.10000D+16   0.0300  0   33.78   28.027  0.02745  269.85  268.67  270.46    6.427   24.977   28.03  1504.19
 0.58750D+12 0.10000D+16   0.0300  0   33.36   27.678  0.02737  269.90  268.86  270.50    6.424   25.384   27.68  1504.19
 0.60000D+12 0.10000D+16   0.0300  0   32.94   27.338  0.02730  269.94  269.04  270.53    6.420   25.792   27.34  1504.20
 0.61250D+12 0.10000D+16   0.0300  0   32.54   27.005  0.02722  269.98  269.23  270.56    6.417   26.200   27.01  1504.20
 0.62500D+12 0.10000D+16   0.0300  0   32.15   26.681  0.02715  270.02  269.41  270.60    6.414   26.608   26.68  1504.21
 0.63750D+12 0.10000D+16   0.0300  0   31.77   26.365  0.02708  270.06  269.59  270.63    6.411   27.016   26.36  1504.21
 0.65000D+12 0.10000D+16   0.0300  0   31.40   26.055  0.02701  270.10  269.76  270.66    6.408   27.423   26.06  1504.22
 0.66250D+12 0.10000D+16   0.0300  0   31.04   25.753  0.02694  270.14  269.93  270.69    6.405   27.831   25.75  1504.22
 0.67500D+12 0.10000D+16   0.0300  0   30.68   25.458  0.02688  270.17  270.10  270.72    6.402   28.239   25.46  1504.23
 0.68750D+12 0.10000D+16   0.0300  0   30.33   25.169  0.02681  270.21  270.27  270.75    6.400   28.647   25.17  1504.23
 0.70000D+12 0.10000D+16   0.0300  0   29.99   24.887  0.02675  270.24  270.44  270.77    6.397   29.055   24.89  1504.23
 0.71250D+12 0.10000D+16   0.0300  0   29.66   24.611  0.02669  270.28  270.60  270.80    6.394   29.463   24.61  1504.24
 0.72500D+12 0.10000D+16   0.0300  0   29.33   24.341  0.02664  270.31  265.79  270.83    6.392   29.871   24.34  1504.24
 0.73750D+12 0.10000D+16   0.0300  0   29.01   24.077  0.02658  270.34  265.94  270.86    6.389   30.279   24.08  1504.25
 0.75000D+12 0.10000D+16   0.0300  0   28.70   23.818  0.02652  270.38  266.09  270.88    6.387   30.687   23.82  1504.25
 0.76250D+12 0.10000D+16   0.0300  0   28.40   23.565  0.02647  270.41  266.24  270.91    6.384   31.095   23.57  1504.25
 0.77500D+12 0.10000D+16   0.0300  0   28.10   23.317  0.02642  270.44  266.38  270.93    6.382   31.502   23.32  1504.26
 0.78750D+12 0.10000D+16   0.0300  0   27.81   23.075  0.02637  270.47  266.53  270.95    6.380   31.910   23.07  1504.26
 0.80000D+12 0.10000D+16   0.0300  0   27.52   22.837  0.02632  270.50  266.67  270.98    6.378   32.318   22.84  1504.26
 0.81250D+12 0.10000D+16   0.0300  0   27.24   22.604  0.02627  270.52  266.81  271.00    6.375   32.726   22.60  1504.27
 0.82500D+12 0.10000D+16   0.0300  0   26.97   22.376  0.02622  270.55  266.95  271.02    6.373   33.134   22.38  1504.27
 0.83750D+12 0.10000D+16   0.0300  0   26.70   22.152  0.02617  270.58  267.09  271.05    6.371   33.542   22.15  1504.27
 0.85000D+12 0.10000D+16   0.0300  0   26.43   21.933  0.02613  270.61  267.23  271.07    6.369   33.950   21.93  1504.28
 0.86250D+12 0.10000D+16   0.0300  0   26.17   21.718  0.02608  270.63  267.37  271.09    6.367   34.358   21.72  1504.28
 0.87500D+12 0.10000D+16   0.0300  0   25.92   21.507  0.02604  270.66  267.50  271.11    6.365   34.766   21.51  1504.28
 0.88750D+12 0.10000D+16   0.0300  0   25.67   21.300  0.02600  270.68  267.64  271.13    6.363   35.174   21.30  1504.28
 0.90000D+12 0.10000D+16   0.0300  0   25.42   21.097  0.02595  270.71  267.77  271.15    6.361   35.582   21.10  1504.29
