R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
  time_Gyr   Prad    Ptidal    Fcore     Pint     Hint     conv melt P(MPa)   zbot     %vol    Tbot     Tm      Fbot     Ftop     dlid   T_core
 0.10000D-01   1.0375   0.0000    0.746   1.2766 0.90925D-08  0  0    6.02    5.000  0.01145  272.75  268.63   69.184  110.433    5.00   274.38
 0.12270D-01   1.0362   0.0000    1.333   1.3378 0.50404D-08  0  0   11.42    9.479  0.01183  272.30  269.62   25.527   68.907    9.48   276.01
 0.14540D-01   1.0349   0.0000    1.684   1.3965 0.38227D-08  0  0   15.76   13.077  0.01214  271.93  270.23   11.413   56.829   13.08   277.64
 0.16810D-01   1.0336   0.0000    1.900   1.4519 0.34645D-08  1  0   17.87   15.021  0.01232  271.73  270.65    7.235   54.513    7.94   279.27
 0.19080D-01   1.0324   0.0000    2.088   1.5032 0.32880D-08  1  0   19.60   16.400  0.01245  271.59  271.00    5.534   54.509    7.92   280.89
 0.21350D-01   1.0311   0.0000    2.252   1.5495 0.32060D-08  1  0   20.84   17.348  0.01254  271.49  271.30    4.157   54.668    7.89   282.52
 0.23620D-01   1.0298   0.0000    2.396   1.5900 0.31850D-08  1  0   21.60   17.926  0.01260  271.43  271.55    3.062   54.919    7.85   284.14
 0.25890D-01   1.0285   0.0000    2.525   1.6242 0.32050D-08  1  0   21.94   18.201  0.01263  271.40  271.75    2.222   55.214    7.80   285.76
 0.28160D-01   1.0273   0.0000    2.644   1.6514 0.32523D-08  1  0   21.98   18.236  0.01263  271.39  271.90    1.622   55.515    7.76   287.37
 0.30430D-01   1.0260   0.0000    2.756   1.6711 0.33162D-08  1  0   21.81   18.097  0.01262  271.41  272.01    1.247   55.794    7.72   288.99
 0.32700D-01   1.0247   0.0000    2.863   1.6831 0.33868D-08  1  0   21.51   17.844  0.01259  271.44  272.06    1.085   56.026    7.69   290.60
