R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
   zbot    P(MPa) Hint     conv melt pCLA   Tbot     Tm     etam        k   Fcond_bot Fcond_top   Fbot     Ftop    dlid z_topTBL z_botTBL
    0.00   -0.00 0.59531D-06  0  0  0.01105  273.24  261.57 0.32206D+15  2.167    0.000    0.000    0.000    0.000    0.00    0.00    0.00
    0.32    0.39 0.59542D-07  0  0  0.01108  273.21  263.68 0.25750D+15  2.167 1398.882 1398.305 1390.062 1407.124    0.32    0.32    0.32
    0.64    0.77 0.29777D-07  0  0  0.01110  273.18  264.03 0.24766D+15  2.167  699.459  698.882  690.636  707.702    0.64    0.64    0.64
    0.97    1.16 0.19856D-07  0  0  0.01113  273.15  264.25 0.24141D+15  2.168  466.317  465.740  457.492  474.562    0.97    0.97    0.97
    1.29    1.55 0.14895D-07  0  0  0.01115  273.12  264.41 0.23676D+15  2.168  349.747  349.170  340.919  357.992    1.29    1.29    1.29
    1.61    1.94 0.11918D-07  0  0  0.01118  273.08  264.54 0.23303D+15  2.168  279.804  279.227  270.974  288.051    1.61    1.61    1.61
    1.93    2.33 0.99339D-08  0  0  0.01120  273.05  264.64 0.22990D+15  2.168  233.176  232.599  224.344  241.424    1.93    1.93    1.93
    2.25    2.71 0.85165D-08  0  0  0.01123  273.02  264.73 0.22720D+15  2.169  199.870  199.293  191.035  208.119    2.25    2.25    2.25
    2.58    3.10 0.74535D-08  0  0  0.01125  272.99  264.80 0.22482D+15  2.169  174.890  174.313  166.053  183.141    2.58    2.58    2.58
    2.90    3.49 0.66267D-08  0  0  0.01128  272.96  264.87 0.22269D+15  2.169  155.462  154.885  146.622  163.713    2.90    2.90    2.90
    3.22    3.88 0.59653D-08  0  0  0.01131  272.93  264.92 0.22076D+15  2.170  139.919  139.342  131.077  148.172    3.22    3.22    3.22
    3.54    4.27 0.54241D-08  0  0  0.01133  272.89  264.97 0.21900D+15  2.170  127.202  126.625  118.357  135.456    3.54    3.54    3.54
    3.86    4.65 0.49731D-08  0  0  0.01136  272.86  265.02 0.21737D+15  2.170  116.604  116.028  107.757  124.860    3.86    3.86    3.86
    4.19    5.04 0.45915D-08  0  0  0.01138  272.83  265.06 0.21586D+15  2.170  107.637  107.061   98.788  115.894    4.19    4.19    4.19
    4.51    5.43 0.42644D-08  0  0  0.01141  272.80  265.09 0.21446D+15  2.171   99.951   99.374   91.099  108.209    4.51    4.51    4.51
    4.83    5.82 0.39810D-08  0  0  0.01144  272.77  265.12 0.21314D+15  2.171   93.290   92.713   84.436  101.549    4.83    4.83    4.83
    5.15    6.21 0.37329D-08  0  0  0.01146  272.74  265.15 0.21190D+15  2.171   87.461   86.884   78.604   95.721    5.15    5.15    5.15
    5.47    6.59 0.35141D-08  0  0  0.01149  272.70  265.18 0.21072D+15  2.171   82.318   81.742   73.459   90.580    5.47    5.47    5.47
    5.80    6.98 0.33195D-08  0  0  0.01151  272.67  265.20 0.20961D+15  2.172   77.746   77.170   68.885   86.009    5.80    5.80    5.80
    6.12    7.37 0.31455D-08  0  0  0.01154  272.64  265.22 0.20855D+15  2.172   73.656   73.080   64.792   81.920    6.12    6.12    6.12
    6.44    7.76 0.29888D-08  0  0  0.01157  272.61  265.24 0.20755D+15  2.172   69.975   69.398   61.108   78.240    6.44    6.44    6.44
    6.76    8.15 0.28471D-08  0  0  0.01159  272.57  265.26 0.20658D+15  2.173   66.644   66.068   57.775   74.911    6.76    6.76    6.76
    7.08    8.54 0.27182D-08  0  0  0.01162  272.54  265.27 0.20566D+15  2.173   63.616   63.040   54.745   71.884    7.08    7.08    7.08
    7.41    8.92 0.26006D-08  0  0  0.01165  272.51  265.28 0.20478D+15  2.173   60.851   60.275   51.978   69.121    7.41    7.41    7.41
    7.73    9.31 0.24927D-08  0  0  0.01168  272.48  265.30 0.20393D+15  2.173   58.317   57.741   49.441   66.588    7.73    7.73    7.73
    8.05    9.70 0.23935D-08  0  0  0.01170  272.45  265.31 0.20311D+15  2.174   55.985   55.409   47.107   64.257    8.05    8.05    8.05
    8.37   10.09 0.23019D-08  0  0  0.01173  272.41  265.31 0.20233D+15  2.174   53.833   53.257   44.952   62.106    8.37    8.37    8.37
    8.69   10.48 0.22171D-08  0  0  0.01176  272.38  265.32 0.20156D+15  2.174   51.840   51.264   42.957   60.115    8.69    8.69    8.69
    9.02   10.86 0.21384D-08  0  0  0.01179  272.35  265.33 0.20083D+15  2.174   49.990   49.414   41.104   58.265    9.02    9.02    9.02
    9.34   11.25 0.20651D-08  0  0  0.01181  272.31  265.33 0.20012D+15  2.175   48.267   47.691   39.378   56.544    9.34    9.34    9.34
    9.66   11.64 0.19967D-08  0  0  0.01184  272.28  265.34 0.19943D+15  2.175   46.659   46.083   37.768   54.937    9.66    9.66    9.66
    9.98   12.03 0.19326D-08  0  0  0.01187  272.25  265.34 0.19876D+15  2.175   45.154   44.579   36.261   53.434    9.98    9.98    9.98
   10.30   12.42 0.18726D-08  0  0  0.01190  272.22  265.35 0.19812D+15  2.176   43.744   43.168   34.848   52.025   10.30   10.30   10.30
   10.63   12.80 0.18163D-08  0  0  0.01193  272.18  265.35 0.19749D+15  2.176   42.419   41.844   33.521   50.701   10.63   10.63   10.63
