R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
     Pint       Hint       etaref      pCLA conv   zbot     %vol    Tbot     Tm      Fbot     Ftop     dlid
 0.28517D-09 0.11500D+13 0.10000D+14   0.0000  1  158.746  0.00000  253.79  253.85   11.687   46.987    7.48
 0.29307D-09 0.11625D+13 0.10000D+14   0.0000  1  155.848  0.00000  254.27  254.33   11.694   47.440    7.44
 0.30182D-09 0.11750D+13 0.10000D+14   0.0000  1  152.628  0.00000  254.80  254.86   11.734   47.924    7.41
 0.31095D-09 0.11875D+13 0.10000D+14   0.0000  1  149.408  0.00000  255.31  255.37   11.774   48.409    7.38
 0.31982D-09 0.12000D+13 0.10000D+14   0.0000  1  146.510  0.00000  255.77  255.83   11.784   48.865    7.35
 0.32971D-09 0.12125D+13 0.10000D+14   0.0000  1  143.290  0.00000  256.27  256.32   11.827   49.353    7.31
 0.33934D-09 0.12250D+13 0.10000D+14   0.0000  1  140.392  0.00000  256.71  256.77   11.840   49.812    7.28
 0.34936D-09 0.12375D+13 0.10000D+14   0.0000  1  137.494  0.00000  257.15  257.21   11.855   50.272    7.25
 0.35980D-09 0.12500D+13 0.10000D+14   0.0000  1  134.596  0.00000  257.58  257.64   11.871   50.734    7.22
 0.37068D-09 0.12625D+13 0.10000D+14   0.0000  1  131.698  0.00000  258.01  258.06   11.890   51.199    7.19
 0.38205D-09 0.12750D+13 0.10000D+14   0.0000  1  128.800  0.00000  258.43  258.48   11.911   51.665    7.16
 0.39300D-09 0.12875D+13 0.10000D+14   0.0000  1  126.224  0.00000  258.80  258.86   11.902   52.101    7.12
 0.40537D-09 0.13000D+13 0.10000D+14   0.0000  1  123.326  0.00000  259.21  259.26   11.928   52.572    7.09
 0.41729D-09 0.13125D+13 0.10000D+14   0.0000  1  120.750  0.00000  259.57  259.62   11.924   53.013    7.06
 0.42972D-09 0.13250D+13 0.10000D+14   0.0000  1  118.174  0.00000  259.93  259.98   11.922   53.457    7.03
 0.44269D-09 0.13375D+13 0.10000D+14   0.0000  1  115.598  0.00000  260.28  260.33   11.924   53.903    7.00
 0.45624D-09 0.13500D+13 0.10000D+14   0.0000  1  113.022  0.00000  260.63  260.68   11.928   54.351    6.97
 0.47041D-09 0.13625D+13 0.10000D+14   0.0000  1  110.446  0.00000  260.97  261.02   11.936   54.803    6.94
 0.48390D-09 0.13750D+13 0.10000D+14   0.0000  1  108.192  0.00000  261.27  261.33   11.913   55.223    6.91
 0.49936D-09 0.13875D+13 0.10000D+14   0.0000  1  105.616  0.00000  261.61  261.66   11.927   55.680    6.88
 0.51409D-09 0.14000D+13 0.10000D+14   0.0000  1  103.362  0.00000  261.91  261.95   11.911   56.106    6.85
 0.52946D-09 0.14125D+13 0.10000D+14   0.0000  1  101.108  0.00000  262.20  262.24   11.897   56.535    6.82
 0.54552D-09 0.14250D+13 0.10000D+14   0.0000  1   98.854  0.00000  262.49  262.53   11.887   56.966    6.79
 0.56232D-09 0.14375D+13 0.10000D+14   0.0000  1   96.600  0.00000  262.77  262.82   11.881   57.401    6.77
 0.57990D-09 0.14500D+13 0.10000D+14   0.0000  1   94.346  0.00000  263.05  263.09   11.879   57.840    6.74
 0.59637D-09 0.14625D+13 0.10000D+14   0.0000  1   92.414  0.00000  263.30  263.34   11.843   58.244    6.71
 0.61354D-09 0.14750D+13 0.10000D+14   0.0000  1   90.482  0.00000  263.53  263.59   11.810   58.651    6.68
 0.63361D-09 0.14875D+13 0.10000D+14   0.0000  1   88.228  0.00000  263.81  263.85   11.821   59.101    6.65
 0.65242D-09 0.15000D+13 0.10000D+14   0.0000  1   86.296  0.00000  264.05  264.09   11.796   59.514    6.62
 0.67207D-09 0.15125D+13 0.10000D+14   0.0000  1   84.364  0.00000  264.28  264.32   11.776   59.932    6.59
 0.69264D-09 0.15250D+13 0.10000D+14   0.0000  1   82.432  0.00000  264.51  264.55   11.759   60.353    6.57
 0.71148D-09 0.15375D+13 0.10000D+14   0.0000  1   80.822  0.00000  264.70  264.75   11.705   60.735    6.54
 0.73390D-09 0.15500D+13 0.10000D+14   0.0000  1   78.890  0.00000  264.93  264.98   11.697   61.164    6.51
 0.75444D-09 0.15625D+13 0.10000D+14   0.0000  1   77.280  0.00000  265.12  265.17   11.651   61.553    6.48
 0.77900D-09 0.15750D+13 0.10000D+14   0.0000  1   75.348  0.00000  265.35  265.39   11.652   61.990    6.46
 0.80148D-09 0.15875D+13 0.10000D+14   0.0000  1   73.738  0.00000  265.54  265.58   11.614   62.386    6.43
 0.82496D-09 0.16000D+13 0.10000D+14   0.0000  1   72.128  0.00000  265.72  265.77   11.579   62.786    6.40
 0.84950D-09 0.16125D+13 0.10000D+14   0.0000  1   70.518  0.00000  265.91  265.95   11.550   63.190    6.38
 0.87517D-09 0.16250D+13 0.10000D+14   0.0000  1   68.908  0.00000  266.09  266.14   11.524   63.598    6.35
 0.90206D-09 0.16375D+13 0.10000D+14   0.0000  1   67.298  0.00000  266.28  266.32   11.504   64.010    6.32
 0.92590D-09 0.16500D+13 0.10000D+14   0.0000  1   66.010  0.00000  266.42  266.47   11.438   64.376    6.30
 0.95524D-09 0.16625D+13 0.10000D+14   0.0000  1   64.400  0.00000  266.60  266.65   11.427   64.797    6.27
 0.98124D-09 0.16750D+13 0.10000D+14   0.0000  1   63.112  0.00000  266.75  266.80   11.370   65.170    6.24
