R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
  time_Gyr   Prad    Ptidal    Fcore     Pint     Hint     conv melt P(MPa)   zbot     %vol    Tbot     Tm      Fbot     Ftop     dlid   T_core
 0.10000D-01   1.0375   0.0000    0.746   1.0439 0.74346D-08  0  0    6.02    5.000  0.01145  272.75  268.29   73.001  106.624    5.00   274.38
 0.12270D-01   1.0362   0.0000    1.360   1.0530 0.37396D-08  0  0   12.12   10.060  0.01188  272.24  269.01   27.461   61.497   10.06   276.01
 0.14540D-01   1.0349   0.0000    1.740   1.0616 0.26174D-08  0  0   17.51   14.533  0.01228  271.78  269.31   13.469   47.890   14.53   277.64
 0.16810D-01   1.0336   0.0000    1.967   1.0697 0.22314D-08  1  0   20.37   17.206  0.01253  271.50  269.44    8.903   43.640    9.88   279.27
 0.19080D-01   1.0324   0.0000    2.163   1.0770 0.20120D-08  1  0   22.84   19.237  0.01273  271.29  269.51    8.100   43.073    9.99   280.89
 0.21350D-01   1.0311   0.0000    2.345   1.0835 0.18524D-08  1  0   25.04   21.045  0.01291  271.10  269.57    7.444   42.629   10.07   282.52
 0.23620D-01   1.0298   0.0000    2.510   1.0891 0.17318D-08  1  0   27.00   22.651  0.01308  270.92  269.61    6.902   42.272   10.13   284.14
 0.25890D-01   1.0285   0.0000    2.661   1.0939 0.16378D-08  1  0   28.74   24.078  0.01323  270.77  269.63    6.452   41.977   10.19   285.76
 0.28160D-01   1.0273   0.0000    2.801   1.0976 0.15624D-08  1  0   30.29   25.347  0.01336  270.63  269.64    6.079   41.728   10.23   287.37
 0.30430D-01   1.0260   0.0000    2.931   1.1003 0.15004D-08  1  0   31.68   26.477  0.01349  270.51  269.65    5.771   41.510   10.27   288.99
 0.32700D-01   1.0247   0.0000    3.053   1.1019 0.14483D-08  1  0   32.92   27.489  0.01360  270.40  269.64    5.522   41.316   10.30   290.60
 0.34970D-01   1.0234   0.0000    3.168   1.1025 0.14035D-08  1  0   34.03   28.398  0.01370  270.30  269.63    5.323   41.136   10.34   292.21
 0.37240D-01   1.0222   0.0000    3.278   1.1020 0.13641D-08  1  0   35.03   29.220  0.01379  270.20  269.60    5.171   40.967   10.37   293.82
 0.39510D-01   1.0209   0.0000    3.382   1.1004 0.13287D-08  1  0   35.95   29.969  0.01388  270.12  269.57    5.060   40.803   10.40   295.43
 0.41780D-01   1.0196   0.0000    3.483   1.0977 0.12962D-08  1  0   36.79   30.659  0.01396  270.04  269.53    4.987   40.640   10.43   297.03
 0.44050D-01   1.0184   0.0000    3.580   1.0940 0.12658D-08  1  0   37.57   31.302  0.01404  269.97  269.49    4.947   40.477   10.47   298.63
 0.46320D-01   1.0171   0.0000    3.675   1.0893 0.12369D-08  1  0   38.31   31.908  0.01411  269.90  269.43    4.937   40.310   10.50   300.24
 0.48590D-01   1.0159   0.0000    3.766   1.0836 0.12091D-08  1  0   39.00   32.487  0.01418  269.84  269.37    4.954   40.139   10.54   301.83
 0.50860D-01   1.0146   0.0000    3.856   1.0772 0.11818D-08  1  0   39.68   33.048  0.01425  269.77  269.30    4.994   39.962   10.58   303.43
 0.53130D-01   1.0134   0.0000    3.943   1.0699 0.11550D-08  1  0   40.34   33.599  0.01431  269.71  269.22    5.054   39.778   10.62   305.03
 0.55400D-01   1.0121   0.0000    4.028   1.0619 0.11284D-08  1  0   41.00   34.147  0.01438  269.65  269.13    5.132   39.588   10.66   306.62
 0.57670D-01   1.0109   0.0000    4.112   1.0532 0.11018D-08  1  0   41.66   34.697  0.01445  269.58  269.04    5.223   39.390   10.71   308.21
 0.59940D-01   1.0096   0.0000    4.194   1.0441 0.10754D-08  1  0   42.32   35.255  0.01452  269.52  268.95    5.326   39.187   10.75   309.80
 0.62210D-01   1.0084   0.0000    4.275   1.0345 0.10490D-08  1  0   43.00   35.824  0.01459  269.45  268.85    5.438   38.977   10.80   311.39
 0.64480D-01   1.0071   0.0000    4.355   1.0247 0.10227D-08  1  0   43.70   36.407  0.01467  269.39  268.74    5.555   38.762   10.85   312.97
 0.66750D-01   1.0059   0.0000    4.433   1.0146 0.99664D-09  1  0   44.41   37.007  0.01474  269.32  268.63    5.675   38.543   10.91   314.55
 0.69020D-01   1.0046   0.0000    4.511   1.0044 0.97083D-09  1  0   45.15   37.625  0.01482  269.24  268.52    5.796   38.321   10.96   316.13
 0.71290D-01   1.0034   0.0000    4.587   0.9942 0.94541D-09  1  0   45.91   38.260  0.01491  269.17  268.40    5.915   38.098   11.02   317.71
 0.73560D-01   1.0021   0.0000    4.661   0.9842 0.92049D-09  1  0   46.69   38.914  0.01500  269.09  268.28    6.031   37.874   11.07   319.29
 0.75830D-01   1.0009   0.0000    4.735   0.9743 0.89622D-09  1  0   47.49   39.585  0.01509  269.01  268.17    6.141   37.651   11.13   320.87
 0.78100D-01   0.9997   0.0000    4.808   0.9648 0.87270D-09  1  0   48.31   40.272  0.01518  268.93  268.05    6.243   37.431   11.18   322.44
 0.80370D-01   0.9984   0.0000    4.879   0.9556 0.85005D-09  1  0   49.15   40.972  0.01528  268.85  267.93    6.336   37.216   11.24   324.01
 0.82640D-01   0.9972   0.0000    4.949   0.9470 0.82839D-09  1  0   50.00   41.683  0.01538  268.76  267.82    6.418   37.006   11.29   325.58
 0.84910D-01   0.9960   0.0000    5.017   0.9389 0.80780D-09  1  0   50.87   42.401  0.01548  268.68  267.71    6.488   36.804   11.34   327.15
 0.87180D-01   0.9947   0.0000    5.085   0.9315 0.78839D-09  1  0   51.73   43.122  0.01558  268.59  267.60    6.545   36.610   11.39   328.71
 0.89450D-01   0.9935   0.0000    5.151   0.9248 0.77022D-09  1  0   52.60   43.844  0.01568  268.50  267.50    6.588   36.427   11.43   330.28
 0.91720D-01   0.9923   0.0000    5.215   0.9190 0.75335D-09  1  0   53.46   44.560  0.01579  268.42  267.40    6.616   36.255   11.48   331.84
 0.93990D-01   0.9911   0.0000    5.278   0.9139 0.73784D-09  1  0   54.32   45.268  0.01589  268.33  267.32    6.629   36.096   11.52   333.40
 0.96260D-01   0.9898   0.0000    5.340   0.9097 0.72372D-09  1  0   55.15   45.961  0.01600  268.25  267.24    6.626   35.951   11.55   334.96
 0.98530D-01   0.9886   0.0000    5.399   0.9065 0.71101D-09  1  0   55.97   46.636  0.01610  268.16  267.16    6.606   35.821   11.58   336.51
 0.10080D+00   0.9874   0.0000    5.458   0.9042 0.69975D-09  1  0   56.76   47.286  0.01620  268.08  267.10    6.571   35.707   11.61   338.07
 0.10307D+00   0.9862   0.0000    5.514   0.9029 0.68993D-09  1  0   57.51   47.908  0.01630  268.01  267.05    6.519   35.610   11.63   339.62
 0.10534D+00   0.9850   0.0000    5.569   0.9025 0.68157D-09  1  0   58.22   48.496  0.01639  267.93  267.01    6.451   35.530   11.65   341.17
 0.10761D+00   0.9838   0.0000    5.622   0.9032 0.67465D-09  1  0   58.89   49.045  0.01648  267.86  266.98    6.368   35.469   11.66   342.72
 0.10988D+00   0.9826   0.0000    5.673   0.9048 0.66917D-09  1  0   59.51   49.551  0.01656  267.80  266.96    6.270   35.425   11.66   344.26
