R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
   zbot    P(MPa) Hint     conv melt pCLA   Tbot     Tm     etam        k   Fcond_bot Fcond_top   Fbot     Ftop    dlid z_topTBL z_botTBL
    0.00   -0.00 0.13229D-05  0  0  0.01105  273.24  261.57 0.32206D+15  2.167    0.000    0.000    0.000    0.000    0.00    0.00    0.00
    0.32    0.39 0.13232D-06  0  0  0.01108  273.21  266.01 0.20278D+15  2.167 1398.882 1398.305 1379.282 1417.902    0.32    0.32    0.32
    0.64    0.77 0.66172D-07  0  0  0.01110  273.18  266.72 0.18814D+15  2.167  699.459  698.882  679.853  718.482    0.64    0.64    0.64
    0.97    1.16 0.44123D-07  0  0  0.01113  273.15  267.17 0.17922D+15  2.168  466.317  465.740  446.707  485.343    0.97    0.97    0.97
    1.29    1.55 0.33099D-07  0  0  0.01115  273.12  267.50 0.17277D+15  2.168  349.747  349.170  330.130  368.775    1.29    1.29    1.29
    1.61    1.94 0.26485D-07  0  0  0.01118  273.08  267.77 0.16770D+15  2.168  279.804  279.227  260.183  298.835    1.61    1.61    1.61
    1.93    2.33 0.22075D-07  0  0  0.01120  273.05  267.99 0.16352D+15  2.168  233.176  232.599  213.549  252.210    1.93    1.93    1.93
    2.25    2.71 0.18926D-07  0  0  0.01123  273.02  268.18 0.15997D+15  2.169  199.870  199.293  180.237  218.906    2.25    2.25    2.25
    2.58    3.10 0.16563D-07  0  0  0.01125  272.99  268.35 0.15688D+15  2.169  174.890  174.313  155.252  193.930    2.58    2.58    2.58
    2.90    3.49 0.14726D-07  0  0  0.01128  272.96  268.49 0.15414D+15  2.169  155.462  154.885  135.818  174.504    2.90    2.90    2.90
    3.22    3.88 0.13256D-07  0  0  0.01131  272.93  268.63 0.15169D+15  2.170  139.919  139.342  120.270  158.964    3.22    3.22    3.22
    3.54    4.27 0.12054D-07  0  0  0.01133  272.89  268.74 0.14946D+15  2.170  127.202  126.625  107.548  146.249    3.54    3.54    3.54
    3.86    4.65 0.11051D-07  0  0  0.01136  272.86  268.85 0.14743D+15  2.170  116.604  116.028   96.945  135.655    3.86    3.86    3.86
    4.19    5.04 0.10203D-07  0  0  0.01138  272.83  268.95 0.14555D+15  2.170  107.637  107.061   87.972  126.690    4.19    4.19    4.19
    4.51    5.43 0.94765D-08  0  0  0.01141  272.80  269.04 0.14382D+15  2.171   99.951   99.374   80.281  119.007    4.51    4.51    4.51
    4.83    5.82 0.88466D-08  0  0  0.01144  272.77  269.13 0.14220D+15  2.171   93.290   92.713   73.614  112.348    4.83    4.83    4.83
    5.15    6.21 0.82954D-08  0  0  0.01146  272.74  269.21 0.14068D+15  2.171   87.461   86.884   67.780  106.522    5.15    5.15    5.15
    5.47    6.59 0.78090D-08  0  0  0.01149  272.70  269.28 0.13926D+15  2.171   82.318   81.742   62.631  101.382    5.47    5.47    5.47
    5.80    6.98 0.73767D-08  0  0  0.01151  272.67  269.35 0.13791D+15  2.172   77.746   77.170   58.054   96.813    5.80    5.80    5.80
    6.12    7.37 0.69899D-08  0  0  0.01154  272.64  269.41 0.13664D+15  2.172   73.656   73.080   53.959   92.726    6.12    6.12    6.12
    6.44    7.76 0.66418D-08  0  0  0.01157  272.61  269.47 0.13543D+15  2.172   69.975   69.398   50.272   89.047    6.44    6.44    6.44
    6.76    8.15 0.63268D-08  0  0  0.01159  272.57  269.53 0.13428D+15  2.173   66.644   66.068   46.936   85.719    6.76    6.76    6.76
    7.08    8.54 0.60405D-08  0  0  0.01162  272.54  269.58 0.13319D+15  2.173   63.616   63.040   43.902   82.694    7.08    7.08    7.08
    7.41    8.92 0.57790D-08  0  0  0.01165  272.51  269.63 0.13214D+15  2.173   60.851   60.275   41.132   79.932    7.41    7.41    7.41
    7.73    9.31 0.55394D-08  0  0  0.01168  272.48  269.68 0.13114D+15  2.173   58.317   57.741   38.592   77.400    7.73    7.73    7.73
    8.05    9.70 0.53189D-08  0  0  0.01170  272.45  269.72 0.13018D+15  2.174   55.985   55.409   36.255   75.071    8.05    8.05    8.05
    8.37   10.09 0.51154D-08  0  0  0.01173  272.41  269.76 0.12925D+15  2.174   53.833   53.257   34.098   72.922    8.37    8.37    8.37
    8.69   10.48 0.49270D-08  0  0  0.01176  272.38  269.80 0.12836D+15  2.174   51.840   51.264   32.099   70.932    8.69    8.69    8.69
    9.02   10.86 0.47520D-08  0  0  0.01179  272.35  269.84 0.12751D+15  2.174   49.990   49.414   30.243   69.084    9.02    9.02    9.02
    9.34   11.25 0.45891D-08  0  0  0.01181  272.31  269.87 0.12668D+15  2.175   48.267   47.691   28.515   67.364    9.34    9.34    9.34
    9.66   11.64 0.44370D-08  0  0  0.01184  272.28  269.91 0.12588D+15  2.175   46.659   46.083   26.901   65.759    9.66    9.66    9.66
    9.98   12.03 0.42948D-08  0  0  0.01187  272.25  269.94 0.12511D+15  2.175   45.154   44.579   25.392   64.257    9.98    9.98    9.98
   10.30   12.42 0.41614D-08  0  0  0.01190  272.22  269.97 0.12436D+15  2.176   43.744   43.168   23.976   62.850   10.30   10.30   10.30
   10.63   12.80 0.40362D-08  0  0  0.01193  272.18  270.00 0.12364D+15  2.176   42.419   41.844   22.646   61.527   10.63   10.63   10.63
   10.95   13.19 0.39183D-08  0  0  0.01195  272.15  270.03 0.12293D+15  2.176   41.172   40.597   21.393   60.283   10.95   10.95   10.95
   11.27   13.58 0.38071D-08  0  0  0.01198  272.12  270.05 0.12225D+15  2.176   39.997   39.421   20.212   59.110   11.27   11.27   11.27
   11.59   13.97 0.37021D-08  0  0  0.01201  272.09  270.08 0.12159D+15  2.177   38.886   38.311   19.096   58.003   11.59   11.59   11.59
   11.91   14.36 0.36028D-08  0  0  0.01204  272.05  270.10 0.12094D+15  2.177   37.836   37.261   18.040   56.955   11.91   11.91   11.91
   12.24   14.74 0.35087D-08  0  0  0.01207  272.02  270.12 0.12031D+15  2.177   36.841   36.266   17.040   55.963   12.24   12.24   12.24
   12.56   15.13 0.34194D-08  0  0  0.01210  271.99  270.15 0.11970D+15  2.178   35.897   35.321   16.090   55.022   12.56   12.56   12.56
   12.88   15.52 0.33346D-08  0  0  0.01213  271.95  270.17 0.11911D+15  2.178   35.000   34.425   15.188   54.127   12.88   12.88   12.88
   13.20   15.91 0.32540D-08  0  0  0.01216  271.92  270.18 0.11852D+15  2.178   34.147   33.572   14.329   53.277   13.20   13.20   13.20
