R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
     Pint       etaref      pCLA conv P(MPa)   zbot     %vol    Tbot     Tm      TH2O      Fbot     Ftop     dlid   T_core
 0.00000D+00 0.32000D+14   0.0150  1  175.48  147.203  0.15017  228.99  219.46  255.66    7.747    6.355   43.72  1499.71
 0.12500D+11 0.32000D+14   0.0150  1  175.34  147.003  0.14787  229.58  220.58  255.69    7.739    6.758   44.17  1499.75
 0.25000D+11 0.32000D+14   0.0150  1  175.17  146.782  0.14544  230.20  221.69  255.73    7.733    7.164   41.88  1499.82
 0.37500D+11 0.32000D+14   0.0150  1  174.99  146.556  0.14302  230.82  222.74  255.76    7.727    7.569   39.83  1499.88
 0.50000D+11 0.32000D+14   0.0150  1  174.79  146.326  0.14063  231.42  223.75  255.80    7.721    7.975   37.99  1499.94
 0.62500D+11 0.32000D+14   0.0150  1  174.58  146.090  0.13827  232.02  224.71  255.84    7.716    8.380   36.32  1500.01
 0.75000D+11 0.32000D+14   0.0150  1  174.36  145.849  0.13594  232.60  225.64  255.87    7.710    8.786   34.80  1500.07
 0.87500D+11 0.32000D+14   0.0150  1  174.13  145.603  0.13364  233.18  226.53  255.91    7.704    9.191   33.41  1500.13
 0.10000D+12 0.32000D+14   0.0150  1  173.88  145.352  0.13137  233.74  227.39  255.95    7.698    9.597   32.14  1500.19
 0.11250D+12 0.32000D+14   0.0150  1  173.63  145.096  0.12913  234.30  228.23  255.99    7.693   10.003   30.97  1500.26
 0.12500D+12 0.32000D+14   0.0150  1  173.37  144.835  0.12693  234.85  229.03  256.03    7.687   10.409   29.89  1500.32
 0.13750D+12 0.32000D+14   0.0150  1  173.10  144.569  0.12475  235.38  229.81  256.07    7.682   10.815   28.89  1500.37
 0.15000D+12 0.32000D+14   0.0150  1  172.82  144.297  0.12261  235.91  230.57  256.11    7.676   11.221   27.96  1500.43
 0.16250D+12 0.32000D+14   0.0150  1  172.52  144.020  0.12049  236.43  231.30  256.16    7.671   11.627   27.09  1500.49
 0.17500D+12 0.32000D+14   0.0150  1  172.22  143.737  0.11841  236.94  232.02  256.20    7.665   12.034   26.28  1500.55
 0.18750D+12 0.32000D+14   0.0150  1  171.92  143.448  0.11635  237.44  232.71  256.25    7.660   12.440   25.52  1500.61
 0.20000D+12 0.32000D+14   0.0150  1  171.60  143.153  0.11433  237.93  233.39  256.29    7.654   12.846   24.80  1500.66
 0.21250D+12 0.32000D+14   0.0150  1  171.27  142.852  0.11233  238.41  234.05  256.34    7.649   13.253   24.13  1500.72
 0.22500D+12 0.32000D+14   0.0150  1  170.93  142.545  0.11036  238.89  234.69  256.38    7.643   13.659   23.50  1500.77
 0.23750D+12 0.32000D+14   0.0150  1  170.59  142.230  0.10841  239.36  235.32  256.43    7.638   14.066   22.90  1500.83
 0.25000D+12 0.32000D+14   0.0150  1  170.23  141.909  0.10649  239.82  235.94  256.48    7.633   14.472   22.34  1500.88
 0.26250D+12 0.32000D+14   0.0150  1  169.86  141.581  0.10460  240.28  236.54  256.53    7.627   14.879   21.80  1500.93
 0.27500D+12 0.32000D+14   0.0150  1  169.49  141.245  0.10273  240.73  237.13  256.58    7.622   15.286   21.30  1500.99
 0.28750D+12 0.32000D+14   0.0150  1  169.10  140.902  0.10088  241.17  237.71  256.64    7.616   15.692   20.81  1501.04
 0.30000D+12 0.32000D+14   0.0150  1  168.70  140.550  0.09906  241.61  238.28  256.69    7.611   16.099   20.36  1501.09
 0.31250D+12 0.32000D+14   0.0150  1  168.30  140.190  0.09726  242.04  238.83  256.74    7.605   16.506   19.92  1501.14
 0.32500D+12 0.32000D+14   0.0150  1  167.88  139.822  0.09548  242.47  239.38  256.80    7.600   16.913   19.50  1501.19
 0.33750D+12 0.32000D+14   0.0150  1  167.44  139.444  0.09373  242.89  239.91  256.86    7.594   17.320   19.11  1501.24
 0.35000D+12 0.32000D+14   0.0150  1  167.00  139.058  0.09200  243.30  240.44  256.92    7.588   17.727   18.73  1501.29
 0.36250D+12 0.32000D+14   0.0150  1  166.54  138.661  0.09028  243.71  240.96  256.98    7.583   18.134   18.37  1501.34
 0.37500D+12 0.32000D+14   0.0150  1  166.08  138.255  0.08859  244.12  241.46  257.04    7.577   18.541   18.02  1501.39
 0.38750D+12 0.32000D+14   0.0150  1  165.59  137.838  0.08692  244.52  241.97  257.10    7.571   18.948   17.69  1501.44
 0.40000D+12 0.32000D+14   0.0150  1  165.10  137.411  0.08527  244.91  242.46  257.16    7.565   19.355   17.37  1501.48
 0.41250D+12 0.32000D+14   0.0150  1  164.59  136.972  0.08364  245.30  242.94  257.23    7.559   19.762   17.06  1501.53
 0.42500D+12 0.32000D+14   0.0150  1  164.07  136.522  0.08203  245.69  243.42  257.30    7.553   20.169   16.76  1501.58
 0.43750D+12 0.32000D+14   0.0150  1  163.53  136.060  0.08044  246.08  243.89  257.37    7.547   20.577   16.48  1501.63
 0.45000D+12 0.32000D+14   0.0150  1  162.97  135.585  0.07887  246.46  244.36  257.44    7.541   20.984   16.21  1501.67
 0.46250D+12 0.32000D+14   0.0150  1  162.40  135.097  0.07731  246.83  244.82  257.51    7.535   21.391   15.95  1501.72
 0.47500D+12 0.32000D+14   0.0150  1  161.81  134.596  0.07578  247.21  245.27  257.58    7.528   21.799   15.69  1501.76
 0.48750D+12 0.32000D+14   0.0150  1  161.21  134.081  0.07426  247.58  245.72  257.66    7.522   22.206   15.45  1501.81
 0.50000D+12 0.32000D+14   0.0150  1  160.58  133.551  0.07276  247.94  246.16  257.74    7.515   22.613   15.22  1501.86
 0.51250D+12 0.32000D+14   0.0150  1  159.94  133.006  0.07128  248.31  246.60  257.82    7.509   23.021   14.99  1501.90
 0.52500D+12 0.32000D+14   0.0150  1  159.28  132.446  0.06982  248.67  247.03  257.90    7.502   23.428   14.77  1501.95
 0.53750D+12 0.32000D+14   0.0150  1  158.60  131.869  0.06837  249.02  247.46  257.98    7.495   23.836   14.56  1501.99
 0.55000D+12 0.32000D+14   0.0150  1  157.90  131.276  0.06694  249.38  247.88  258.07    7.488   24.243   14.35  1502.03
 0.56250D+12 0.32000D+14   0.0150  1  157.18  130.665  0.06554  249.73  248.30  258.16    7.481   24.651   14.16  1502.08
 0.57500D+12 0.32000D+14   0.0150  1  156.43  130.036  0.06414  250.08  248.72  258.25    7.474   25.058   13.96  1502.12
 0.58750D+12 0.32000D+14   0.0150  1  155.67  129.389  0.06277  250.43  249.13  258.35    7.466   25.466   13.78  1502.17
 0.60000D+12 0.32000D+14   0.0150  1  154.88  128.722  0.06142  250.78  249.54  258.44    7.458   25.874   13.60  1502.21
 0.61250D+12 0.32000D+14   0.0150  1  154.06  128.035  0.06008  251.12  249.94  258.54    7.451   26.281   13.42  1502.25
 0.62500D+12 0.32000D+14   0.0150  1  153.22  127.328  0.05876  251.46  250.34  258.64    7.443   26.689   13.26  1502.30
 0.63750D+12 0.32000D+14   0.0150  1  152.35  126.599  0.05746  251.80  250.73  258.75    7.435   27.097   13.09  1502.34
 0.65000D+12 0.32000D+14   0.0150  1  151.46  125.848  0.05617  252.14  251.13  258.85    7.426   27.505   12.93  1502.38
 0.66250D+12 0.32000D+14   0.0150  1  150.54  125.074  0.05491  252.48  251.52  258.96    7.418   27.912   12.78  1502.42
 0.67500D+12 0.32000D+14   0.0150  1  149.59  124.276  0.05366  252.81  251.90  259.08    7.409   28.320   12.63  1502.47
 0.68750D+12 0.32000D+14   0.0150  1  148.61  123.455  0.05244  253.15  252.29  259.19    7.400   28.728   12.49  1502.51
