R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
     Pint       etaref      pCLA   dlid_avg dlid_min dlid_max
 0.42000D+12 0.31623D+14   0.0150   13.073   12.310   13.881
 0.42000D+12 0.35481D+14   0.0150   13.205   12.458   13.990
 0.42000D+12 0.39811D+14   0.0150   13.344   12.612   14.109
 0.42000D+12 0.44668D+14   0.0150   13.490   12.770   14.240
 0.42000D+12 0.50119D+14   0.0150   13.644   12.932   14.381
 0.42000D+12 0.56234D+14   0.0150   13.804   13.099   14.532
 0.42000D+12 0.63096D+14   0.0150   13.970   13.268   14.694
 0.42000D+12 0.70795D+14   0.0150   14.142   13.440   14.864
 0.42000D+12 0.79433D+14   0.0150   14.317   13.612   15.041
 0.42000D+12 0.89125D+14   0.0150   14.494   13.784   15.223
 0.42000D+12 0.10000D+15   0.0150   14.671   13.954   15.408
 0.42000D+12 0.11220D+15   0.0150   14.847   14.120   15.594
 0.42000D+12 0.12589D+15   0.0150   15.020   14.280   15.780
 0.42000D+12 0.14125D+15   0.0150   15.188   14.431   15.965
 0.42000D+12 0.15849D+15   0.0150   15.349   14.571   16.147
 0.42000D+12 0.17783D+15   0.0150   15.502   14.698   16.325
 0.42000D+12 0.19953D+15   0.0150   15.647   14.811   16.499
 0.42000D+12 0.22387D+15   0.0150   15.781   14.908   16.668
 0.42000D+12 0.25119D+15   0.0150   15.906   14.987   16.832
 0.42000D+12 0.28184D+15   0.0150   17.761   15.250   22.635
 0.42000D+12 0.31623D+15   0.0150   19.188   15.932   23.331
 0.42000D+12 0.35481D+15   0.0150   20.815   16.893   23.905
 0.42000D+12 0.39811D+15   0.0150   22.686   21.134   24.263
 0.42000D+12 0.44668D+15   0.0150   22.686   21.134   24.263
 0.42000D+12 0.50119D+15   0.0150   22.686   21.134   24.263
 0.42000D+12 0.56234D+15   0.0150   22.686   21.134   24.263
 0.42000D+12 0.63096D+15   0.0150   22.686   21.134   24.263
 0.42000D+12 0.70795D+15   0.0150   22.686   21.134   24.263
 0.42000D+12 0.79433D+15   0.0150   22.686   21.134   24.263
 0.42000D+12 0.89125D+15   0.0150   22.686   21.134   24.263
 0.42000D+12 0.10000D+16   0.0150   22.686   21.134   24.263
 0.43000D+12 0.10000D+14   0.0150   11.936   10.996   12.960
 0.43000D+12 0.11220D+14   0.0150   12.020   11.092   13.030
 0.43000D+12 0.12589D+14   0.0150   12.106   11.193   13.101
 0.43000D+12 0.14125D+14   0.0150   12.195   11.299   13.173
 0.43000D+12 0.15849D+14   0.0150   12.289   11.410   13.245
 0.43000D+12 0.17783D+14   0.0150   12.386   11.527   13.319
 0.43000D+12 0.19953D+14   0.0150   12.488   11.649   13.395
 0.43000D+12 0.22387D+14   0.0150   12.594   11.777   13.474
 0.43000D+12 0.25119D+14   0.0150   12.707   11.911   13.559
 0.43000D+12 0.28184D+14   0.0150   12.825   12.049   13.651
 0.43000D+12 0.31623D+14   0.0150   12.950   12.193   13.752
 0.43000D+12 0.35481D+14   0.0150   13.083   12.341   13.862
 0.43000D+12 0.39811D+14   0.0150   13.222   12.494   13.982
 0.43000D+12 0.44668D+14   0.0150   13.369   12.652   14.114
 0.43000D+12 0.50119D+14   0.0150   13.522   12.814   14.256
 0.43000D+12 0.56234D+14   0.0150   13.682   12.979   14.409
 0.43000D+12 0.63096D+14   0.0150   13.848   13.147   14.570
 0.43000D+12 0.70795D+14   0.0150   14.019   13.317   14.741
 0.43000D+12 0.79433D+14   0.0150   14.192   13.488   14.917
 0.43000D+12 0.89125D+14   0.0150   14.368   13.658   15.098
 0.43000D+12 0.10000D+15   0.0150   14.543   13.824   15.281
