R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
  time_Gyr   Prad    Ptidal    Fcore     Pint     Hint     conv melt P(MPa)   zbot     %vol    Tbot     Tm      Fbot     Ftop     dlid   T_core
 0.10000D-01   1.0375   0.0000    0.746   1.4809 0.10548D-07  0  0    6.02    5.000  0.01145  272.75  268.69   65.833  113.776    5.00   274.38
 0.12270D-01   1.0362   0.0000    1.302   1.5917 0.64529D-08  0  0   10.61    8.806  0.01177  272.37  269.80   24.996   76.697    8.81   276.01
 0.14540D-01   1.0349   0.0000    1.639   1.6994 0.51500D-08  1  0   14.00   11.802  0.01203  272.06  270.59   10.366   65.708    6.61   277.64
 0.16810D-01   1.0336   0.0000    1.868   1.8021 0.47335D-08  1  0   16.28   13.633  0.01220  271.88  271.21    6.999   65.731    6.59   279.27
 0.19080D-01   1.0324   0.0000    2.054   1.8981 0.45972D-08  1  0   17.82   14.796  0.01230  271.76  271.74    4.286   66.192    6.54   280.89
 0.21350D-01   1.0311   0.0000    2.208   1.9855 0.46345D-08  1  0   18.51   15.358  0.01236  271.70  272.18    2.109   66.910    6.46   282.52
 0.23620D-01   1.0298   0.0000    2.340   2.0627 0.47947D-08  1  0   18.59   15.423  0.01236  271.69  272.54    0.413   67.766    6.38   284.14
 0.25890D-01   1.0285   0.0000    2.458   2.1281 0.50506D-08  1  0   18.20   15.102  0.01233  271.72  269.19   -2.950   66.604    6.98   285.76
 0.28160D-01   1.0273   0.0000    2.564   2.1804 0.54060D-08  1  0   17.42   14.451  0.01227  271.79  269.31   -3.868   67.411    6.91   287.37
 0.30430D-01   1.0260   0.0000    2.668   2.2187 0.58222D-08  0  0   16.44   13.646  0.01220  271.87  269.31   -3.618   68.902   13.65   288.99
 0.32700D-01   1.0247   0.0000    2.772   2.2420 0.62675D-08  0  0   15.43   12.803  0.01212  271.96  269.19   -1.803   71.446   12.80   290.60
 0.34970D-01   1.0234   0.0000    2.884   2.2500 0.66147D-08  0  0   14.66   12.169  0.01206  272.03  269.04   -0.081   73.399   12.17   292.21
 0.37240D-01   1.0222   0.0000    3.001   2.2424 0.67934D-08  0  0   14.23   11.806  0.01203  272.06  268.89    1.192   74.407   11.81   293.82
 0.39510D-01   1.0209   0.0000    3.116   2.2195 0.68287D-08  0  0   14.01   11.624  0.01201  272.08  268.72    2.176   74.627   11.62   295.43
 0.41780D-01   1.0196   0.0000    3.227   2.1816 0.67426D-08  0  0   13.94   11.571  0.01201  272.09  272.73    2.979   74.181   11.57   297.03
 0.44050D-01   1.0184   0.0000    3.335   2.1296 0.65540D-08  0  0   14.00   11.621  0.01201  272.08  272.52    3.669   73.163   11.62   298.63
 0.46320D-01   1.0171   0.0000    3.441   2.0645 0.62797D-08  0  0   14.17   11.759  0.01203  272.07  272.25    4.283   71.642   11.76   300.24
 0.48590D-01   1.0159   0.0000    3.543   1.9877 0.59357D-08  0  0   14.43   11.979  0.01205  272.05  271.93    4.841   69.679   11.98   301.83
 0.50860D-01   1.0146   0.0000    3.643   1.9005 0.55385D-08  1  0   14.67   12.277  0.01207  272.02  271.56    5.740   67.716    6.41   303.43
 0.53130D-01   1.0134   0.0000    3.749   1.8048 0.50392D-08  1  0   15.28   12.818  0.01212  271.96  271.16    7.442   66.259    6.55   305.03
 0.55400D-01   1.0121   0.0000    3.863   1.7022 0.44436D-08  1  0   16.34   13.718  0.01220  271.87  270.74    9.083   64.513    6.72   306.62
 0.57670D-01   1.0109   0.0000    3.983   1.5946 0.38073D-08  1  0   17.88   15.011  0.01232  271.73  270.27   10.646   62.519    6.92   308.21
 0.59940D-01   1.0096   0.0000    4.109   1.4839 0.31815D-08  1  0   19.94   16.735  0.01249  271.55  269.75   12.124   60.326    7.16   309.80
 0.62210D-01   1.0084   0.0000    4.241   1.3719 0.26051D-08  1  0   22.56   18.922  0.01270  271.32  269.18   13.514   57.991    7.42   311.39
 0.64480D-01   1.0071   0.0000    4.379   1.2602 0.21009D-08  1  0   25.76   21.591  0.01297  271.04  268.54   14.822   55.571    7.72   312.97
 0.66750D-01   1.0059   0.0000    4.524   1.1506 0.16769D-08  1  0   29.54   24.748  0.01330  270.70  267.82   16.047   53.119    8.04   314.55
 0.69020D-01   1.0046   0.0000    4.673   1.0445 0.13305D-08  1  0   33.90   28.378  0.01370  270.30  267.03   17.190   50.680    8.39   316.13
 0.71290D-01   1.0034   0.0000    4.827   0.9430 0.10531D-08  1  0   38.80   32.456  0.01417  269.84  266.15   18.246   48.290    8.76   317.71
 0.73560D-01   1.0021   0.0000    4.985   0.8472 0.83376D-09  1  0   44.18   36.938  0.01474  269.32  265.21   19.205   45.976    9.15   319.29
 0.75830D-01   1.0009   0.0000    5.146   0.7581 0.66168D-09  1  0   49.99   41.776  0.01539  268.75  264.20   20.060   43.757    9.55   320.87
 0.78100D-01   0.9997   0.0000    5.308   0.6760 0.52724D-09  1  0   56.16   46.911  0.01614  268.13  263.13   20.800   41.647    9.96   322.44
 0.80370D-01   0.9984   0.0000    5.472   0.6016 0.42241D-09  1  0   62.62   52.285  0.01701  267.45  262.03   21.419   39.654   10.38   324.01
 0.82640D-01   0.9972   0.0000    5.636   0.5348 0.34075D-09  1  0   69.28   57.833  0.01800  266.73  260.89   21.910   37.783   10.81   325.58
 0.84910D-01   0.9960   0.0000    5.801   0.4759 0.27717D-09  1  0   76.08   63.494  0.01913  265.96  259.73   22.269   36.036   11.24   327.15
 0.87180D-01   0.9947   0.0000    5.965   0.4245 0.22769D-09  1  0   82.95   69.208  0.02041  265.14  258.56   22.497   34.410   11.66   328.71
 0.89450D-01   0.9935   0.0000    6.128   0.3806 0.18926D-09  1  0   89.81   74.915  0.02186  264.29  257.39   22.592   32.904   12.09   330.28
 0.91720D-01   0.9923   0.0000    6.291   0.3436 0.15950D-09  1  0   96.60   80.563  0.02350  263.40  256.23   22.556   31.511   12.51   331.84
 0.93990D-01   0.9911   0.0000    6.453   0.3134 0.13660D-09  1  0  103.25   86.098  0.02535  262.46  255.09   22.393   30.226   12.92   333.40
 0.96260D-01   0.9898   0.0000    6.614   0.2894 0.11916D-09  1  0  109.71   91.474  0.02744  261.50  253.98   22.104   29.041   13.31   334.96
 0.98530D-01   0.9886   0.0000    6.775   0.2714 0.10610D-09  1  0  115.93   96.648  0.02978  260.49  252.89   21.692   27.951   13.70   336.51
 0.10080D+00   0.9874   0.0000    6.935   0.2589 0.96638D-10  1  0  121.86  101.579  0.03239  259.46  251.84   21.158   26.950   14.07   338.07
 0.10307D+00   0.9862   0.0000    7.093   0.2519 0.90163D-10  1  0  127.45  106.230  0.03529  258.39  250.83   20.503   26.033   14.42   339.62
 0.10534D+00   0.9850   0.0000    7.249   0.2501 0.86245D-10  1  0  132.67  110.567  0.03849  257.30  249.88   19.728   25.199   14.75   341.17
 0.10761D+00   0.9838   0.0000    7.401   0.2534 0.84586D-10  1  0  137.47  114.559  0.04197  256.18  248.99   18.836   24.449   15.05   342.72
 0.10988D+00   0.9826   0.0000    7.546   0.2621 0.84996D-10  1  0  141.82  118.178  0.04569  255.06  248.18   17.829   23.791   15.32   344.26
 0.11215D+00   0.9813   0.0000    7.680   0.2762 0.87372D-10  1  0  145.70  121.400  0.04959  253.94  247.47   16.714   23.234   15.54   345.81
 0.11442D+00   0.9801   0.0000    7.795   0.2960 0.91686D-10  1  0  149.09  124.205  0.05355  252.84  246.88   15.501   22.798   15.69   347.35
 0.11669D+00   0.9789   0.0000    7.886   0.3218 0.97964D-10  1  0  151.96  126.581  0.05743  251.81  246.46   14.204   22.502   15.77   348.89
 0.11896D+00   0.9777   0.0000    7.943   0.3540 0.10628D-09  1  0  154.33  128.523  0.06102  250.88  246.21   12.840   22.373   15.74   350.43
 0.12123D+00   0.9765   0.0000    7.958   0.3930 0.11673D-09  1  0  156.18  130.032  0.06413  250.09  246.19   11.427   22.436   15.60   351.97
 0.12350D+00   0.9753   0.0000    7.929   0.4391 0.12945D-09  1  0  157.54  131.117  0.06657  249.47  246.41    9.982   22.716   15.33   353.50
 0.12577D+00   0.9741   0.0000    7.852   0.4927 0.14458D-09  1  0  158.43  131.790  0.06818  249.07  246.88    8.517   23.231   14.94   355.04
 0.12804D+00   0.9729   0.0000    7.733   0.5540 0.16225D-09  1  0  158.88  132.066  0.06886  248.90  247.60    7.038   23.990   14.45   356.57
 0.13031D+00   0.9717   0.0000    7.578   0.6231 0.18261D-09  1  0  158.92  131.958  0.06859  248.97  248.55    5.548   24.998   13.88   358.10
 0.13258D+00   0.9705   0.0000    7.397   0.6998 0.20579D-09  1  0  158.45  131.475  0.06742  249.26  249.70    4.045   26.247   13.25   359.62
 0.13485D+00   0.9693   0.0000    7.201   0.7840 0.23194D-09  1  0  157.42  130.620  0.06543  249.76  251.03    2.524   27.724   12.59   361.15
 0.13712D+00   0.9681   0.0000    7.000   0.8753 0.26117D-09  1  0  155.94  129.389  0.06277  250.43  252.50    0.981   29.409   11.93   362.67
 0.13939D+00   0.9670   0.0000    6.802   0.9728 0.29364D-09  1  0  153.99  127.775  0.05959  251.25  255.59    0.000   31.770   10.59   364.19
 0.14166D+00   0.9658   0.0000    6.622   1.0758 0.32938D-09  1  0  151.62  125.807  0.05611  252.16  257.73    0.000   35.134    9.82   365.71
 0.14393D+00   0.9646   0.0000    6.527   1.1832 0.36750D-09  1  0  149.26  123.849  0.05302  252.99  259.81    0.000   38.639    9.13   367.23
 0.14620D+00   0.9634   0.0000    6.470   1.2935 0.40764D-09  1  0  146.93  121.915  0.05028  253.74  261.80    0.000   42.244    8.53   368.75
 0.14847D+00   0.9622   0.0000    6.434   1.4055 0.44944D-09  1  0  144.62  119.994  0.04781  254.44  263.71    0.000   45.899    7.99   370.26
 0.15074D+00   0.9610   0.0000    6.411   1.5173 0.49244D-09  1  0  142.31  118.080  0.04558  255.09  265.51    0.000   49.551    7.52   371.78
 0.15301D+00   0.9599   0.0000    6.397   1.6272 0.53614D-09  1  0 -645.03  116.169  0.04355  255.70  267.21   -0.044   53.105    7.42   373.29
 0.15528D+00   0.9587   0.0000    6.391   1.7335 0.57994D-09  1  0  112.33  114.268  0.04169  256.27  268.77   -0.794   55.931    7.08   374.80
 0.15755D+00   0.9575   0.0000    6.369   1.8343 0.62412D-09  1  1  120.94  112.195  0.03984  256.86  270.21   -1.489   58.620    6.79   376.30
 0.15982D+00   0.9563   0.0000    6.337   1.9276 0.66855D-09  1  1  121.95  109.906  0.03797  257.47  271.51   -2.119   61.120    6.55   377.81
 0.16209D+00   0.9552   0.0000    6.306   2.0118 0.71274D-09  1  1  120.88  107.421  0.03612  258.10  272.66   -2.683   63.376    6.35   379.31
 0.16436D+00   0.9540   0.0000    6.277   2.0853 0.75623D-09  1  1  118.84  104.759  0.03432  258.74  273.65   -3.178   65.336    6.20   380.81
 0.16663D+00   0.9528   0.0000    6.253   2.1466 0.79851D-09  1  1  116.24  101.939  0.03260  259.38  274.46   -3.598   66.960    6.08   382.31
 0.16890D+00   0.9516   0.0000    6.233   2.1945 0.83908D-09  1  1  113.25   98.982  0.03096  260.02  275.09   -3.933   68.216    6.01   383.81
 0.17117D+00   0.9505   0.0000    6.219   2.2279 0.87736D-09  1  1  109.97   95.914  0.02942  260.64  275.53   -4.174   69.082    5.97   385.31
 0.17344D+00   0.9493   0.0000    6.211   2.2463 0.91275D-09  1  1  106.48   92.764  0.02799  261.25  275.79   -4.308   69.549    5.96   386.80
 0.17571D+00   0.9481   0.0000    6.209   2.2492 0.94461D-09  1  1  102.83   89.565  0.02666  261.85  275.86   -4.320   69.616    5.99   388.29
 0.17798D+00   0.9470   0.0000    6.214   2.2366 0.97217D-09  1  1   99.07   86.356  0.02545  262.42  275.75   -4.197   69.297    6.06   389.78
 0.18025D+00   0.9458   0.0000    6.226   2.2087 0.99464D-09  1  1   95.23   83.181  0.02435  262.96  275.47   -3.925   68.615    6.15   391.27
 0.18252D+00   0.9447   0.0000    6.245   2.1662 0.10111D-08  1  1   91.31   80.088  0.02336  263.47  275.02   -3.491   67.600    6.27   392.76
 0.18479D+00   0.9435   0.0000    6.273   2.1098 0.10206D-08  1  1   87.23   77.130  0.02248  263.95  274.43   -2.888   66.291    6.43   394.24
 0.18706D+00   0.9424   0.0000    6.309   2.0407 0.10221D-08  1  1   82.64   74.362  0.02171  264.37  273.70   -2.110   64.731    6.61   395.73
 0.18933D+00   0.9412   0.0000    6.353   1.9603 0.10146D-08  1  1   75.51   71.840  0.02106  264.76  272.85   -1.159   62.964    6.83   397.21
 0.19160D+00   0.9401   0.0000    6.407   1.8702 0.99737D-09  1  0 -266.37   69.620  0.02051  265.08  271.90   -0.042   61.037    7.07   398.69
 0.19387D+00   0.9389   0.0000    6.465   1.7720 0.97100D-09  1  0   81.56   67.671  0.02005  265.37  270.87    0.000   57.869    7.24   400.16
 0.19614D+00   0.9378   0.0000    6.506   1.6676 0.94012D-09  1  0   79.17   65.690  0.01960  265.65  269.77    0.000   54.459    7.57   401.64
 0.19841D+00   0.9366   0.0000    6.542   1.5588 0.90512D-09  1  0   76.77   63.697  0.01917  265.93  268.62    0.000   50.906    7.93   403.11
 0.20068D+00   0.9355   0.0000    6.582   1.4474 0.86523D-09  1  0   74.48   61.798  0.01878  266.19  267.77    2.303   49.394    8.22   404.59
 0.20295D+00   0.9343   0.0000    6.668   1.3354 0.81187D-09  1  0   73.18   60.717  0.01856  266.34  267.08    4.882   48.119    8.45   406.06
 0.20522D+00   0.9332   0.0000    6.775   1.2242 0.74776D-09  1  0   72.81   60.424  0.01850  266.38  266.31    7.300   46.725    8.71   407.53
 0.20749D+00   0.9320   0.0000    6.895   1.1156 0.67659D-09  1  0   73.22   60.871  0.01859  266.32  265.48    9.533   45.236    8.99   408.99
 0.20976D+00   0.9309   0.0000    7.024   1.0108 0.60230D-09  1  0   74.51   62.003  0.01882  266.16  264.58   11.567   43.676    9.29   410.46
 0.21203D+00   0.9298   0.0000    7.159   0.9111 0.52854D-09  1  0   76.57   63.759  0.01918  265.92  263.62   13.390   42.073    9.62   411.92
 0.21430D+00   0.9286   0.0000    7.299   0.8174 0.45828D-09  1  0   79.32   66.072  0.01969  265.60  262.62   14.999   40.450    9.97   413.38
 0.21657D+00   0.9275   0.0000    7.443   0.7305 0.39363D-09  1  0   82.66   68.871  0.02033  265.19  261.57   16.391   38.834   10.34   414.84
 0.21884D+00   0.9264   0.0000    7.589   0.6509 0.33582D-09  1  0   86.50   72.081  0.02112  264.72  260.49   17.572   37.244   10.73   416.30
 0.22111D+00   0.9252   0.0000    7.737   0.5790 0.28535D-09  1  0   90.74   75.627  0.02206  264.18  259.39   18.545   35.699   11.13   417.76
 0.22338D+00   0.9241   0.0000    7.884   0.5148 0.24215D-09  1  0   95.30   79.434  0.02316  263.58  258.27   19.319   34.214   11.54   419.21
 0.22565D+00   0.9230   0.0000    8.032   0.4583 0.20580D-09  1  0  100.09   83.429  0.02443  262.92  257.14   19.902   32.799   11.96   420.66
 0.22792D+00   0.9218   0.0000    8.179   0.4094 0.17568D-09  1  0  105.03   87.542  0.02588  262.21  256.02   20.304   31.460   12.38   422.11
 0.23019D+00   0.9207   0.0000    8.325   0.3678 0.15105D-09  1  0  110.03   91.708  0.02754  261.45  254.91   20.534   30.203   12.80   423.56
 0.23246D+00   0.9196   0.0000    8.469   0.3331 0.13122D-09  1  0  115.02   95.866  0.02940  260.65  253.82   20.603   29.027   13.21   425.01
 0.23473D+00   0.9185   0.0000    8.612   0.3049 0.11551D-09  1  0  119.93   99.961  0.03149  259.81  252.75   20.520   27.933   13.62   426.46
 0.23700D+00   0.9173   0.0000    8.753   0.2829 0.10334D-09  1  0  124.71  103.941  0.03381  258.93  251.72   20.294   26.921   14.02   427.90
 0.23927D+00   0.9162   0.0000    8.891   0.2667 0.94210D-10  1  0  129.30  107.763  0.03636  258.02  250.72   19.934   25.987   14.40   429.34
 0.24154D+00   0.9151   0.0000    9.025   0.2561 0.87711D-10  1  0  133.65  111.385  0.03916  257.08  249.78   19.448   25.134   14.76   430.78
 0.24381D+00   0.9140   0.0000    9.154   0.2507 0.83534D-10  1  0  137.72  114.771  0.04217  256.12  248.90   18.843   24.362   15.10   432.22
 0.24608D+00   0.9129   0.0000    9.276   0.2506 0.81449D-10  1  0  141.47  117.892  0.04538  255.15  248.08   18.127   23.676   15.41   433.66
 0.24835D+00   0.9118   0.0000    9.388   0.2557 0.81306D-10  1  0  144.87  120.719  0.04872  254.18  247.36   17.309   23.085   15.67   435.09
 0.25062D+00   0.9107   0.0000    9.486   0.2661 0.83024D-10  1  0  147.90  123.233  0.05211  253.24  246.74   16.398   22.601   15.88   436.52
 0.25289D+00   0.9096   0.0000    9.564   0.2820 0.86582D-10  1  0  150.53  125.416  0.05546  252.33  246.25   15.406   22.239   16.02   437.96
 0.25516D+00   0.9084   0.0000    9.617   0.3037 0.92009D-10  1  0  152.76  127.260  0.05864  251.50  245.92   14.343   22.017   16.07   439.39
 0.25743D+00   0.9073   0.0000    9.640   0.3316 0.99377D-10  1  0  154.59  128.758  0.06149  250.76  245.78   13.221   21.958   16.02   440.81
 0.25970D+00   0.9062   0.0000    9.630   0.3659 0.10879D-09  1  0  156.01  129.909  0.06387  250.15  245.84   12.050   22.079   15.86   442.24
 0.26197D+00   0.9051   0.0000    9.583   0.4072 0.12038D-09  1  0  157.02  130.718  0.06566  249.70  246.11   10.839   22.398   15.58   443.66
 0.26424D+00   0.9040   0.0000    9.499   0.4558 0.13429D-09  1  0  157.65  131.189  0.06674  249.43  246.62    9.590   22.930   15.18   445.09
 0.26651D+00   0.9029   0.0000    9.383   0.5119 0.15068D-09  1  0  157.89  131.325  0.06706  249.35  247.35    8.306   23.683   14.69   446.51
 0.26878D+00   0.9018   0.0000    9.239   0.5757 0.16969D-09  1  0  157.77  131.130  0.06660  249.46  248.29    6.985   24.661   14.12   447.93
 0.27105D+00   0.9007   0.0000    9.073   0.6473 0.19150D-09  1  0  157.30  130.602  0.06539  249.77  249.41    5.624   25.860   13.50   449.35
 0.27332D+00   0.8996   0.0000    8.893   0.7265 0.21625D-09  1  0  156.36  129.736  0.06350  250.25  250.70    4.218   27.271   12.85   450.76
 0.27559D+00   0.8985   0.0000    8.706   0.8130 0.24411D-09  1  0  154.89  128.521  0.06102  250.88  252.12    2.766   28.881   12.19   452.18
 0.27786D+00   0.8975   0.0000    8.519   0.9064 0.27524D-09  1  0  152.99  126.942  0.05806  251.64  253.64    1.267   30.670   11.55   453.59
 0.28013D+00   0.8964   0.0000    8.338   1.0058 0.30982D-09  1  0  150.63  124.983  0.05477  252.52  256.75    0.000   32.848   10.27   455.00
 0.28240D+00   0.8953   0.0000    8.166   1.1104 0.34805D-09  1  0  147.79  122.630  0.05126  253.47  258.88    0.000   36.263    9.55   456.41
 0.28467D+00   0.8942   0.0000    8.062   1.2189 0.38914D-09  1  0  144.87  120.206  0.04807  254.37  260.94    0.000   39.806    8.90   457.82
 0.28694D+00   0.8931   0.0000    8.001   1.3299 0.43255D-09  1  0  141.98  117.808  0.04528  255.18  262.91    0.000   43.432    8.34   459.22
 0.28921D+00   0.8920   0.0000    7.960   1.4420 0.47795D-09  1  0  139.11  115.422  0.04280  255.93  264.78    0.000   47.093    7.84   460.62
 0.29148D+00   0.8909   0.0000    7.932   1.5534 0.52490D-09  1  0  136.24  113.042  0.04058  256.62  266.53    0.000   50.731    7.41   462.03
 0.29375D+00   0.8898   0.0000    7.913   1.6624 0.57288D-09  1  0  133.38  110.667  0.03857  257.27  268.17    0.000   54.290    7.03   463.43
 0.29602D+00   0.8888   0.0000    7.900   1.7671 0.62134D-09  1  0   82.74  108.292  0.03675  257.89  269.67   -0.407   57.355    7.01   464.83
 0.29829D+00   0.8877   0.0000    7.888   1.8656 0.66989D-09  1  1  110.28  105.876  0.03506  258.48  271.02   -1.157   59.920    6.74   466.22
 0.30056D+00   0.8866   0.0000    7.858   1.9562 0.71917D-09  1  1  113.12  103.230  0.03337  259.09  272.23   -1.847   62.272    6.53   467.62
 0.30283D+00   0.8855   0.0000    7.824   2.0371 0.76883D-09  1  1  112.29  100.367  0.03171  259.72  273.29   -2.474   64.359    6.35   469.01
 0.30510D+00   0.8845   0.0000    7.791   2.1067 0.81850D-09  1  1  110.08   97.306  0.03010  260.36  274.18   -3.032   66.135    6.22   470.40
 0.30737D+00   0.8834   0.0000    7.760   2.1638 0.86776D-09  1  1  107.13   94.068  0.02857  261.00  274.88   -3.510   67.563    6.12   471.79
 0.30964D+00   0.8823   0.0000    7.733   2.2070 0.91617D-09  1  1  103.72   90.677  0.02711  261.64  275.40   -3.899   68.617    6.07   473.18
 0.31191D+00   0.8812   0.0000    7.711   2.2356 0.96327D-09  1  1   99.98   87.161  0.02574  262.28  275.74   -4.184   69.281    6.05   474.57
 0.31418D+00   0.8802   0.0000    7.694   2.2490 0.10085D-08  1  1   96.00   83.554  0.02447  262.90  275.88   -4.348   69.551    6.06   475.96
 0.31645D+00   0.8791   0.0000    7.682   2.2468 0.10511D-08  1  1   91.85   79.895  0.02330  263.50  275.85   -4.376   69.436    6.11   477.34
 0.31872D+00   0.8780   0.0000    7.678   2.2292 0.10904D-08  1  1   87.60   76.229  0.02222  264.09  275.63   -4.249   68.956    6.19   478.72
 0.32099D+00   0.8770   0.0000    7.680   2.1964 0.11254D-08  1  1   83.28   72.608  0.02125  264.64  275.24   -3.952   68.138    6.30   480.10
 0.32326D+00   0.8759   0.0000    7.690   2.1493 0.11546D-08  1  1   78.94   69.087  0.02038  265.16  274.70   -3.470   67.020    6.44   481.48
 0.32553D+00   0.8749   0.0000    7.709   2.0886 0.11768D-08  1  1   74.49   65.729  0.01961  265.64  274.02   -2.792   65.647    6.61   482.86
 0.32780D+00   0.8738   0.0000    7.736   2.0157 0.11901D-08  1  1   69.56   62.596  0.01894  266.08  273.22   -1.914   64.063    6.81   484.23
 0.33007D+00   0.8727   0.0000    7.773   1.9319 0.11928D-08  1  1   60.95   59.753  0.01837  266.47  272.32   -0.839   62.316    7.03   485.61
 0.33234D+00   0.8717   0.0000    7.819   1.8390 0.11830D-08  1  0   69.00   57.256  0.01789  266.81  271.35    0.000   60.056    7.22   486.98
 0.33461D+00   0.8706   0.0000    7.855   1.7385 0.11655D-08  1  0   66.11   54.856  0.01746  267.12  270.31    0.000   56.777    7.52   488.35
 0.33688D+00   0.8696   0.0000    7.883   1.6325 0.11429D-08  1  0   63.21   52.445  0.01704  267.43  269.22    0.000   53.313    7.85   489.72
 0.33915D+00   0.8685   0.0000    7.924   1.5227 0.11100D-08  1  0   60.62   50.298  0.01668  267.71  269.04    2.565   52.129    7.92   491.08
 0.34142D+00   0.8675   0.0000    8.001   1.4109 0.10553D-08  1  0   59.03   48.981  0.01647  267.87  268.40    5.185   50.941    8.12   492.45
 0.34369D+00   0.8664   0.0000    8.096   1.2989 0.98170D-09  1  0   58.35   48.457  0.01638  267.94  267.69    7.655   49.607    8.34   493.81
 0.34596D+00   0.8654   0.0000    8.202   1.1885 0.89414D-09  1  0   58.52   48.684  0.01642  267.91  266.91    9.947   48.148    8.59   495.17
 0.34823D+00   0.8643   0.0000    8.316   1.0809 0.79852D-09  1  0   59.57   49.612  0.01657  267.79  266.09   12.042   46.590    8.87   496.53
 0.35050D+00   0.8633   0.0000    8.437   0.9777 0.70075D-09  1  0   61.42   51.186  0.01683  267.59  265.20   13.930   44.960    9.17   497.89
 0.35277D+00   0.8622   0.0000    8.561   0.8798 0.60594D-09  1  0   63.99   53.346  0.01719  267.32  264.27   15.605   43.290    9.49   499.25
 0.35504D+00   0.8612   0.0000    8.689   0.7883 0.51783D-09  1  0   67.19   56.026  0.01767  266.97  263.30   17.068   41.609    9.84   500.61
 0.35731D+00   0.8602   0.0000    8.819   0.7037 0.43871D-09  1  0   70.93   59.155  0.01825  266.55  262.29   18.323   39.943   10.20   501.96
 0.35958D+00   0.8591   0.0000    8.950   0.6266 0.36960D-09  1  0   75.13   62.663  0.01895  266.07  261.26   19.377   38.316   10.58   503.31
 0.36185D+00   0.8581   0.0000    9.081   0.5572 0.31057D-09  1  0   79.70   66.476  0.01978  265.54  260.21   20.238   36.747   10.97   504.66
 0.36412D+00   0.8570   0.0000    9.212   0.4955 0.26103D-09  1  0   84.56   70.523  0.02073  264.95  259.14   20.914   35.249   11.36   506.01
 0.36639D+00   0.8560   0.0000    9.341   0.4415 0.22009D-09  1  0   89.61   74.736  0.02181  264.32  258.08   21.416   33.834   11.76   507.36
 0.36866D+00   0.8550   0.0000    9.469   0.3950 0.18670D-09  1  0   94.79   79.048  0.02304  263.64  257.02   21.753   32.507   12.15   508.70
 0.37093D+00   0.8539   0.0000    9.594   0.3557 0.15979D-09  1  0  100.02   83.399  0.02442  262.93  255.98   21.936   31.272   12.54   510.05
 0.37320D+00   0.8529   0.0000    9.718   0.3232 0.13839D-09  1  0  105.22   87.734  0.02596  262.18  254.97   21.975   30.129   12.92   511.39
 0.37547D+00   0.8519   0.0000    9.838   0.2971 0.12165D-09  1  0  110.35   92.002  0.02766  261.40  253.99   21.879   29.078   13.28   512.73
 0.37774D+00   0.8509   0.0000    9.955   0.2770 0.10882D-09  1  0  115.34   96.158  0.02954  260.59  253.05   21.657   28.117   13.63   514.07
 0.38001D+00   0.8498   0.0000   10.069   0.2626 0.99319D-10  1  0  120.15  100.160  0.03160  259.77  252.15   21.315   27.244   13.96   515.41
 0.38228D+00   0.8488   0.0000   10.178   0.2537 0.92663D-10  1  0  124.73  103.972  0.03382  258.92  251.31   20.860   26.460   14.26   516.74
 0.38455D+00   0.8478   0.0000   10.282   0.2501 0.88496D-10  1  0  129.05  107.562  0.03622  258.07  250.53   20.297   25.764   14.53   518.08
 0.38682D+00   0.8468   0.0000   10.379   0.2517 0.86559D-10  1  0  133.07  110.901  0.03876  257.21  249.83   19.631   25.159   14.76   519.41
 0.38909D+00   0.8457   0.0000   10.468   0.2585 0.86683D-10  1  0  136.75  113.963  0.04141  256.36  249.21   18.865   24.652   14.95   520.74
 0.39136D+00   0.8447   0.0000   10.545   0.2706 0.88777D-10  1  0  140.08  116.726  0.04412  255.52  248.69   18.005   24.251   15.09   522.07
 0.39363D+00   0.8437   0.0000   10.608   0.2884 0.92813D-10  1  0  143.03  119.172  0.04683  254.72  248.30   17.054   23.969   15.16   523.40
 0.39590D+00   0.8427   0.0000   10.652   0.3121 0.98820D-10  1  0  145.59  121.284  0.04944  253.98  248.04   16.019   23.818   15.16   524.72
 0.39817D+00   0.8417   0.0000   10.674   0.3420 0.10687D-09  1  0  147.74  123.050  0.05185  253.31  247.95   14.904   23.816   15.08   526.05
 0.40044D+00   0.8407   0.0000   10.669   0.3786 0.11707D-09  1  0  149.46  124.460  0.05395  252.74  248.03   13.716   23.981   14.91   527.37
 0.40271D+00   0.8396   0.0000   10.635   0.4222 0.12956D-09  1  0  150.76  125.510  0.05562  252.29  248.30   12.463   24.328   14.64   528.69
 0.40498D+00   0.8386   0.0000   10.571   0.4732 0.14448D-09  1  0  151.64  126.193  0.05676  251.99  248.77   11.148   24.873   14.28   530.01
 0.40725D+00   0.8376   0.0000   10.476   0.5318 0.16200D-09  1  0  152.08  126.508  0.05730  251.85  249.44    9.777   25.624   13.85   531.33
 0.40952D+00   0.8366   0.0000   10.355   0.5982 0.18228D-09  1  0  152.10  126.449  0.05720  251.87  250.30    8.353   26.589   13.35   532.65
 0.41179D+00   0.8356   0.0000   10.211   0.6723 0.20551D-09  1  0  151.71  126.013  0.05645  252.07  251.34    6.877   27.765   12.81   533.96
 0.41406D+00   0.8346   0.0000   10.051   0.7539 0.23186D-09  1  0  150.88  125.192  0.05510  252.43  252.53    5.350   29.148   12.23   535.28
