R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
     Pint       Hint       etaref      pCLA conv   zbot     %vol    Tbot     Tm      Fbot     Ftop     dlid
 0.70000D+12 0.20416D-09 0.32000D+14   0.0200  1  132.664  0.09464  244.20  246.89    0.000   22.860   14.43
 0.71250D+12 0.20873D-09 0.32000D+14   0.0200  1  132.020  0.09243  244.76  247.44   -0.000   23.269   14.17
 0.72500D+12 0.21287D-09 0.32000D+14   0.0200  1  131.698  0.09135  245.03  247.84    0.000   23.677   13.97
 0.73750D+12 0.21751D-09 0.32000D+14   0.0200  1  131.054  0.08928  245.55  248.36    0.000   24.085   13.73
 0.75000D+12 0.22169D-09 0.32000D+14   0.0200  1  130.732  0.08828  245.80  248.74    0.000   24.493   13.54
 0.76250D+12 0.22641D-09 0.32000D+14   0.0200  1  130.088  0.08635  246.29  249.24    0.000   24.901   13.32
 0.77500D+12 0.23064D-09 0.32000D+14   0.0200  1  129.766  0.08541  246.53  249.61    0.000   25.310   13.15
 0.78750D+12 0.23543D-09 0.32000D+14   0.0200  1  129.122  0.08359  246.99  250.09    0.000   25.718   12.95
 0.80000D+12 0.24027D-09 0.32000D+14   0.0200  1  128.478  0.08185  247.43  250.55    0.000   26.126   12.76
 0.81250D+12 0.24515D-09 0.32000D+14   0.0200  1  127.834  0.08017  247.86  251.00    0.000   26.534   12.57
 0.82500D+12 0.24949D-09 0.32000D+14   0.0200  1  127.512  0.07936  248.07  251.34   -0.000   26.943   12.42
 0.83750D+12 0.25445D-09 0.32000D+14   0.0200  1  126.868  0.07779  248.48  251.78   -0.000   27.351   12.25
 0.85000D+12 0.25946D-09 0.32000D+14   0.0200  1  126.224  0.07627  248.87  252.21    0.000   27.759   12.09
 0.86250D+12 0.26451D-09 0.32000D+14   0.0200  1  125.580  0.07481  249.24  252.62   -0.000   28.167   11.93
 0.87500D+12 0.26961D-09 0.32000D+14   0.0200  1  124.936  0.07341  249.61  253.03   -0.000   28.575   11.78
 0.88750D+12 0.27476D-09 0.32000D+14   0.0200  1  124.292  0.07205  249.96  253.43   -0.000   28.984   11.64
 0.90000D+12 0.27997D-09 0.32000D+14   0.0200  1  123.648  0.07074  250.31  253.82    0.000   29.392   11.50
 0.91250D+12 0.28522D-09 0.32000D+14   0.0200  1  123.004  0.06948  250.64  254.20   -0.000   29.800   11.36
 0.92500D+12 0.29123D-09 0.32000D+14   0.0200  1  122.038  0.06767  251.12  254.65   -0.000   30.208   11.22
 0.93750D+12 0.29661D-09 0.32000D+14   0.0200  1  121.394  0.06651  251.43  255.02    0.000   30.617   11.09
 0.95000D+12 0.30204D-09 0.32000D+14   0.0200  1  120.750  0.06539  251.73  255.38    0.000   31.025   10.97
 0.96250D+12 0.30752D-09 0.32000D+14   0.0200  1  120.106  0.06431  252.03  255.73    0.000   31.433   10.85
 0.97500D+12 0.31384D-09 0.32000D+14   0.0200  1  119.140  0.06275  252.45  256.14    0.000   31.841   10.73
 0.98750D+12 0.31946D-09 0.32000D+14   0.0200  1  118.496  0.06175  252.73  256.48   -0.000   32.249   10.62
 0.10000D+13 0.32595D-09 0.32000D+14   0.0200  1  117.530  0.06030  253.13  256.87   -0.000   32.658   10.51
 0.10125D+13 0.33255D-09 0.32000D+14   0.0200  1  116.564  0.05892  253.52  257.25    0.000   33.066   10.40
 0.10250D+13 0.33839D-09 0.32000D+14   0.0200  1  115.920  0.05803  253.77  257.57   -0.000   33.474   10.30
 0.10375D+13 0.34517D-09 0.32000D+14   0.0200  1  114.954  0.05675  254.13  257.94   -0.000   33.882   10.20
 0.10500D+13 0.35207D-09 0.32000D+14   0.0200  1  113.988  0.05552  254.48  258.30    0.000   34.290   10.10
 0.10625D+13 0.35908D-09 0.32000D+14   0.0200  1  113.022  0.05435  254.83  258.65    0.000   34.699   10.01
 0.10750D+13 0.36620D-09 0.32000D+14   0.0200  1  112.056  0.05322  255.16  258.99    0.000   35.107    9.92
 0.10875D+13 0.37344D-09 0.32000D+14   0.0200  1  111.090  0.05213  255.48  259.33    0.000   35.515    9.83
 0.11000D+13 0.38081D-09 0.32000D+14   0.0200  1  110.124  0.05109  255.79  259.65   -0.000   35.923    9.74
 0.11125D+13 0.38830D-09 0.32000D+14   0.0200  1  109.158  0.05008  256.10  259.98    0.000   36.332    9.66
 0.11250D+13 0.39592D-09 0.32000D+14   0.0200  1  108.192  0.04912  256.40  260.29    0.000   36.740    9.58
 0.11375D+13 0.40480D-09 0.32000D+14   0.0200  1  106.904  0.04788  256.78  260.64   -0.000   37.148    9.50
 0.11500D+13 0.41271D-09 0.32000D+14   0.0200  1  105.938  0.04700  257.06  260.94    0.000   37.556    9.43
 0.11625D+13 0.42198D-09 0.32000D+14   0.0200  1  104.650  0.04586  257.42  261.27    0.000   37.964    9.36
 0.11750D+13 0.43022D-09 0.32000D+14   0.0200  1  103.684  0.04504  257.69  261.56   -0.000   38.373    9.29
 0.11875D+13 0.43989D-09 0.32000D+14   0.0200  1  102.396  0.04400  258.03  261.88   -0.000   38.781    9.22
