R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
     Pint       etaref      pCLA conv P(MPa)   zbot     %vol    Tbot     Tm      TH2O      Fbot     Ftop     dlid   T_core
 0.00000D+00 0.10000D+14   0.0300  1  164.43  137.961  0.18054  223.26  214.27  257.08    7.661    6.366   41.84  1498.66
 0.12500D+11 0.10000D+14   0.0300  1  164.18  137.676  0.17815  223.96  215.46  257.12    7.652    6.770   42.46  1498.71
 0.25000D+11 0.10000D+14   0.0300  1  163.97  137.423  0.17608  224.56  216.51  257.16    7.646    7.175   40.26  1498.78
 0.37500D+11 0.10000D+14   0.0300  1  163.74  137.166  0.17403  225.15  217.52  257.20    7.640    7.581   38.30  1498.84
 0.50000D+11 0.10000D+14   0.0300  1  163.51  136.907  0.17201  225.74  218.49  257.24    7.634    7.986   36.53  1498.90
 0.62500D+11 0.10000D+14   0.0300  1  163.26  136.645  0.17001  226.31  219.41  257.28    7.627    8.392   34.93  1498.96
 0.75000D+11 0.10000D+14   0.0300  1  163.01  136.381  0.16804  226.88  220.30  257.32    7.622    8.797   33.48  1499.02
 0.87500D+11 0.10000D+14   0.0300  1  162.75  136.115  0.16610  227.43  221.15  257.36    7.616    9.203   32.15  1499.08
 0.10000D+12 0.10000D+14   0.0300  1  162.48  135.846  0.16419  227.98  221.98  257.40    7.610    9.609   30.93  1499.14
 0.11250D+12 0.10000D+14   0.0300  1  162.21  135.576  0.16231  228.51  222.77  257.44    7.604   10.015   29.80  1499.20
 0.12500D+12 0.10000D+14   0.0300  1  161.93  135.304  0.16046  229.04  223.54  257.48    7.598   10.421   28.76  1499.26
 0.13750D+12 0.10000D+14   0.0300  1  161.65  135.031  0.15864  229.56  224.29  257.52    7.593   10.827   27.80  1499.31
 0.15000D+12 0.10000D+14   0.0300  1  161.36  134.755  0.15685  230.06  225.01  257.56    7.587   11.233   26.91  1499.37
 0.16250D+12 0.10000D+14   0.0300  1  161.07  134.477  0.15508  230.56  225.71  257.60    7.582   11.639   26.07  1499.42
 0.17500D+12 0.10000D+14   0.0300  1  160.77  134.198  0.15334  231.05  226.39  257.64    7.577   12.045   25.29  1499.48
 0.18750D+12 0.10000D+14   0.0300  1  160.47  133.916  0.15163  231.53  227.06  257.68    7.571   12.451   24.56  1499.53
 0.20000D+12 0.10000D+14   0.0300  1  160.16  133.633  0.14994  232.00  227.70  257.73    7.566   12.857   23.88  1499.59
 0.21250D+12 0.10000D+14   0.0300  1  159.85  133.347  0.14828  232.46  228.33  257.77    7.561   13.264   23.23  1499.64
 0.22500D+12 0.10000D+14   0.0300  1  159.54  133.060  0.14664  232.92  228.95  257.81    7.555   13.670   22.62  1499.69
 0.23750D+12 0.10000D+14   0.0300  1  159.22  132.770  0.14503  233.37  229.54  257.85    7.550   14.077   22.05  1499.74
 0.25000D+12 0.10000D+14   0.0300  1  158.90  132.479  0.14343  233.81  230.13  257.90    7.545   14.483   21.50  1499.79
 0.26250D+12 0.10000D+14   0.0300  1  158.57  132.185  0.14186  234.24  230.70  257.94    7.540   14.890   20.99  1499.84
 0.27500D+12 0.10000D+14   0.0300  1  158.24  131.888  0.14032  234.67  231.26  257.98    7.535   15.296   20.50  1499.89
 0.28750D+12 0.10000D+14   0.0300  1  157.91  131.590  0.13879  235.09  231.81  258.03    7.530   15.703   20.04  1499.94
 0.30000D+12 0.10000D+14   0.0300  1  157.57  131.289  0.13728  235.51  232.35  258.07    7.525   16.110   19.59  1499.99
 0.31250D+12 0.10000D+14   0.0300  1  157.23  130.985  0.13580  235.91  232.87  258.11    7.520   16.516   19.17  1500.04
 0.32500D+12 0.10000D+14   0.0300  1  156.88  130.679  0.13433  236.32  233.39  258.16    7.515   16.923   18.77  1500.08
 0.33750D+12 0.10000D+14   0.0300  1  156.53  130.371  0.13288  236.71  233.89  258.20    7.510   17.330   18.39  1500.13
 0.35000D+12 0.10000D+14   0.0300  1  156.18  130.060  0.13145  237.11  234.39  258.25    7.505   17.737   18.02  1500.18
 0.36250D+12 0.10000D+14   0.0300  1  155.82  129.746  0.13004  237.49  234.88  258.29    7.500   18.144   17.67  1500.22
 0.37500D+12 0.10000D+14   0.0300  1  155.46  129.429  0.12864  237.87  235.35  258.34    7.495   18.551   17.34  1500.27
 0.38750D+12 0.10000D+14   0.0300  1  155.10  129.109  0.12726  238.25  235.82  258.39    7.490   18.957   17.01  1500.31
 0.40000D+12 0.10000D+14   0.0300  1  154.73  128.787  0.12590  238.62  236.29  258.43    7.486   19.364   16.70  1500.36
 0.41250D+12 0.10000D+14   0.0300  1  154.35  128.461  0.12455  238.99  236.74  258.48    7.481   19.771   16.41  1500.40
 0.42500D+12 0.10000D+14   0.0300  1  153.97  128.133  0.12322  239.35  237.19  258.53    7.476   20.178   16.12  1500.44
 0.43750D+12 0.10000D+14   0.0300  1  153.59  127.801  0.12190  239.70  237.63  258.57    7.471   20.585   15.85  1500.49
 0.45000D+12 0.10000D+14   0.0300  1  153.20  127.466  0.12060  240.06  238.06  258.62    7.466   20.992   15.58  1500.53
 0.46250D+12 0.10000D+14   0.0300  1  152.81  127.127  0.11932  240.41  238.49  258.67    7.461   21.399   15.33  1500.57
 0.47500D+12 0.10000D+14   0.0300  1  152.42  126.786  0.11804  240.75  238.91  258.72    7.456   21.807   15.08  1500.61
 0.48750D+12 0.10000D+14   0.0300  1  152.02  126.441  0.11679  241.09  239.33  258.77    7.451   22.214   14.85  1500.66
 0.50000D+12 0.10000D+14   0.0300  1  151.61  126.092  0.11554  241.43  239.74  258.82    7.446   22.621   14.62  1500.70
 0.51250D+12 0.10000D+14   0.0300  1  151.20  125.740  0.11431  241.76  240.14  258.87    7.442   23.028   14.40  1500.74
 0.52500D+12 0.10000D+14   0.0300  1  150.79  125.384  0.11309  242.09  240.54  258.92    7.437   23.435   14.18  1500.78
 0.53750D+12 0.10000D+14   0.0300  1  150.37  125.024  0.11188  242.42  240.93  258.97    7.432   23.842   13.98  1500.82
 0.55000D+12 0.10000D+14   0.0300  1  149.94  124.661  0.11069  242.74  241.32  259.02    7.427   24.250   13.78  1500.86
