R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
   zbot    P(MPa) Hint     conv melt pCLA   Tbot     Tm     etam        k   Fcond_bot Fcond_top   Fbot     Ftop    dlid z_topTBL z_botTBL
   11.59   13.97 0.24681D-08  0  0  0.01201  272.09  267.34 0.15977D+15  2.177   38.886   38.311   25.693   51.439   11.59   11.59   11.59
   11.91   14.36 0.24019D-08  0  0  0.01204  272.05  267.35 0.15913D+15  2.177   37.836   37.261   24.639   50.390   11.91   11.91   11.91
   12.24   14.74 0.23391D-08  0  0  0.01207  272.02  267.36 0.15851D+15  2.177   36.841   36.266   23.640   49.397   12.24   12.24   12.24
   12.56   15.13 0.22796D-08  0  0  0.01210  271.99  267.37 0.15791D+15  2.178   35.897   35.321   22.692   48.455   12.56   12.56   12.56
   12.88   15.52 0.22231D-08  0  0  0.01213  271.95  267.38 0.15732D+15  2.178   35.000   34.425   21.792   47.560   12.88   12.88   12.88
   13.20   15.91 0.21693D-08  0  0  0.01216  271.92  267.38 0.15674D+15  2.178   34.147   33.572   20.935   46.709   13.20   13.20   13.20
   13.52   16.30 0.21181D-08  0  0  0.01219  271.89  267.39 0.15618D+15  2.178   33.334   32.759   20.119   45.898   13.52   13.52   13.52
   13.85   16.68 0.20693D-08  0  0  0.01222  271.85  267.40 0.15563D+15  2.179   32.559   31.984   19.341   45.125   13.85   13.85   13.85
   14.17   17.07 0.20227D-08  0  0  0.01224  271.82  267.40 0.15509D+15  2.179   31.820   31.245   18.597   44.387   14.17   14.17   14.17
   14.49   17.46 0.19781D-08  0  0  0.01227  271.79  267.40 0.15456D+15  2.179   31.113   30.538   17.887   43.683   14.49   14.49   14.49
   14.81   17.85 0.19355D-08  0  0  0.01230  271.75  267.41 0.15405D+15  2.180   30.437   29.862   17.207   43.008   14.81   14.81   14.81
   15.13   18.24 0.18947D-08  0  0  0.01233  271.72  267.41 0.15354D+15  2.180   29.790   29.215   16.557   42.363   15.13   15.13   15.13
   15.46   18.63 0.18557D-08  0  0  0.01236  271.69  267.41 0.15305D+15  2.180   29.170   28.595   15.933   41.745   15.46   15.46   15.46
   15.78   19.01 0.18182D-08  0  0  0.01239  271.65  267.41 0.15256D+15  2.180   28.575   28.000   15.334   41.152   15.78   15.78   15.78
   16.10   18.96 0.17822D-08  1  0  0.01243  271.62  267.41 0.15209D+15  2.181   28.004   27.429   14.988   40.807   10.59   14.45   15.37
   16.42   19.35 0.17476D-08  1  0  0.01246  271.59  267.41 0.15162D+15  2.181   27.455   26.880   14.872   40.687   10.61   14.40   15.69
   16.74   19.74 0.17143D-08  1  0  0.01249  271.55  267.41 0.15116D+15  2.181   26.927   26.353   14.758   40.569   10.64   14.36   16.01
   17.07   20.13 0.16823D-08  1  0  0.01252  271.52  267.41 0.15071D+15  2.182   26.420   25.845   14.647   40.455   10.67   14.32   16.34
   17.39   20.52 0.16515D-08  1  0  0.01255  271.48  267.41 0.15027D+15  2.182   25.931   25.356   14.538   40.342   10.69   14.28   16.66
   17.71   20.91 0.16218D-08  1  0  0.01258  271.45  267.41 0.14984D+15  2.182   25.459   24.885   14.431   40.232   10.72   14.24   16.98
   18.03   21.29 0.15932D-08  1  0  0.01261  271.42  267.41 0.14941D+15  2.182   25.005   24.431   14.326   40.123   10.74   14.21   17.30
   18.35   21.68 0.15656D-08  1  0  0.01264  271.38  267.40 0.14900D+15  2.183   24.567   23.992   14.224   40.017   10.76   14.18   17.63
   18.68   22.07 0.15389D-08  1  0  0.01267  271.35  267.40 0.14859D+15  2.183   24.143   23.569   14.123   39.913   10.79   14.15   17.95
   19.00   22.46 0.15131D-08  1  0  0.01271  271.31  267.40 0.14818D+15  2.183   23.734   23.160   14.024   39.811   10.81   14.12   18.27
   19.32   22.85 0.14882D-08  1  0  0.01274  271.28  267.39 0.14778D+15  2.184   23.339   22.765   13.927   39.711   10.83   14.09   18.59
   19.64   23.24 0.14641D-08  1  0  0.01277  271.25  267.39 0.14739D+15  2.184   22.957   22.383   13.832   39.612   10.86   14.07   18.92
   19.96   23.62 0.14408D-08  1  0  0.01280  271.21  267.38 0.14701D+15  2.184   22.587   22.013   13.738   39.515   10.88   14.05   19.24
   20.29   24.01 0.14182D-08  1  0  0.01283  271.18  267.38 0.14663D+15  2.184   22.228   21.654   13.646   39.420   10.90   14.03   19.56
   20.61   24.40 0.13964D-08  1  0  0.01287  271.14  267.37 0.14626D+15  2.185   21.881   21.307   13.556   39.327   10.92   14.01   19.88
   20.93   24.79 0.13752D-08  1  0  0.01290  271.11  267.37 0.14589D+15  2.185   21.545   20.971   13.467   39.235   10.94   13.99   20.21
   21.25   25.18 0.13546D-08  1  0  0.01293  271.07  267.36 0.14553D+15  2.185   21.218   20.645   13.380   39.144   10.96   13.97   20.53
   21.57   25.57 0.13347D-08  1  0  0.01296  271.04  267.36 0.14517D+15  2.186   20.902   20.328   13.294   39.055   10.98   13.96   20.85
   21.90   25.96 0.13153D-08  1  0  0.01300  271.01  267.35 0.14482D+15  2.186   20.595   20.021   13.209   38.967   11.00   13.94   21.18
   22.22   26.34 0.12965D-08  1  0  0.01303  270.97  267.34 0.14447D+15  2.186   20.296   19.723   13.126   38.881   11.02   13.93   21.50
   22.54   26.73 0.12783D-08  1  0  0.01306  270.94  267.33 0.14413D+15  2.187   20.006   19.433   13.044   38.796   11.04   13.92   21.82
   22.86   27.12 0.12605D-08  1  0  0.01310  270.90  267.33 0.14380D+15  2.187   19.725   19.151   12.963   38.712   11.06   13.91   22.14
   23.18   27.51 0.12433D-08  1  0  0.01313  270.87  267.32 0.14347D+15  2.187   19.451   18.877   12.883   38.629   11.08   13.90   22.47
   23.51   27.90 0.12265D-08  1  0  0.01317  270.83  267.31 0.14314D+15  2.187   19.185   18.611   12.805   38.548   11.10   13.89   22.79
   23.83   28.29 0.12102D-08  1  0  0.01320  270.80  267.30 0.14282D+15  2.188   18.925   18.352   12.727   38.468   11.12   13.88   23.11
   24.15   28.68 0.11943D-08  1  0  0.01323  270.76  267.29 0.14250D+15  2.188   18.673   18.100   12.651   38.389   11.14   13.87   23.44
   24.47   29.06 0.11788D-08  1  0  0.01327  270.73  267.28 0.14218D+15  2.188   18.428   17.854   12.576   38.310   11.16   13.86   23.76
   24.79   29.45 0.11637D-08  1  0  0.01330  270.69  267.27 0.14187D+15  2.189   18.188   17.615   12.501   38.233   11.17   13.85   24.08
   25.12   29.84 0.11491D-08  1  0  0.01334  270.66  267.26 0.14157D+15  2.189   17.955   17.382   12.428   38.157   11.19   13.85   24.41
   25.44   30.23 0.11347D-08  1  0  0.01337  270.62  267.25 0.14127D+15  2.189   17.728   17.155   12.356   38.083   11.21   13.84   24.73
   25.76   30.62 0.11208D-08  1  0  0.01341  270.59  267.24 0.14097D+15  2.190   17.506   16.933   12.285   38.008   11.23   13.84   25.05
   26.08   31.01 0.11072D-08  1  0  0.01344  270.55  267.23 0.14067D+15  2.190   17.290   16.717   12.214   37.935   11.24   13.83   25.38
   26.40   31.40 0.10939D-08  1  0  0.01348  270.52  267.22 0.14038D+15  2.190   17.080   16.507   12.145   37.863   11.26   13.83   25.70
   26.73   31.79 0.10810D-08  1  0  0.01351  270.48  267.21 0.14009D+15  2.190   16.874   16.301   12.076   37.792   11.28   13.82   26.02
   27.05   32.17 0.10683D-08  1  0  0.01355  270.44  267.20 0.13981D+15  2.191   16.673   16.100   12.008   37.722   11.29   13.82   26.35
   27.37   32.56 0.10560D-08  1  0  0.01358  270.41  267.19 0.13953D+15  2.191   16.477   15.904   11.941   37.652   11.31   13.82   26.67
   27.69   32.95 0.10439D-08  1  0  0.01362  270.37  267.18 0.13925D+15  2.191   16.285   15.713   11.875   37.583   11.32   13.82   26.99
   28.01   33.34 0.10321D-08  1  0  0.01366  270.34  267.16 0.13898D+15  2.192   16.098   15.525   11.809   37.515   11.34   13.81   27.32
   28.34   33.73 0.10206D-08  1  0  0.01369  270.30  267.15 0.13871D+15  2.192   15.915   15.343   11.744   37.448   11.36   13.81   27.64
   28.66   34.12 0.10093D-08  1  0  0.01373  270.27  267.14 0.13844D+15  2.192   15.736   15.164   11.680   37.382   11.37   13.81   27.96
   28.98   34.51 0.99833D-09  1  0  0.01377  270.23  267.13 0.13818D+15  2.193   15.561   14.989   11.617   37.316   11.39   13.81   28.29
   29.30   34.90 0.98757D-09  1  0  0.01380  270.19  267.11 0.13791D+15  2.193   15.390   14.818   11.555   37.251   11.40   13.81   28.61
   29.62   35.29 0.97704D-09  1  0  0.01384  270.16  267.10 0.13766D+15  2.193   15.223   14.651   11.493   37.187   11.42   13.81   28.93
   29.95   35.67 0.96673D-09  1  0  0.01388  270.12  267.09 0.13740D+15  2.194   15.059   14.487   11.431   37.123   11.43   13.81   29.26
   30.27   36.06 0.95665D-09  1  0  0.01391  270.09  267.07 0.13715D+15  2.194   14.899   14.327   11.371   37.060   11.45   13.81   29.58
   30.59   36.45 0.94677D-09  1  0  0.01395  270.05  267.06 0.13690D+15  2.194   14.742   14.170   11.311   36.998   11.46   13.81   29.90
   30.91   36.84 0.93710D-09  1  0  0.01399  270.01  267.05 0.13665D+15  2.194   14.589   14.017   11.251   36.936   11.47   13.81   30.23
   31.23   37.23 0.92764D-09  1  0  0.01403  269.98  267.03 0.13640D+15  2.195   14.438   13.866   11.192   36.875   11.49   13.81   30.55
   31.56   37.62 0.91836D-09  1  0  0.01407  269.94  267.02 0.13616D+15  2.195   14.291   13.719   11.134   36.815   11.50   13.81   30.87
   31.88   38.01 0.90927D-09  1  0  0.01411  269.90  267.00 0.13592D+15  2.195   14.147   13.575   11.076   36.755   11.52   13.82   31.20
   32.20   38.40 0.90037D-09  1  0  0.01414  269.87  266.99 0.13569D+15  2.196   14.005   13.433   11.019   36.696   11.53   13.82   31.52
   32.52   38.79 0.89164D-09  1  0  0.01418  269.83  266.98 0.13545D+15  2.196   13.866   13.294   10.963   36.637   11.54   13.82   31.84
   32.84   39.18 0.88308D-09  1  0  0.01422  269.80  266.96 0.13522D+15  2.196   13.730   13.159   10.907   36.579   11.56   13.82   32.17
   33.17   39.57 0.87469D-09  1  0  0.01426  269.76  266.94 0.13499D+15  2.197   13.597   13.025   10.851   36.521   11.57   13.82   32.49
   33.49   39.95 0.86646D-09  1  0  0.01430  269.72  266.93 0.13476D+15  2.197   13.466   12.894   10.796   36.464   11.58   13.83   32.82
   33.81   40.34 0.85838D-09  1  0  0.01434  269.69  266.91 0.13454D+15  2.197   13.338   12.766   10.742   36.407   11.60   13.83   33.14
   34.13   40.73 0.85046D-09  1  0  0.01438  269.65  266.90 0.13431D+15  2.198   13.212   12.640   10.687   36.351   11.61   13.83   33.46
   34.45   41.12 0.84269D-09  1  0  0.01442  269.61  266.88 0.13409D+15  2.198   13.088   12.517   10.634   36.296   11.62   13.83   33.79
   34.78   41.51 0.83506D-09  1  0  0.01446  269.57  266.87 0.13388D+15  2.198   12.967   12.396   10.581   36.241   11.64   13.84   34.11
   35.10   41.90 0.82757D-09  1  0  0.01450  269.54  266.85 0.13366D+15  2.199   12.848   12.277   10.528   36.186   11.65   13.84   34.43
   35.42   42.29 0.82022D-09  1  0  0.01454  269.50  266.83 0.13345D+15  2.199   12.731   12.160   10.476   36.132   11.66   13.84   34.76
   35.74   42.68 0.81300D-09  1  0  0.01458  269.46  266.82 0.13323D+15  2.199   12.616   12.045   10.424   36.078   11.67   13.85   35.08
   36.06   43.07 0.80591D-09  1  0  0.01462  269.43  266.80 0.13302D+15  2.199   12.503   11.932   10.372   36.025   11.68   13.85   35.41
   36.39   43.46 0.79894D-09  1  0  0.01466  269.39  266.78 0.13282D+15  2.200   12.393   11.822   10.321   35.972   11.70   13.86   35.73
   36.71   43.85 0.79210D-09  1  0  0.01471  269.35  266.77 0.13261D+15  2.200   12.284   11.713   10.271   35.920   11.71   13.86   36.05
   37.03   44.24 0.78537D-09  1  0  0.01475  269.31  266.75 0.13241D+15  2.200   12.177   11.606   10.221   35.867   11.72   13.86   36.38
   37.35   44.62 0.77876D-09  1  0  0.01479  269.28  266.73 0.13220D+15  2.201   12.072   11.501   10.171   35.816   11.73   13.87   36.70
   37.67   45.01 0.77227D-09  1  0  0.01483  269.24  266.71 0.13201D+15  2.201   11.969   11.398   10.121   35.765   11.74   13.87   37.03
   38.00   45.40 0.76588D-09  1  0  0.01487  269.20  266.70 0.13181D+15  2.201   11.867   11.296   10.072   35.714   11.76   13.88   37.35
   38.32   45.79 0.75961D-09  1  0  0.01492  269.16  266.68 0.13161D+15  2.202   11.767   11.197   10.023   35.663   11.77   13.88   37.67
   38.64   46.18 0.75343D-09  1  0  0.01496  269.13  266.66 0.13142D+15  2.202   11.669   11.098    9.975   35.613   11.78   13.89   38.00
   38.96   46.57 0.74736D-09  1  0  0.01500  269.09  266.64 0.13122D+15  2.202   11.572   11.002    9.927   35.564   11.79   13.89   38.32
   39.28   46.96 0.74139D-09  1  0  0.01505  269.05  266.62 0.13103D+15  2.203   11.477   10.907    9.879   35.514   11.80   13.90   38.65
   39.61   47.35 0.73551D-09  1  0  0.01509  269.01  266.60 0.13084D+15  2.203   11.384   10.814    9.832   35.465   11.81   13.90   38.97
   39.93   47.74 0.72973D-09  1  0  0.01513  268.97  266.59 0.13066D+15  2.203   11.292   10.722    9.785   35.417   11.82   13.91   39.29
   40.25   48.13 0.72405D-09  1  0  0.01518  268.94  266.57 0.13047D+15  2.204   11.201   10.631    9.738   35.368   11.83   13.91   39.62
   40.57   48.52 0.71845D-09  1  0  0.01522  268.90  266.55 0.13029D+15  2.204   11.112   10.542    9.691   35.320   11.85   13.92   39.94
   40.89   48.91 0.71294D-09  1  0  0.01527  268.86  266.53 0.13011D+15  2.204   11.025   10.455    9.645   35.273   11.86   13.92   40.27
   41.22   49.30 0.70752D-09  1  0  0.01531  268.82  266.51 0.12993D+15  2.205   10.938   10.368    9.599   35.225   11.87   13.93   40.59
   41.54   49.69 0.70218D-09  1  0  0.01536  268.78  266.49 0.12975D+15  2.205   10.853   10.283    9.554   35.178   11.88   13.93   40.91
   41.86   50.08 0.69692D-09  1  0  0.01540  268.74  266.47 0.12957D+15  2.205   10.770   10.200    9.509   35.132   11.89   13.94   41.24
   42.18   50.46 0.69175D-09  1  0  0.01545  268.70  266.45 0.12939D+15  2.206   10.687   10.118    9.464   35.085   11.90   13.95   41.56
   42.50   50.85 0.68665D-09  1  0  0.01549  268.67  266.43 0.12922D+15  2.206   10.606   10.036    9.419   35.039   11.91   13.95   41.89
   42.83   51.24 0.68163D-09  1  0  0.01554  268.63  266.41 0.12905D+15  2.206   10.526    9.957    9.374   34.993   11.92   13.96   42.21
   43.15   51.63 0.67668D-09  1  0  0.01558  268.59  266.39 0.12888D+15  2.207   10.448    9.878    9.330   34.948   11.93   13.96   42.54
   43.47   52.02 0.67181D-09  1  0  0.01563  268.55  266.37 0.12871D+15  2.207   10.370    9.800    9.286   34.902   11.94   13.97   42.86
   43.79   52.41 0.66701D-09  1  0  0.01568  268.51  266.35 0.12854D+15  2.207   10.294    9.724    9.242   34.857   11.95   13.98   43.18
   44.11   52.80 0.66228D-09  1  0  0.01572  268.47  266.33 0.12837D+15  2.208   10.218    9.649    9.199   34.813   11.96   13.98   43.51
   44.44   53.19 0.65762D-09  1  0  0.01577  268.43  266.31 0.12821D+15  2.208   10.144    9.575    9.156   34.768   11.97   13.99   43.83
   44.76   53.58 0.65302D-09  1  0  0.01582  268.39  266.29 0.12805D+15  2.208   10.071    9.502    9.113   34.724   11.98   13.99   44.16
   45.08   53.97 0.64849D-09  1  0  0.01587  268.35  266.27 0.12788D+15  2.209    9.999    9.429    9.070   34.680   11.99   14.00   44.48
   45.40   54.36 0.64403D-09  1  0  0.01591  268.31  266.25 0.12772D+15  2.209    9.927    9.358    9.028   34.636   12.00   14.01   44.81
   45.72   54.75 0.63963D-09  1  0  0.01596  268.28  266.23 0.12757D+15  2.209    9.857    9.288    8.985   34.593   12.01   14.01   45.13
   46.05   55.14 0.63528D-09  1  0  0.01601  268.24  266.20 0.12741D+15  2.210    9.788    9.219    8.943   34.549   12.02   14.02   45.46
   46.37   55.53 0.63100D-09  1  0  0.01606  268.20  266.18 0.12725D+15  2.210    9.720    9.151    8.901   34.506   12.03   14.03   45.78
   46.69   55.92 0.62678D-09  1  0  0.01611  268.16  266.16 0.12710D+15  2.210    9.653    9.084    8.860   34.464   12.04   14.03   46.10
   47.01   56.31 0.62262D-09  1  0  0.01616  268.12  266.14 0.12694D+15  2.211    9.586    9.018    8.818   34.421   12.05   14.04   46.43
   47.33   56.70 0.61851D-09  1  0  0.01621  268.08  266.12 0.12679D+15  2.211    9.521    8.952    8.777   34.379   12.06   14.05   46.75
   47.66   57.09 0.61446D-09  1  0  0.01626  268.04  266.10 0.12664D+15  2.211    9.456    8.888    8.736   34.337   12.07   14.05   47.08
   47.98   57.48 0.61047D-09  1  0  0.01631  268.00  266.07 0.12649D+15  2.212    9.393    8.824    8.695   34.295   12.08   14.06   47.40
   48.30   57.87 0.60652D-09  1  0  0.01636  267.96  266.05 0.12634D+15  2.212    9.330    8.761    8.654   34.253   12.09   14.07   47.73
   48.62   58.26 0.60263D-09  1  0  0.01641  267.92  266.03 0.12620D+15  2.213    9.268    8.699    8.614   34.211   12.09   14.07   48.05
   48.94   58.65 0.59879D-09  1  0  0.01646  267.88  266.01 0.12605D+15  2.213    9.207    8.638    8.573   34.170   12.10   14.08   48.38
   49.27   59.04 0.59500D-09  1  0  0.01651  267.84  265.98 0.12591D+15  2.213    9.146    8.578    8.533   34.129   12.11   14.09   48.70
   49.59   59.42 0.59126D-09  1  0  0.01656  267.80  265.96 0.12577D+15  2.214    9.086    8.518    8.493   34.088   12.12   14.09   49.03
   49.91   59.81 0.58757D-09  1  0  0.01662  267.75  265.94 0.12562D+15  2.214    9.028    8.460    8.453   34.047   12.13   14.10   49.35
   50.23   60.20 0.58392D-09  1  0  0.01667  267.71  265.92 0.12548D+15  2.214    8.969    8.402    8.414   34.007   12.14   14.11   49.68
   50.55   60.59 0.58033D-09  1  0  0.01672  267.67  265.89 0.12534D+15  2.215    8.912    8.344    8.374   33.967   12.15   14.11   50.00
   50.88   60.98 0.57677D-09  1  0  0.01677  267.63  265.87 0.12521D+15  2.215    8.855    8.288    8.335   33.926   12.16   14.12   50.33
   51.20   61.37 0.57326D-09  1  0  0.01683  267.59  265.85 0.12507D+15  2.215    8.799    8.232    8.296   33.886   12.17   14.13   50.65
   51.52   61.76 0.56980D-09  1  0  0.01688  267.55  265.82 0.12494D+15  2.216    8.744    8.177    8.256   33.847   12.17   14.14   50.98
   51.84   62.15 0.56638D-09  1  0  0.01693  267.51  265.80 0.12480D+15  2.216    8.690    8.122    8.218   33.807   12.18   14.14   51.30
   52.16   62.54 0.56300D-09  1  0  0.01699  267.47  265.77 0.12467D+15  2.216    8.636    8.068    8.179   33.767   12.19   14.15   51.63
   52.49   62.93 0.55966D-09  1  0  0.01704  267.43  265.75 0.12454D+15  2.217    8.582    8.015    8.140   33.728   12.20   14.16   51.95
   52.81   63.32 0.55637D-09  1  0  0.01710  267.39  265.73 0.12441D+15  2.217    8.530    7.962    8.102   33.689   12.21   14.16   52.28
   53.13   63.71 0.55311D-09  1  0  0.01715  267.34  265.70 0.12428D+15  2.217    8.478    7.911    8.063   33.650   12.22   14.17   52.60
   53.45   64.10 0.54989D-09  1  0  0.01721  267.30  265.68 0.12415D+15  2.218    8.426    7.859    8.025   33.611   12.23   14.18   52.93
   53.77   64.49 0.54671D-09  1  0  0.01727  267.26  265.65 0.12402D+15  2.218    8.376    7.809    7.987   33.572   12.23   14.19   53.25
   54.10   64.88 0.54357D-09  1  0  0.01732  267.22  265.63 0.12390D+15  2.219    8.326    7.759    7.949   33.534   12.24   14.19   53.58
   54.42   65.27 0.54047D-09  1  0  0.01738  267.18  265.60 0.12377D+15  2.219    8.276    7.709    7.911   33.495   12.25   14.20   53.90
