R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
     Pint       etaref      pCLA conv P(MPa)   zbot     %vol    Tbot     Tm      TH2O      Fbot     Ftop     dlid   T_core
 0.00000D+00 0.10000D+15   0.0300  1  129.31  108.304  0.07450  252.70  241.61  261.26   14.329   12.410   26.87  1501.08
 0.12500D+11 0.10000D+15   0.0300  1  130.19  108.999  0.07557  252.39  241.68  261.17   14.342   12.817   28.13  1501.07
 0.25000D+11 0.10000D+15   0.0300  1  129.08  108.045  0.07412  252.81  242.41  261.29   14.323   13.225   27.35  1501.14
 0.37500D+11 0.10000D+15   0.0300  1  127.92  107.063  0.07268  253.22  243.12  261.42   14.304   13.634   26.62  1501.20
 0.50000D+11 0.10000D+15   0.0300  1  126.74  106.054  0.07126  253.63  243.81  261.56   14.285   14.042   25.94  1501.27
 0.62500D+11 0.10000D+15   0.0300  1  125.52  105.016  0.06985  254.04  244.50  261.69   14.265   14.451   25.29  1501.34
 0.75000D+11 0.10000D+15   0.0300  1  124.26  103.950  0.06846  254.45  245.16  261.83   14.244   14.859   24.68  1501.40
 0.87500D+11 0.10000D+15   0.0300  1  122.96  102.856  0.06709  254.86  245.82  261.97   14.223   15.268   24.10  1501.47
 0.10000D+12 0.10000D+15   0.0300  1  121.64  101.733  0.06573  255.26  246.46  262.12   14.201   15.676   23.55  1501.53
 0.11250D+12 0.10000D+15   0.0300  1  120.27  100.582  0.06440  255.66  247.08  262.26   14.179   16.085   23.03  1501.60
 0.12500D+12 0.10000D+15   0.0300  1  118.87   99.402  0.06308  256.06  247.70  262.42   14.157   16.493   22.53  1501.66
 0.13750D+12 0.10000D+15   0.0300  1  117.44   98.193  0.06179  256.46  248.30  262.57   14.134   16.902   22.06  1501.72
 0.15000D+12 0.10000D+15   0.0300  1  115.97   96.955  0.06051  256.85  248.90  262.73   14.110   17.310   21.61  1501.78
 0.16250D+12 0.10000D+15   0.0300  1  114.46   95.689  0.05926  257.24  249.48  262.89   14.086   17.719   21.19  1501.84
 0.17500D+12 0.10000D+15   0.0300  1  112.92   94.394  0.05803  257.63  250.05  263.05   14.061   18.127   20.78  1501.90
 0.18750D+12 0.10000D+15   0.0300  1  111.34   93.070  0.05682  258.02  250.61  263.21   14.036   18.536   20.39  1501.96
 0.20000D+12 0.10000D+15   0.0300  1  109.73   91.719  0.05564  258.40  251.16  263.38   14.011   18.944   20.02  1502.02
 0.21250D+12 0.10000D+15   0.0300  1  108.08   90.339  0.05448  258.78  251.71  263.55   13.985   19.353   19.66  1502.08
 0.22500D+12 0.10000D+15   0.0300  1  106.40   88.932  0.05334  259.15  252.24  263.72   13.958   19.761   19.32  1502.14
 0.23750D+12 0.10000D+15   0.0300  1  104.69   87.497  0.05222  259.53  252.76  263.90   13.932   20.170   18.99  1502.19
 0.25000D+12 0.10000D+15   0.0300  1  102.95   86.037  0.05113  259.89  253.28  264.08   13.904   20.578   18.67  1502.25
 0.26250D+12 0.10000D+15   0.0300  1  101.17   84.551  0.05007  260.26  253.78  264.26   13.877   20.987   18.37  1502.31
 0.27500D+12 0.10000D+15   0.0300  1   99.36   83.040  0.04903  260.62  254.28  264.44   13.849   21.395   18.08  1502.36
 0.28750D+12 0.10000D+15   0.0300  1   97.53   81.505  0.04801  260.98  254.77  264.62   13.820   21.804   17.80  1502.42
 0.30000D+12 0.10000D+15   0.0300  1   95.66   79.948  0.04702  261.33  255.25  264.81   13.791   22.212   17.53  1502.47
 0.31250D+12 0.10000D+15   0.0300  1   93.77   78.370  0.04606  261.68  255.72  265.00   13.762   22.620   17.27  1502.52
 0.32500D+12 0.10000D+15   0.0300  1   91.86   76.772  0.04512  262.02  256.18  265.18   13.733   23.029   17.01  1502.58
 0.33750D+12 0.10000D+15   0.0300  1   89.92   75.156  0.04420  262.36  256.63  265.37   13.703   23.437   16.77  1502.63
 0.35000D+12 0.10000D+15   0.0300  1   87.97   73.523  0.04332  262.69  257.08  265.56   13.673   23.846   16.54  1502.68
 0.36250D+12 0.10000D+15   0.0300  1   85.99   71.876  0.04245  263.02  257.51  265.75   13.643   24.254   16.31  1502.73
 0.37500D+12 0.10000D+15   0.0300  1   84.00   70.216  0.04162  263.35  257.94  265.94   13.613   24.662   16.09  1502.78
 0.38750D+12 0.10000D+15   0.0300  1   82.00   68.546  0.04081  263.67  258.36  266.13   13.582   25.070   15.87  1502.83
 0.40000D+12 0.10000D+15   0.0300  1   79.99   66.868  0.04002  263.98  258.76  266.33   13.552   25.479   15.67  1502.88
 0.41250D+12 0.10000D+15   0.0300  1   77.96   65.183  0.03926  264.29  259.16  266.52   13.521   25.887   15.47  1502.93
 0.42500D+12 0.10000D+15   0.0300  1   75.94   63.495  0.03852  264.59  259.55  266.71   13.491   26.295   15.27  1502.97
 0.43750D+12 0.10000D+15   0.0300  1   73.91   61.806  0.03781  264.89  259.93  266.89   13.460   26.703   15.08  1503.02
 0.45000D+12 0.10000D+15   0.0300  1   71.89   60.119  0.03713  265.18  260.31  267.08   13.430   27.112   14.90  1503.07
 0.46250D+12 0.10000D+15   0.0300  1   69.87   58.435  0.03647  265.46  260.67  267.27   13.400   27.520   14.72  1503.11
 0.47500D+12 0.10000D+15   0.0300  1   67.85   56.758  0.03583  265.74  261.02  267.45   13.370   27.928   14.54  1503.16
 0.48750D+12 0.10000D+15   0.0300  1   65.85   55.090  0.03522  266.01  261.37  267.63   13.340   28.336   14.37  1503.20
 0.50000D+12 0.10000D+15   0.0300  1   63.86   53.434  0.03463  266.27  261.70  267.81   13.311   28.744   14.21  1503.24
 0.51250D+12 0.10000D+15   0.0300  1   61.89   51.792  0.03406  266.53  262.02  267.99   13.282   29.152   14.05  1503.29
 0.52500D+12 0.10000D+15   0.0300  1   59.94   50.167  0.03352  266.78  262.34  268.17   13.253   29.560   13.89  1503.33
