R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
     Pint       Hint       etaref      pCLA conv   zbot     %vol    Tbot     Tm      Fbot     Ftop     dlid
 0.82500D+12 0.27662D-09 0.10000D+15   0.0150  1  113.988  0.04143  256.35  258.94   -0.000   26.943   13.54
 0.84000D+12 0.28615D-09 0.10000D+15   0.0150  1  112.056  0.03972  256.90  259.48    0.000   27.432   13.36
 0.85500D+12 0.29599D-09 0.10000D+15   0.0150  1  110.124  0.03814  257.42  260.00   -0.000   27.922   13.20
 0.87000D+12 0.30702D-09 0.10000D+15   0.0150  1  107.870  0.03644  257.99  260.53   -0.000   28.412   13.05
 0.88500D+12 0.31761D-09 0.10000D+15   0.0150  1  105.938  0.03510  258.46  261.00   -0.000   28.902   12.90
 0.90000D+12 0.33049D-09 0.10000D+15   0.0150  1  103.362  0.03345  259.06  261.53   -0.000   29.392   12.77
 0.91500D+12 0.34298D-09 0.10000D+15   0.0150  1  101.108  0.03212  259.56  262.00   -0.000   29.882   12.64
 0.93000D+12 0.35711D-09 0.10000D+15   0.0150  1   98.532  0.03073  260.11  262.47   -0.000   30.372   12.52
 0.94500D+12 0.37082D-09 0.10000D+15   0.0150  1   96.278  0.02960  260.57  262.90    0.000   30.861   12.40
 0.96000D+12 0.38766D-09 0.10000D+15   0.0150  1   93.380  0.02826  261.14  263.36   -0.000   31.351   12.30
 0.97500D+12 0.40421D-09 0.10000D+15   0.0150  1   90.804  0.02716  261.62  263.78   -0.000   31.841   12.20
 0.99000D+12 0.42170D-09 0.10000D+15   0.0150  1   88.228  0.02614  262.09  264.17    0.000   32.331   12.11
 0.10050D+13 0.44179D-09 0.10000D+15   0.0150  1   85.330  0.02508  262.60  264.57   -0.000   32.821   12.03
 0.10200D+13 0.46327D-09 0.10000D+15   0.0150  1   82.432  0.02410  263.09  264.94    0.000   33.311   11.95
 0.10350D+13 0.48629D-09 0.10000D+15   0.0150  1   79.534  0.02319  263.56  265.29   -0.000   33.801   11.87
 0.10500D+13 0.51103D-09 0.10000D+15   0.0150  1   76.636  0.02234  264.02  265.62   -0.000   34.290   11.80
 0.10650D+13 0.53769D-09 0.10000D+15   0.0150  1   73.738  0.02155  264.47  265.94   -0.000   34.780   11.74
 0.10800D+13 0.56650D-09 0.10000D+15   0.0150  1   70.840  0.02081  264.90  266.23    0.000   35.270   11.68
 0.10950D+13 0.59774D-09 0.10000D+15   0.0150  1   67.942  0.02011  265.33  266.50   -0.000   35.760   11.62
 0.11100D+13 0.63173D-09 0.10000D+15   0.0150  1   65.044  0.01946  265.74  266.75   -0.000   36.250   11.56
 0.11250D+13 0.66887D-09 0.10000D+15   0.0150  1   62.146  0.01885  266.14  266.98    0.000   36.740   11.51
 0.11400D+13 0.70960D-09 0.10000D+15   0.0150  1   59.248  0.01827  266.54  267.19   -0.000   37.230   11.46
 0.11550D+13 0.75036D-09 0.10000D+15   0.0150  1   56.672  0.01778  266.88  267.39   -0.000   37.720   11.41
 0.11700D+13 0.79498D-09 0.10000D+15   0.0150  1   54.096  0.01732  267.22  267.56   -0.000   38.209   11.37
 0.11850D+13 0.84402D-09 0.10000D+15   0.0150  1   51.520  0.01688  267.55  267.71    0.000   38.699   11.32
 0.12000D+13 0.89819D-09 0.10000D+15   0.0150  1   48.944  0.01646  267.88  267.85   -0.000   39.189   11.28
