R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
     Pint       etaref      pCLA conv P(MPa)   zbot     %vol    Tbot     Tm      TH2O      Fbot     Ftop     dlid   T_core
 0.00000D+00 0.10000D+15   0.0000  1  193.02  161.000  0.00000  253.41  241.68  253.41   18.090   14.551   22.88  1502.15
 0.12500D+11 0.10000D+15   0.0000  1  193.06  161.000  0.00000  253.41  242.01  253.41   18.374   15.188   23.04  1502.14
 0.25000D+11 0.10000D+15   0.0000  1  193.08  161.000  0.00000  253.41  242.34  253.41   18.146   15.412   22.71  1502.14
 0.37500D+11 0.10000D+15   0.0000  1  193.09  161.000  0.00000  253.41  242.65  253.41   17.915   15.634   22.38  1502.14
 0.50000D+11 0.10000D+15   0.0000  1  193.11  161.000  0.00000  253.41  242.96  253.41   17.681   15.855   22.07  1502.15
 0.62500D+11 0.10000D+15   0.0000  1  193.12  161.000  0.00000  253.41  243.27  253.41   17.446   16.074   21.77  1502.15
 0.75000D+11 0.10000D+15   0.0000  1  193.14  161.000  0.00000  253.41  243.56  253.41   17.208   16.291   21.48  1502.15
 0.87500D+11 0.10000D+15   0.0000  1  193.15  161.000  0.00000  253.41  243.86  253.41   16.968   16.506   21.20  1502.15
 0.10000D+12 0.10000D+15   0.0000  1  193.17  161.000  0.00000  253.41  244.14  253.41   16.727   16.720   20.93  1502.15
 0.11250D+12 0.10000D+15   0.0000  1  193.18  161.000  0.00000  253.41  244.43  253.41   16.483   16.932   20.67  1502.15
 0.12500D+12 0.10000D+15   0.0000  1  193.20  161.000  0.00000  253.41  244.70  253.41   16.238   17.144   20.41  1502.15
 0.13750D+12 0.10000D+15   0.0000  1  193.21  161.000  0.00000  253.41  244.98  253.41   15.991   17.353   20.17  1502.15
 0.15000D+12 0.10000D+15   0.0000  1  193.22  161.000  0.00000  253.41  245.24  253.41   15.743   17.562   19.93  1502.15
 0.16250D+12 0.10000D+15   0.0000  1  193.24  161.000  0.00000  253.41  245.51  253.41   15.493   17.769   19.69  1502.15
 0.17500D+12 0.10000D+15   0.0000  1  193.25  161.000  0.00000  253.41  245.77  253.41   15.241   17.975   19.47  1502.15
 0.18750D+12 0.10000D+15   0.0000  1  193.26  161.000  0.00000  253.41  246.02  253.41   14.988   18.179   19.25  1502.15
 0.20000D+12 0.10000D+15   0.0000  1  193.28  161.000  0.00000  253.41  246.28  253.41   14.734   18.383   19.04  1502.15
 0.21250D+12 0.10000D+15   0.0000  1  193.29  161.000  0.00000  253.41  246.53  253.41   14.478   18.585   18.83  1502.16
 0.22500D+12 0.10000D+15   0.0000  1  193.30  161.000  0.00000  253.41  246.77  253.41   14.221   18.787   18.63  1502.16
 0.23750D+12 0.10000D+15   0.0000  1  193.32  161.000  0.00000  253.41  247.01  253.41   13.962   18.987   18.43  1502.16
 0.25000D+12 0.10000D+15   0.0000  1  193.33  161.000  0.00000  253.41  247.25  253.41   13.703   19.186   18.24  1502.16
 0.26250D+12 0.10000D+15   0.0000  1  193.35  161.000  0.00000  253.41  247.48  253.41   13.442   19.385   18.05  1502.16
 0.27500D+12 0.10000D+15   0.0000  1  193.36  161.000  0.00000  253.41  247.72  253.41   13.180   19.582   17.87  1502.16
 0.28750D+12 0.10000D+15   0.0000  1  193.37  161.000  0.00000  253.41  247.95  253.41   12.917   19.779   17.69  1502.16
 0.30000D+12 0.10000D+15   0.0000  1  193.39  161.000  0.00000  253.41  248.17  253.41   12.652   19.974   17.52  1502.16
 0.31250D+12 0.10000D+15   0.0000  1  193.40  161.000  0.00000  253.41  248.39  253.41   12.387   20.169   17.35  1502.17
 0.32500D+12 0.10000D+15   0.0000  1  193.42  161.000  0.00000  253.41  248.61  253.41   12.121   20.363   17.19  1502.17
 0.33750D+12 0.10000D+15   0.0000  1  193.43  161.000  0.00000  253.41  248.83  253.41   11.853   20.556   17.02  1502.17
 0.35000D+12 0.10000D+15   0.0000  1  193.45  161.000  0.00000  253.41  249.05  253.41   11.585   20.748   16.87  1502.17
 0.36250D+12 0.10000D+15   0.0000  1  193.46  161.000  0.00000  253.41  249.26  253.41   11.315   20.940   16.71  1502.19
 0.37500D+12 0.10000D+15   0.0000  1  193.48  161.000  0.00000  253.41  249.47  253.41   11.045   21.131   16.56  1502.23
 0.38750D+12 0.10000D+15   0.0000  1  193.49  161.000  0.00000  253.41  249.68  253.41   10.774   21.321   16.41  1502.28
 0.40000D+12 0.10000D+15   0.0000  1  193.51  161.000  0.00000  253.41  249.88  253.41   10.502   21.510   16.27  1502.33
 0.41250D+12 0.10000D+15   0.0000  1  193.53  161.000  0.00000  253.41  250.09  253.41   10.229   21.699   16.13  1502.38
 0.42500D+12 0.10000D+15   0.0000  1  193.54  161.000  0.00000  253.41  250.29  253.41    9.955   21.887   15.99  1502.44
 0.43750D+12 0.10000D+15   0.0000  1  193.56  161.000  0.00000  253.41  250.49  253.41    9.680   22.074   15.85  1502.50
 0.45000D+12 0.10000D+15   0.0000  1  193.58  161.000  0.00000  253.41  250.68  253.41    9.405   22.261   15.72  1502.56
 0.46250D+12 0.10000D+15   0.0000  1  193.60  161.000  0.00000  253.41  250.88  253.41    9.128   22.447   15.59  1502.62
 0.47500D+12 0.10000D+15   0.0000  1  193.62  161.000  0.00000  253.41  251.07  253.41    8.851   22.632   15.46  1502.68
 0.48750D+12 0.10000D+15   0.0000  1  193.64  161.000  0.00000  253.41  251.26  253.41    8.574   22.817   15.34  1502.74
 0.50000D+12 0.10000D+15   0.0000  1  193.67  161.000  0.00000  253.41  251.45  253.41    8.295   23.001   15.21  1502.81
 0.51250D+12 0.10000D+15   0.0000  1  193.69  161.000  0.00000  253.41  251.64  253.41    8.016   23.185   15.09  1502.89
