R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
     Pint       Hint       etaref      pCLA conv   zbot     %vol    Tbot     Tm      Fbot     Ftop     dlid
 0.41232D-08 0.18875D+13 0.32000D+14   0.0250  1   16.422  0.02082  271.40  271.65    3.369   64.939    6.64
 0.42326D-08 0.19000D+13 0.32000D+14   0.0250  1   16.100  0.02077  271.44  271.69    3.260   65.243    6.61
 0.43465D-08 0.19125D+13 0.32000D+14   0.0250  1   15.778  0.02072  271.47  271.74    3.155   65.550    6.59
 0.45592D-08 0.19250D+13 0.32000D+14   0.0250  1   15.134  0.02062  271.55  271.76    3.224   66.028    6.54
 0.46876D-08 0.19375D+13 0.32000D+14   0.0250  1   14.812  0.02057  271.58  271.80    3.130   66.345    6.52
 0.48217D-08 0.19500D+13 0.32000D+14   0.0250  1   14.490  0.02052  271.62  271.84    3.040   66.666    6.49
 0.49619D-08 0.19625D+13 0.32000D+14   0.0250  1   14.168  0.02047  271.65  271.88    2.954   66.991    6.46
 0.51085D-08 0.19750D+13 0.32000D+14   0.0250  1   13.846  0.02042  271.69  271.92    2.873   67.321    6.43
 0.52622D-08 0.19875D+13 0.32000D+14   0.0250  1   13.524  0.02037  271.72  271.95    2.796   67.654    6.40
 0.54233D-08 0.20000D+13 0.32000D+14   0.0250  1   13.202  0.02032  271.76  271.98    2.724   67.993    6.37
 0.55925D-08 0.20125D+13 0.32000D+14   0.0250  1   12.880  0.02027  271.79  272.01    2.657   68.336    6.34
 0.57703D-08 0.20250D+13 0.32000D+14   0.0250  1   12.558  0.02022  271.83  272.04    2.595   68.685    6.31
 0.58059D-08 0.20375D+13 0.32000D+14   0.0250  1   12.558  0.02022  271.83  272.10    2.325   68.828    6.30
 0.58416D-08 0.20500D+13 0.32000D+14   0.0250  1   12.558  0.02022  271.83  272.15    2.055   68.971    6.29
 0.57314D-08 0.20625D+13 0.32000D+14   0.0250  1   12.880  0.02027  271.79  272.24    1.577   68.908    6.29
 0.57662D-08 0.20750D+13 0.32000D+14   0.0250  1   12.880  0.02027  271.79  272.29    1.307   69.050    6.28
 0.58009D-08 0.20875D+13 0.32000D+14   0.0250  1   12.880  0.02027  271.79  272.35    1.037   69.193    6.26
 0.58356D-08 0.21000D+13 0.32000D+14   0.0250  1   12.880  0.02027  271.79  272.40    0.767   69.335    6.25
 0.58704D-08 0.21125D+13 0.32000D+14   0.0250  1   12.880  0.02027  271.79  272.46    0.496   69.477    6.24
 0.59051D-08 0.21250D+13 0.32000D+14   0.0250  1   12.880  0.02027  271.79  272.52    0.226   69.619    6.22
 0.31910D-08 0.21375D+13 0.32000D+14   0.0250  1   24.150  0.02213  270.52  270.90   -4.337   65.602    7.00
 0.32523D-08 0.21500D+13 0.32000D+14   0.0250  1   23.828  0.02207  270.55  270.93   -4.542   65.810    6.98
 0.33154D-08 0.21625D+13 0.32000D+14   0.0250  1   23.506  0.02201  270.59  270.96   -4.747   66.017    6.96
 0.33801D-08 0.21750D+13 0.32000D+14   0.0250  1   23.184  0.02196  270.63  270.99   -4.952   66.224    6.94
 0.34467D-08 0.21875D+13 0.32000D+14   0.0250  1   22.862  0.02190  270.67  271.02   -5.159   66.430    6.92
 0.35152D-08 0.22000D+13 0.32000D+14   0.0250  1   22.540  0.02184  270.70  271.05   -5.365   66.635    6.91
 0.35352D-08 0.22125D+13 0.32000D+14   0.0250  1   22.540  0.02184  270.70  271.13   -5.588   66.827    6.89
 0.36059D-08 0.22250D+13 0.32000D+14   0.0250  1   22.218  0.02179  270.74  271.15   -5.796   67.031    6.87
 0.36788D-08 0.22375D+13 0.32000D+14   0.0250  1   21.896  0.02173  270.78  271.17   -6.004   67.235    6.85
 0.37537D-08 0.22500D+13 0.32000D+14   0.0250  1   21.574  0.02168  270.82  271.19   -6.212   67.438    6.83
 0.38310D-08 0.22625D+13 0.32000D+14   0.0250  1   21.252  0.02162  270.85  271.21   -6.421   67.640    6.81
 0.39106D-08 0.22750D+13 0.32000D+14   0.0250  1   20.930  0.02157  270.89  271.23   -6.631   67.842    6.80
 0.39927D-08 0.22875D+13 0.32000D+14   0.0250  1   20.608  0.02151  270.93  271.24   -6.840   68.043    6.78
 0.40145D-08 0.23000D+13 0.32000D+14   0.0250  1   20.608  0.02151  270.93  271.32   -7.066   68.232    6.76
 0.40996D-08 0.23125D+13 0.32000D+14   0.0250  1   20.286  0.02146  270.96  271.33   -7.277   68.432    6.74
 0.41873D-08 0.23250D+13 0.32000D+14   0.0250  1   19.964  0.02140  271.00  271.35   -7.488   68.631    6.73
 0.42780D-08 0.23375D+13 0.32000D+14   0.0250  1   19.642  0.02135  271.04  271.35   -7.700   68.830    6.71
 0.43716D-08 0.23500D+13 0.32000D+14   0.0250  1   19.320  0.02129  271.07  271.36   -7.912   69.028    6.69
 0.43949D-08 0.23625D+13 0.32000D+14   0.0250  1   19.320  0.02129  271.07  271.44   -8.140   69.214    6.68
 0.44921D-08 0.23750D+13 0.32000D+14   0.0250  1   18.998  0.02124  271.11  271.44   -8.353   69.411    6.66
 0.45926D-08 0.23875D+13 0.32000D+14   0.0250  1   18.676  0.02119  271.15  271.44   -8.566   69.608    6.64
 0.46167D-08 0.24000D+13 0.32000D+14   0.0250  1   18.676  0.02119  271.15  271.52   -8.796   69.792    6.63
 0.47212D-08 0.24125D+13 0.32000D+14   0.0250  1   18.354  0.02114  271.18  271.52   -9.010   69.987    6.61
 0.48294D-08 0.24250D+13 0.32000D+14   0.0250  1   18.032  0.02108  271.22  271.51   -9.224   70.182    6.60
 0.48543D-08 0.24375D+13 0.32000D+14   0.0250  1   18.032  0.02108  271.22  271.59   -9.455   70.365    6.58
 0.49668D-08 0.24500D+13 0.32000D+14   0.0250  1   17.710  0.02103  271.26  271.58   -9.670   70.559    6.56
 0.50836D-08 0.24625D+13 0.32000D+14   0.0250  1   17.388  0.02098  271.29  271.57   -9.886   70.752    6.55
 0.51094D-08 0.24750D+13 0.32000D+14   0.0250  1   17.388  0.02098  271.29  271.64  -10.118   70.934    6.53
 0.52310D-08 0.24875D+13 0.32000D+14   0.0250  1   17.066  0.02093  271.33  271.63  -10.334   71.126    6.52
 0.53573D-08 0.25000D+13 0.32000D+14   0.0250  1   16.744  0.02087  271.37  271.62  -10.551   71.318    6.50
 0.53841D-08 0.25125D+13 0.32000D+14   0.0250  1   16.744  0.02087  271.37  271.69  -10.784   71.498    6.48
 0.55158D-08 0.25250D+13 0.32000D+14   0.0250  1   16.422  0.02082  271.40  271.67  -11.002   71.689    6.47
 0.55431D-08 0.25375D+13 0.32000D+14   0.0250  1   16.422  0.02082  271.40  271.75  -11.236   71.868    6.45
 0.56806D-08 0.25500D+13 0.32000D+14   0.0250  1   16.100  0.02077  271.44  271.73  -11.454   72.058    6.44
 0.58238D-08 0.25625D+13 0.32000D+14   0.0250  1   15.778  0.02072  271.47  271.70  -11.673   72.247    6.43
 0.58522D-08 0.25750D+13 0.32000D+14   0.0250  1   15.778  0.02072  271.47  271.77  -11.908   72.425    6.41
 0.60019D-08 0.25875D+13 0.32000D+14   0.0250  1   15.456  0.02067  271.51  271.75  -12.128   72.613    6.40
 0.60309D-08 0.26000D+13 0.32000D+14   0.0250  1   15.456  0.02067  271.51  271.82  -12.363   72.790    6.38
 0.61875D-08 0.26125D+13 0.32000D+14   0.0250  1   15.134  0.02062  271.55  271.79  -12.584   72.977    6.37
 0.62171D-08 0.26250D+13 0.32000D+14   0.0250  1   15.134  0.02062  271.55  271.86  -12.820   73.154    6.35
 0.63812D-08 0.26375D+13 0.32000D+14   0.0250  1   14.812  0.02057  271.58  271.82  -13.041   73.340    6.34
 0.64114D-08 0.26500D+13 0.32000D+14   0.0250  1   14.812  0.02057  271.58  271.89  -13.278   73.515    6.32
 0.64417D-08 0.26625D+13 0.32000D+14   0.0250  1   14.812  0.02057  271.58  271.96  -13.515   73.691    6.31
 0.64719D-08 0.26750D+13 0.32000D+14   0.0250  1   14.812  0.02057  271.58  272.03  -13.752   73.867    6.29
 0.65022D-08 0.26875D+13 0.32000D+14   0.0250  1   14.812  0.02057  271.58  272.10  -13.989   74.043    6.28
 0.65324D-08 0.27000D+13 0.32000D+14   0.0250  1   14.812  0.02057  271.58  272.16  -14.225   74.219    6.26
 0.64244D-08 0.27125D+13 0.32000D+14   0.0250  1   15.134  0.02062  271.55  272.34  -14.470   74.393    6.25
 0.64540D-08 0.27250D+13 0.32000D+14   0.0250  1   15.134  0.02062  271.55  272.41  -14.705   74.571    6.23
 0.64836D-08 0.27375D+13 0.32000D+14   0.0250  1   15.134  0.02062  271.55  272.48  -14.939   74.749    6.22
 0.65132D-08 0.27500D+13 0.32000D+14   0.0250  1   15.134  0.02062  271.55  272.54  -15.174   74.927    6.20
 0.65428D-08 0.27625D+13 0.32000D+14   0.0250  1   15.134  0.02062  271.55  272.61  -15.408   75.106    6.19
 0.65724D-08 0.27750D+13 0.32000D+14   0.0250  1   15.134  0.02062  271.55  272.68  -15.642   75.284    6.17
 0.66020D-08 0.27875D+13 0.32000D+14   0.0250  1   15.134  0.02062  271.55  272.75  -15.876   75.463    6.16
 0.66316D-08 0.28000D+13 0.32000D+14   0.0250  1   15.134  0.02062  271.55  272.82  -16.110   75.642    6.14
 0.66612D-08 0.28125D+13 0.32000D+14   0.0250  1   15.134  0.02062  271.55  272.89  -16.344   75.821    6.13
 0.66908D-08 0.28250D+13 0.32000D+14   0.0250  1   15.134  0.02062  271.55  272.96  -16.577   76.001    6.11
 0.67204D-08 0.28375D+13 0.32000D+14   0.0250  1   15.134  0.02062  271.55  273.02  -16.810   76.180    6.10
 0.67500D-08 0.28500D+13 0.32000D+14   0.0250  1   15.134  0.02062  271.55  273.09  -17.043   76.360    6.08
 0.67796D-08 0.28625D+13 0.32000D+14   0.0250  1   15.134  0.02062  271.55  273.16  -17.276   76.540    6.07
 0.68092D-08 0.28750D+13 0.32000D+14   0.0250  1   15.134  0.02062  271.55  273.23  -17.509   76.720    6.06
 0.68388D-08 0.28875D+13 0.32000D+14   0.0250  1   15.134  0.02062  271.55  273.30  -17.741   76.900    6.04
 0.68684D-08 0.29000D+13 0.32000D+14   0.0250  1   15.134  0.02062  271.55  273.37  -17.974   77.080    6.03
 0.68980D-08 0.29125D+13 0.32000D+14   0.0250  1   15.134  0.02062  271.55  273.43  -18.206   77.261    6.01
 0.69277D-08 0.29250D+13 0.32000D+14   0.0250  1   15.134  0.02062  271.55  273.50  -18.438   77.441    6.00
 0.69573D-08 0.29375D+13 0.32000D+14   0.0250  1   15.134  0.02062  271.55  273.57  -18.670   77.622    5.99
 0.69869D-08 0.29500D+13 0.32000D+14   0.0250  1   15.134  0.02062  271.55  273.64  -18.901   77.803    5.97
 0.70165D-08 0.29625D+13 0.32000D+14   0.0250  1   15.134  0.02062  271.55  273.71  -19.133   77.985    5.96
 0.70461D-08 0.29750D+13 0.32000D+14   0.0250  1   15.134  0.02062  271.55  273.77  -19.364   78.166    5.94
 0.70757D-08 0.29875D+13 0.32000D+14   0.0250  1   15.134  0.02062  271.55  273.84  -19.595   78.348    5.93
 0.71053D-08 0.30000D+13 0.32000D+14   0.0250  1   15.134  0.02062  271.55  273.91  -19.826   78.529    5.92
