R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
     Pint       Hint       etaref      pCLA conv   zbot     %vol    Tbot     Tm      Fbot     Ftop     dlid
 0.75000D+11 0.18666D-10 0.10000D+14   0.0300  0  157.862  0.32100  176.85  184.08    0.000    2.449  157.86
 0.87500D+11 0.23274D-10 0.10000D+14   0.0300  0  146.633  0.30354  183.09  188.39    0.000    2.858  146.63
 0.10000D+12 0.26865D-10 0.10000D+14   0.0300  0  145.187  0.27270  194.00  195.06   -0.000    3.266  145.19
 0.11250D+12 0.30530D-10 0.10000D+14   0.0300  0  143.523  0.24411  203.59  202.46    0.000    3.674  121.73
 0.12500D+12 0.33991D-10 0.10000D+14   0.0300  0  143.027  0.23671  206.00  206.10    0.000    4.082   74.93
 0.13750D+12 0.37466D-10 0.10000D+14   0.0300  0  142.672  0.23166  207.62  208.02   -0.000    4.490   62.10
 0.15000D+12 0.40956D-10 0.10000D+14   0.0300  1  142.344  0.22720  209.04  209.56   -0.000    4.899   51.73
 0.16250D+12 0.44460D-10 0.10000D+14   0.0300  1  142.024  0.22301  210.37  210.93    0.000    5.307   48.37
 0.17500D+12 0.47978D-10 0.10000D+14   0.0300  1  141.710  0.21903  211.62  212.18    0.000    5.715   45.51
 0.18750D+12 0.51511D-10 0.10000D+14   0.0300  1  141.401  0.21526  212.79  213.34   -0.000    6.123   43.07
 0.20000D+12 0.55059D-10 0.10000D+14   0.0300  1  141.097  0.21167  213.90  214.40    0.000    6.532   40.96
 0.21250D+12 0.58621D-10 0.10000D+14   0.0300  1  140.799  0.20828  214.95  215.36   -0.000    6.940   39.13
 0.22500D+12 0.62198D-10 0.10000D+14   0.0300  1  140.510  0.20507  215.93  216.24   -0.000    7.348   37.56
 0.23750D+12 0.65790D-10 0.10000D+14   0.0300  1  140.230  0.20206  216.85  217.02   -0.000    7.756   36.21
 0.25000D+12 0.69397D-10 0.10000D+14   0.0300  1  139.963  0.19927  217.69  217.68   -0.000    8.164   35.07
 0.26250D+12 0.73020D-10 0.10000D+14   0.0300  1  139.715  0.19674  218.45  218.22   -0.000    8.573   34.17
 0.27500D+12 0.76657D-10 0.10000D+14   0.0300  1  139.426  0.19387  219.32  219.00   -0.000    8.981   33.51
 0.28750D+12 0.80310D-10 0.10000D+14   0.0300  1  139.104  0.19078  220.24  219.99    0.000    9.389   32.04
 0.30000D+12 0.83802D-10 0.10000D+14   0.0300  1  138.878  0.18868  220.86  221.75   -0.000    9.797   29.23
 0.31250D+12 0.87477D-10 0.10000D+14   0.0300  1  138.777  0.18773  221.14  221.42    0.000   10.206   29.54
 0.32500D+12 0.91169D-10 0.10000D+14   0.0300  1  138.460  0.18487  221.99  222.27   -0.000   10.614   28.82
 0.33750D+12 0.94876D-10 0.10000D+14   0.0300  1  138.138  0.18205  222.82  223.15    0.000   11.022   27.73
 0.35000D+12 0.98599D-10 0.10000D+14   0.0300  1  137.816  0.17931  223.62  224.00    0.000   11.430   26.72
 0.36250D+12 0.10234D-09 0.10000D+14   0.0300  1  137.494  0.17666  224.39  224.83   -0.000   11.838   25.78
 0.37500D+12 0.10609D-09 0.10000D+14   0.0300  1  137.172  0.17408  225.14  225.63   -0.000   12.247   24.91
 0.38750D+12 0.10963D-09 0.10000D+14   0.0300  1  137.172  0.17408  225.14  226.00    0.000   12.655   24.44
 0.40000D+12 0.11341D-09 0.10000D+14   0.0300  1  136.850  0.17157  225.87  226.77   -0.000   13.063   23.66
 0.41250D+12 0.11720D-09 0.10000D+14   0.0300  1  136.528  0.16913  226.57  227.52    0.000   13.471   22.92
 0.42500D+12 0.12101D-09 0.10000D+14   0.0300  1  136.206  0.16676  227.25  228.24   -0.000   13.879   22.24
 0.43750D+12 0.12484D-09 0.10000D+14   0.0300  1  135.884  0.16446  227.90  228.95   -0.000   14.288   21.59
 0.45000D+12 0.12869D-09 0.10000D+14   0.0300  1  135.562  0.16221  228.54  229.64   -0.000   14.696   20.98
 0.46250D+12 0.13255D-09 0.10000D+14   0.0300  1  135.240  0.16003  229.16  230.31    0.000   15.104   20.41
 0.47500D+12 0.13643D-09 0.10000D+14   0.0300  1  134.918  0.15790  229.76  230.96    0.000   15.512   19.87
 0.48750D+12 0.14002D-09 0.10000D+14   0.0300  1  134.918  0.15790  229.76  231.28   -0.000   15.921   19.56
 0.50000D+12 0.14392D-09 0.10000D+14   0.0300  1  134.596  0.15583  230.35  231.91    0.000   16.329   19.07
 0.51250D+12 0.14784D-09 0.10000D+14   0.0300  1  134.274  0.15381  230.92  232.53    0.000   16.737   18.60
 0.52500D+12 0.15178D-09 0.10000D+14   0.0300  1  133.952  0.15184  231.47  233.13   -0.000   17.145   18.16
 0.53750D+12 0.15573D-09 0.10000D+14   0.0300  1  133.630  0.14992  232.00  233.72   -0.000   17.553   17.74
 0.55000D+12 0.15971D-09 0.10000D+14   0.0300  1  133.308  0.14805  232.53  234.29   -0.000   17.962   17.34
 0.56250D+12 0.16370D-09 0.10000D+14   0.0300  1  132.986  0.14622  233.03  234.86   -0.000   18.370   16.95
 0.57500D+12 0.16770D-09 0.10000D+14   0.0300  1  132.664  0.14444  233.53  235.41   -0.000   18.778   16.59
 0.58750D+12 0.17173D-09 0.10000D+14   0.0300  1  132.342  0.14270  234.01  235.94    0.000   19.186   16.24
 0.60000D+12 0.17577D-09 0.10000D+14   0.0300  1  132.020  0.14100  234.48  236.47    0.000   19.595   15.91
 0.61250D+12 0.17944D-09 0.10000D+14   0.0300  1  132.020  0.14100  234.48  236.75    0.000   20.003   15.71
 0.62500D+12 0.18351D-09 0.10000D+14   0.0300  1  131.698  0.13934  234.94  237.26    0.000   20.411   15.40
 0.63750D+12 0.18760D-09 0.10000D+14   0.0300  1  131.376  0.13772  235.39  237.76   -0.000   20.819   15.11
 0.65000D+12 0.19170D-09 0.10000D+14   0.0300  1  131.054  0.13613  235.82  238.25   -0.000   21.227   14.82
 0.66250D+12 0.19583D-09 0.10000D+14   0.0300  1  130.732  0.13458  236.25  238.74   -0.000   21.636   14.55
 0.67500D+12 0.19998D-09 0.10000D+14   0.0300  1  130.410  0.13306  236.66  239.21    0.000   22.044   14.29
 0.68750D+12 0.20414D-09 0.10000D+14   0.0300  1  130.088  0.13158  237.07  239.68   -0.000   22.452   14.04
 0.70000D+12 0.20832D-09 0.10000D+14   0.0300  1  129.766  0.13013  237.47  240.13   -0.000   22.860   13.80
 0.71250D+12 0.21252D-09 0.10000D+14   0.0300  1  129.444  0.12871  237.85  240.58    0.000   23.269   13.57
 0.72500D+12 0.21675D-09 0.10000D+14   0.0300  1  129.122  0.12731  238.23  241.02   -0.000   23.677   13.35
 0.73750D+12 0.22099D-09 0.10000D+14   0.0300  1  128.800  0.12595  238.60  241.45   -0.000   24.085   13.13
 0.75000D+12 0.22525D-09 0.10000D+14   0.0300  1  128.478  0.12462  238.97  241.88    0.000   24.493   12.93
 0.76250D+12 0.22953D-09 0.10000D+14   0.0300  1  128.156  0.12331  239.32  242.30    0.000   24.901   12.73
 0.77500D+12 0.23383D-09 0.10000D+14   0.0300  1  127.834  0.12204  239.67  242.71    0.000   25.310   12.53
 0.78750D+12 0.23815D-09 0.10000D+14   0.0300  1  127.512  0.12078  240.01  243.12   -0.000   25.718   12.35
 0.80000D+12 0.24249D-09 0.10000D+14   0.0300  1  127.190  0.11955  240.34  243.51    0.000   26.126   12.17
 0.81250D+12 0.24743D-09 0.10000D+14   0.0300  1  126.546  0.11717  240.99  244.07   -0.000   26.534   11.95
 0.82500D+12 0.25182D-09 0.10000D+14   0.0300  1  126.224  0.11601  241.30  244.45   -0.000   26.943   11.78
 0.83750D+12 0.25624D-09 0.10000D+14   0.0300  1  125.902  0.11487  241.61  244.83   -0.000   27.351   11.62
 0.85000D+12 0.26068D-09 0.10000D+14   0.0300  1  125.580  0.11376  241.91  245.20   -0.000   27.759   11.47
 0.86250D+12 0.26513D-09 0.10000D+14   0.0300  1  125.258  0.11267  242.21  245.57   -0.000   28.167   11.32
 0.87500D+12 0.26961D-09 0.10000D+14   0.0300  1  124.936  0.11159  242.50  245.93   -0.000   28.575   11.17
 0.88750D+12 0.27411D-09 0.10000D+14   0.0300  1  124.614  0.11054  242.78  246.28    0.000   28.984   11.03
 0.90000D+12 0.27863D-09 0.10000D+14   0.0300  1  124.292  0.10951  243.06  246.63    0.000   29.392   10.89
 0.91250D+12 0.28386D-09 0.10000D+14   0.0300  1  123.648  0.10749  243.61  247.11   -0.000   29.800   10.72
 0.92500D+12 0.28843D-09 0.10000D+14   0.0300  1  123.326  0.10651  243.87  247.45    0.000   30.208   10.59
 0.93750D+12 0.29303D-09 0.10000D+14   0.0300  1  123.004  0.10555  244.13  247.79   -0.000   30.617   10.47
 0.95000D+12 0.29766D-09 0.10000D+14   0.0300  1  122.682  0.10461  244.39  248.12   -0.000   31.025   10.35
 0.96250D+12 0.30230D-09 0.10000D+14   0.0300  1  122.360  0.10368  244.64  248.44   -0.000   31.433   10.23
 0.97500D+12 0.30772D-09 0.10000D+14   0.0300  1  121.716  0.10187  245.13  248.88    0.000   31.841   10.09
 0.98750D+12 0.31243D-09 0.10000D+14   0.0300  1  121.394  0.10098  245.37  249.20   -0.000   32.249    9.98
 0.10000D+13 0.31716D-09 0.10000D+14   0.0300  1  121.072  0.10012  245.60  249.51   -0.000   32.658    9.87
 0.10125D+13 0.32191D-09 0.10000D+14   0.0300  1  120.750  0.09926  245.84  249.81    0.000   33.066    9.76
 0.10250D+13 0.32749D-09 0.10000D+14   0.0300  1  120.106  0.09760  246.29  250.23   -0.000   33.474    9.64
 0.10375D+13 0.33231D-09 0.10000D+14   0.0300  1  119.784  0.09679  246.51  250.53   -0.000   33.882    9.54
 0.10500D+13 0.33714D-09 0.10000D+14   0.0300  1  119.462  0.09599  246.73  250.82    0.000   34.290    9.44
 0.10625D+13 0.34286D-09 0.10000D+14   0.0300  1  118.818  0.09443  247.15  251.21    0.000   34.699    9.33
 0.10750D+13 0.34776D-09 0.10000D+14   0.0300  1  118.496  0.09367  247.36  251.50    0.000   35.107    9.24
 0.10875D+13 0.35269D-09 0.10000D+14   0.0300  1  118.174  0.09292  247.56  251.78    0.000   35.515    9.15
 0.11000D+13 0.35855D-09 0.10000D+14   0.0300  1  117.530  0.09145  247.96  252.16   -0.000   35.923    9.05
