R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
   zbot    P(MPa) Hint     conv melt pCLA   Tbot     Tm     etam        k   Fcond_bot Fcond_top   Fbot     Ftop    dlid z_topTBL z_botTBL
   11.59   13.97 0.27766D-08  0  0  0.00000  272.07  268.05 0.14881D+15  2.177   38.883   38.307   24.040   53.076   11.59   11.59   11.59
   11.91   14.36 0.27021D-08  0  0  0.00000  272.04  268.07 0.14814D+15  2.177   37.833   37.258   22.986   52.029   11.91   11.91   11.91
   12.24   14.74 0.26315D-08  0  0  0.00000  272.01  268.08 0.14748D+15  2.177   36.838   36.263   21.988   51.036   12.24   12.24   12.24
   12.56   15.13 0.25646D-08  0  0  0.00000  271.98  268.09 0.14684D+15  2.178   35.895   35.320   21.040   50.095   12.56   12.56   12.56
   12.88   15.52 0.25010D-08  0  0  0.00000  271.95  268.11 0.14622D+15  2.178   34.998   34.423   20.140   49.200   12.88   12.88   12.88
   13.20   15.91 0.24405D-08  0  0  0.00000  271.92  268.12 0.14561D+15  2.178   34.146   33.571   19.283   48.350   13.20   13.20   13.20
   13.52   16.30 0.23829D-08  0  0  0.00000  271.88  268.13 0.14501D+15  2.178   33.334   32.759   18.467   47.540   13.52   13.52   13.52
   13.85   16.68 0.23279D-08  0  0  0.00000  271.85  268.14 0.14443D+15  2.179   32.559   31.984   17.688   46.768   13.85   13.85   13.85
   14.17   17.07 0.22755D-08  0  0  0.00000  271.82  268.15 0.14386D+15  2.179   31.820   31.245   16.945   46.031   14.17   14.17   14.17
   14.49   17.46 0.22254D-08  0  0  0.00000  271.79  268.16 0.14330D+15  2.179   31.114   30.539   16.235   45.326   14.49   14.49   14.49
   14.81   17.85 0.21775D-08  0  0  0.00000  271.76  268.16 0.14275D+15  2.180   30.439   29.864   15.555   44.653   14.81   14.81   14.81
   15.13   18.24 0.21316D-08  0  0  0.00000  271.73  268.17 0.14221D+15  2.180   29.792   29.217   14.904   44.008   15.13   15.13   15.13
   15.46   18.63 0.20876D-08  0  0  0.00000  271.70  268.18 0.14169D+15  2.180   29.172   28.597   14.280   43.390   15.46   15.46   15.46
   15.78   19.01 0.20454D-08  0  0  0.00000  271.67  268.18 0.14117D+15  2.180   28.577   28.003   13.681   42.798   15.78   15.78   15.78
   16.10   19.40 0.20049D-08  0  0  0.00000  271.64  268.19 0.14066D+15  2.181   28.007   27.432   13.106   42.229   16.10   16.10   16.10
   16.42   19.37 0.19660D-08  1  0  0.00000  271.61  268.19 0.14017D+15  2.181   27.458   26.883   12.795   41.919   10.30   14.46   15.73
   16.74   19.76 0.19286D-08  1  0  0.00000  271.57  268.20 0.13968D+15  2.181   26.931   26.356   12.685   41.806   10.33   14.40   16.05
   17.07   20.15 0.18926D-08  1  0  0.00000  271.54  268.20 0.13920D+15  2.181   26.423   25.849   12.577   41.695   10.35   14.35   16.38
   17.39   20.54 0.18580D-08  1  0  0.00000  271.51  268.21 0.13873D+15  2.182   25.935   25.360   12.471   41.586   10.37   14.29   16.70
   17.71   20.93 0.18246D-08  1  0  0.00000  271.48  268.21 0.13827D+15  2.182   25.464   24.889   12.367   41.480   10.39   14.24   17.02
   18.03   21.32 0.17923D-08  1  0  0.00000  271.45  268.21 0.13781D+15  2.182   25.010   24.435   12.265   41.376   10.42   14.19   17.35
   18.35   21.71 0.17613D-08  1  0  0.00000  271.42  268.21 0.13736D+15  2.182   24.572   23.997   12.166   41.273   10.44   14.15   17.67
   18.68   22.10 0.17313D-08  1  0  0.00000  271.39  268.21 0.13692D+15  2.183   24.149   23.574   12.068   41.173   10.46   14.11   17.99
   19.00   22.49 0.17023D-08  1  0  0.00000  271.35  268.22 0.13649D+15  2.183   23.740   23.166   11.973   41.075   10.48   14.07   18.32
   19.32   22.87 0.16742D-08  1  0  0.00000  271.32  268.22 0.13606D+15  2.183   23.345   22.771   11.879   40.978   10.50   14.04   18.64
   19.64   23.26 0.16471D-08  1  0  0.00000  271.29  268.22 0.13564D+15  2.184   22.963   22.388   11.786   40.884   10.52   14.00   18.96
   19.96   23.65 0.16209D-08  1  0  0.00000  271.26  268.22 0.13522D+15  2.184   22.593   22.019   11.696   40.791   10.54   13.97   19.29
   20.29   24.04 0.15955D-08  1  0  0.00000  271.23  268.22 0.13482D+15  2.184   22.235   21.661   11.607   40.699   10.56   13.94   19.61
   20.61   24.43 0.15709D-08  1  0  0.00000  271.20  268.21 0.13441D+15  2.184   21.888   21.314   11.520   40.610   10.58   13.91   19.93
   20.93   24.82 0.15471D-08  1  0  0.00000  271.17  268.21 0.13402D+15  2.185   21.552   20.978   11.434   40.521   10.60   13.88   20.26
   21.25   25.21 0.15239D-08  1  0  0.00000  271.13  268.21 0.13362D+15  2.185   21.226   20.652   11.350   40.435   10.62   13.86   20.58
   21.57   25.60 0.15015D-08  1  0  0.00000  271.10  268.21 0.13324D+15  2.185   20.909   20.335   11.267   40.349   10.64   13.84   20.91
   21.90   25.99 0.14797D-08  1  0  0.00000  271.07  268.21 0.13286D+15  2.185   20.602   20.029   11.185   40.266   10.65   13.81   21.23
   22.22   26.38 0.14586D-08  1  0  0.00000  271.04  268.20 0.13248D+15  2.186   20.304   19.730   11.105   40.183   10.67   13.79   21.55
   22.54   26.77 0.14380D-08  1  0  0.00000  271.01  268.20 0.13211D+15  2.186   20.015   19.441   11.026   40.102   10.69   13.77   21.88
   22.86   27.16 0.14181D-08  1  0  0.00000  270.98  268.20 0.13174D+15  2.186   19.733   19.160   10.949   40.022   10.71   13.75   22.20
   23.18   27.54 0.13987D-08  1  0  0.00000  270.94  268.19 0.13138D+15  2.187   19.460   18.886   10.872   39.943   10.72   13.74   22.53
   23.51   27.93 0.13798D-08  1  0  0.00000  270.91  268.19 0.13103D+15  2.187   19.194   18.620   10.797   39.866   10.74   13.72   22.85
   23.83   28.32 0.13614D-08  1  0  0.00000  270.88  268.18 0.13067D+15  2.187   18.935   18.361   10.722   39.789   10.76   13.71   23.17
   24.15   28.71 0.13436D-08  1  0  0.00000  270.85  268.18 0.13033D+15  2.187   18.683   18.109   10.649   39.714   10.77   13.69   23.50
   24.47   29.10 0.13262D-08  1  0  0.00000  270.82  268.18 0.12998D+15  2.188   18.437   17.864   10.577   39.640   10.79   13.68   23.82
   24.79   29.49 0.13092D-08  1  0  0.00000  270.78  268.17 0.12964D+15  2.188   18.198   17.625   10.506   39.567   10.80   13.66   24.15
   25.12   29.88 0.12927D-08  1  0  0.00000  270.75  268.16 0.12930D+15  2.188   17.965   17.392   10.436   39.495   10.82   13.65   24.47
   25.44   30.27 0.12766D-08  1  0  0.00000  270.72  268.16 0.12897D+15  2.188   17.738   17.165   10.367   39.424   10.83   13.64   24.80
   25.76   30.66 0.12609D-08  1  0  0.00000  270.69  268.15 0.12864D+15  2.189   17.517   16.944   10.299   39.354   10.85   13.63   25.12
   26.08   31.05 0.12456D-08  1  0  0.00000  270.66  268.15 0.12832D+15  2.189   17.301   16.728   10.232   39.285   10.86   13.62   25.44
   26.40   31.44 0.12307D-08  1  0  0.00000  270.62  268.14 0.12800D+15  2.189   17.090   16.517   10.166   39.217   10.88   13.61   25.77
   26.73   31.83 0.12161D-08  1  0  0.00000  270.59  268.13 0.12768D+15  2.190   16.885   16.312   10.100   39.149   10.89   13.60   26.09
   27.05   32.22 0.12019D-08  1  0  0.00000  270.56  268.13 0.12736D+15  2.190   16.684   16.111   10.036   39.083   10.91   13.59   26.42
   27.37   32.61 0.11880D-08  1  0  0.00000  270.53  268.12 0.12705D+15  2.190   16.488   15.915    9.972   39.017   10.92   13.58   26.74
   27.69   33.00 0.11744D-08  1  0  0.00000  270.50  268.11 0.12675D+15  2.190   16.297   15.724    9.909   38.953   10.93   13.58   27.07
   28.01   33.39 0.11611D-08  1  0  0.00000  270.46  268.10 0.12644D+15  2.191   16.110   15.537    9.847   38.889   10.95   13.57   27.39
   28.34   33.78 0.11482D-08  1  0  0.00000  270.43  268.10 0.12614D+15  2.191   15.927   15.354    9.786   38.826   10.96   13.56   27.72
   28.66   34.17 0.11355D-08  1  0  0.00000  270.40  268.09 0.12584D+15  2.191   15.749   15.176    9.725   38.763   10.97   13.56   28.04
   28.98   34.56 0.11231D-08  1  0  0.00000  270.37  268.08 0.12554D+15  2.192   15.574   15.001    9.665   38.702   10.99   13.55   28.36
   29.30   34.95 0.11110D-08  1  0  0.00000  270.33  268.07 0.12525D+15  2.192   15.403   14.830    9.606   38.641   11.00   13.55   28.69
   29.62   35.34 0.10992D-08  1  0  0.00000  270.30  268.06 0.12496D+15  2.192   15.236   14.663    9.548   38.580   11.01   13.54   29.01
   29.95   35.72 0.10876D-08  1  0  0.00000  270.27  268.05 0.12467D+15  2.192   15.072   14.500    9.490   38.521   11.03   13.54   29.34
   30.27   36.11 0.10762D-08  1  0  0.00000  270.24  268.04 0.12439D+15  2.193   14.912   14.340    9.433   38.462   11.04   13.53   29.66
   30.59   36.50 0.10651D-08  1  0  0.00000  270.20  268.03 0.12411D+15  2.193   14.756   14.183    9.376   38.404   11.05   13.53   29.99
   30.91   36.89 0.10542D-08  1  0  0.00000  270.17  268.03 0.12383D+15  2.193   14.602   14.030    9.320   38.347   11.06   13.52   30.31
   31.23   37.28 0.10436D-08  1  0  0.00000  270.14  268.02 0.12355D+15  2.193   14.452   13.879    9.265   38.290   11.08   13.52   30.64
   31.56   37.67 0.10332D-08  1  0  0.00000  270.11  268.01 0.12328D+15  2.194   14.305   13.732    9.210   38.233   11.09   13.52   30.96
   31.88   38.06 0.10229D-08  1  0  0.00000  270.07  268.00 0.12301D+15  2.194   14.161   13.588    9.156   38.178   11.10   13.52   31.29
   32.20   38.45 0.10129D-08  1  0  0.00000  270.04  267.99 0.12274D+15  2.194   14.019   13.447    9.103   38.123   11.11   13.51   31.61
   32.52   38.84 0.10031D-08  1  0  0.00000  270.01  267.97 0.12247D+15  2.195   13.881   13.308    9.050   38.068   11.12   13.51   31.94
   32.84   39.23 0.99347D-09  1  0  0.00000  269.98  267.96 0.12220D+15  2.195   13.745   13.173    8.997   38.014   11.13   13.51   32.26
   33.17   39.62 0.98402D-09  1  0  0.00000  269.94  267.95 0.12194D+15  2.195   13.612   13.039    8.945   37.961   11.14   13.51   32.59
   33.49   40.01 0.97477D-09  1  0  0.00000  269.91  267.94 0.12168D+15  2.195   13.481   12.909    8.894   37.908   11.15   13.51   32.91
   33.81   40.40 0.96568D-09  1  0  0.00000  269.88  267.93 0.12142D+15  2.196   13.353   12.781    8.843   37.856   11.17   13.50   33.24
   34.13   40.79 0.95677D-09  1  0  0.00000  269.84  267.92 0.12117D+15  2.196   13.227   12.655    8.793   37.804   11.18   13.50   33.56
   34.45   41.18 0.94803D-09  1  0  0.00000  269.81  267.91 0.12091D+15  2.196   13.104   12.532    8.743   37.753   11.19   13.50   33.89
   34.78   41.57 0.93944D-09  1  0  0.00000  269.78  267.90 0.12066D+15  2.197   12.983   12.411    8.693   37.702   11.20   13.50   34.21
   35.10   41.96 0.93102D-09  1  0  0.00000  269.75  267.88 0.12041D+15  2.197   12.864   12.292    8.645   37.652   11.21   13.50   34.54
   35.42   42.35 0.92275D-09  1  0  0.00000  269.71  267.87 0.12016D+15  2.197   12.747   12.175    8.596   37.602   11.22   13.50   34.86
   35.74   42.74 0.91462D-09  1  0  0.00000  269.68  267.86 0.11992D+15  2.197   12.632   12.060    8.548   37.553   11.23   13.50   35.19
   36.06   43.13 0.90665D-09  1  0  0.00000  269.65  267.85 0.11967D+15  2.198   12.520   11.948    8.501   37.504   11.24   13.50   35.51
   36.39   43.52 0.89881D-09  1  0  0.00000  269.61  267.84 0.11943D+15  2.198   12.409   11.837    8.453   37.456   11.25   13.50   35.84
   36.71   43.91 0.89111D-09  1  0  0.00000  269.58  267.82 0.11919D+15  2.198   12.301   11.729    8.407   37.408   11.26   13.50   36.16
   37.03   44.30 0.88354D-09  1  0  0.00000  269.55  267.81 0.11895D+15  2.199   12.194   11.622    8.360   37.360   11.27   13.50   36.49
   37.35   44.69 0.87611D-09  1  0  0.00000  269.51  267.80 0.11871D+15  2.199   12.089   11.517    8.315   37.313   11.28   13.50   36.81
   37.67   45.08 0.86880D-09  1  0  0.00000  269.48  267.78 0.11848D+15  2.199   11.986   11.414    8.269   37.267   11.29   13.50   37.14
   38.00   45.47 0.86162D-09  1  0  0.00000  269.45  267.77 0.11824D+15  2.200   11.884   11.313    8.224   37.220   11.30   13.50   37.47
   38.32   45.86 0.85456D-09  1  0  0.00000  269.41  267.76 0.11801D+15  2.200   11.785   11.213    8.179   37.175   11.31   13.50   37.79
   38.64   46.25 0.84761D-09  1  0  0.00000  269.38  267.74 0.11778D+15  2.200   11.687   11.115    8.135   37.129   11.32   13.50   38.12
   38.96   46.64 0.84078D-09  1  0  0.00000  269.35  267.73 0.11755D+15  2.200   11.590   11.019    8.091   37.084   11.32   13.51   38.44
   39.28   47.03 0.83406D-09  1  0  0.00000  269.31  267.72 0.11733D+15  2.201   11.495   10.924    8.047   37.039   11.33   13.51   38.77
   39.61   47.42 0.82745D-09  1  0  0.00000  269.28  267.70 0.11710D+15  2.201   11.402   10.831    8.004   36.995   11.34   13.51   39.09
   39.93   47.81 0.82095D-09  1  0  0.00000  269.25  267.69 0.11688D+15  2.201   11.310   10.739    7.961   36.951   11.35   13.51   39.42
   40.25   48.20 0.81455D-09  1  0  0.00000  269.21  267.67 0.11665D+15  2.202   11.220   10.649    7.919   36.908   11.36   13.51   39.74
   40.57   48.59 0.80826D-09  1  0  0.00000  269.18  267.66 0.11643D+15  2.202   11.131   10.560    7.877   36.864   11.37   13.51   40.07
   40.89   48.99 0.80206D-09  1  0  0.00000  269.15  267.65 0.11621D+15  2.202   11.044   10.472    7.835   36.821   11.38   13.51   40.40
   41.22   49.38 0.79596D-09  1  0  0.00000  269.11  267.63 0.11600D+15  2.202   10.957   10.386    7.793   36.779   11.39   13.52   40.72
   41.54   49.77 0.78995D-09  1  0  0.00000  269.08  267.62 0.11578D+15  2.203   10.873   10.302    7.752   36.737   11.39   13.52   41.05
   41.86   50.16 0.78404D-09  1  0  0.00000  269.05  267.60 0.11556D+15  2.203   10.789   10.218    7.711   36.695   11.40   13.52   41.37
   42.18   50.55 0.77822D-09  1  0  0.00000  269.01  267.59 0.11535D+15  2.203   10.707   10.136    7.670   36.653   11.41   13.52   41.70
   42.50   50.94 0.77248D-09  1  0  0.00000  268.98  267.57 0.11514D+15  2.204   10.626   10.055    7.630   36.612   11.42   13.52   42.02
   42.83   51.33 0.76683D-09  1  0  0.00000  268.95  267.56 0.11493D+15  2.204   10.546    9.975    7.590   36.571   11.43   13.53   42.35
   43.15   51.72 0.76127D-09  1  0  0.00000  268.91  267.54 0.11472D+15  2.204   10.468    9.897    7.550   36.531   11.43   13.53   42.68
   43.47   52.11 0.75579D-09  1  0  0.00000  268.88  267.53 0.11451D+15  2.204   10.390    9.820    7.511   36.490   11.44   13.53   43.00
   43.79   52.50 0.75039D-09  1  0  0.00000  268.84  267.51 0.11430D+15  2.205   10.314    9.743    7.472   36.450   11.45   13.53   43.33
   44.11   52.89 0.74506D-09  1  0  0.00000  268.81  267.50 0.11409D+15  2.205   10.239    9.668    7.433   36.411   11.46   13.54   43.65
   44.44   53.28 0.73982D-09  1  0  0.00000  268.78  267.48 0.11389D+15  2.205   10.165    9.594    7.394   36.371   11.47   13.54   43.98
   44.76   53.67 0.73465D-09  1  0  0.00000  268.74  267.46 0.11368D+15  2.206   10.092    9.521    7.356   36.332   11.47   13.54   44.31
   45.08   54.06 0.72955D-09  1  0  0.00000  268.71  267.45 0.11348D+15  2.206   10.020    9.449    7.318   36.293   11.48   13.54   44.63
   45.40   54.45 0.72453D-09  1  0  0.00000  268.67  267.43 0.11328D+15  2.206    9.949    9.378    7.280   36.255   11.49   13.55   44.96
   45.72   54.84 0.71958D-09  1  0  0.00000  268.64  267.42 0.11308D+15  2.207    9.879    9.308    7.243   36.216   11.50   13.55   45.28
   46.05   55.23 0.71470D-09  1  0  0.00000  268.61  267.40 0.11288D+15  2.207    9.810    9.240    7.205   36.178   11.50   13.55   45.61
   46.37   55.62 0.70988D-09  1  0  0.00000  268.57  267.38 0.11268D+15  2.207    9.742    9.172    7.168   36.141   11.51   13.56   45.94
   46.69   56.01 0.70513D-09  1  0  0.00000  268.54  267.37 0.11249D+15  2.207    9.675    9.105    7.131   36.103   11.52   13.56   46.26
