R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
  time_Gyr   Prad    Ptidal    Fcore     Pint     Hint     conv melt P(MPa)   zbot     %vol    Tbot     Tm      Fbot     Ftop     dlid   T_core
 0.10000D-01   1.0375   0.0000    0.746   1.2766 0.90925D-08  0  0    6.02    5.000  0.01145  272.75  269.59   69.184  110.433    5.00   274.38
 0.12270D-01   1.0362   0.0000    1.334   1.3378 0.50321D-08  0  0   11.44    9.495  0.01183  272.30  270.73   25.449   68.829    9.49   276.01
 0.14540D-01   1.0349   0.0000    1.684   1.3965 0.38181D-08  0  0   15.78   13.093  0.01215  271.93  271.43   11.371   56.787   13.09   277.64
 0.16810D-01   1.0336   0.0000    1.899   1.4519 0.34686D-08  0  0   18.08   15.002  0.01232  271.73  271.90    6.036   53.337   15.00   279.27
 0.19080D-01   1.0324   0.0000    2.066   1.5032 0.33830D-08  0  0   19.20   15.935  0.01241  271.64  267.94    3.411   52.432   15.93   280.89
 0.21350D-01   1.0311   0.0000    2.213   1.5495 0.34093D-08  0  0   19.65   16.303  0.01244  271.60  268.34    1.999   52.560   16.30   282.52
 0.23620D-01   1.0298   0.0000    2.347   1.5900 0.34903D-08  0  0   19.69   16.342  0.01245  271.59  268.64    1.260   53.161   16.34   284.14
 0.25890D-01   1.0285   0.0000    2.474   1.6242 0.35965D-08  0  0   19.52   16.199  0.01243  271.61  268.85    0.941   53.965   16.20   285.76
 0.28160D-01   1.0273   0.0000    2.597   1.6514 0.37090D-08  0  0   19.24   15.968  0.01241  271.63  269.00    0.898   54.811   15.97   287.37
 0.30430D-01   1.0260   0.0000    2.715   1.6711 0.38141D-08  0  0   18.93   15.711  0.01239  271.66  269.08    1.039   55.594   15.71   288.99
 0.32700D-01   1.0247   0.0000    2.831   1.6831 0.39013D-08  0  0   18.64   15.467  0.01237  271.69  269.11    1.300   56.240   15.47   290.60
 0.34970D-01   1.0234   0.0000    2.943   1.6870 0.39630D-08  0  0   18.39   15.260  0.01235  271.71  269.09    1.635   56.698   15.26   292.21
 0.37240D-01   1.0222   0.0000    3.054   1.6829 0.39938D-08  0  0   18.20   15.104  0.01233  271.72  269.02    2.012   56.933   15.10   293.82
