R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
     Pint       etaref      pCLA conv P(MPa)   zbot     %vol    Tbot     Tm      TH2O      Fbot     Ftop     dlid   T_core
 0.00000D+00 0.10000D+16   0.0300  1   44.25   37.881  0.02988  268.56  256.88  269.46   13.049   12.424   29.81  1503.19
 0.12500D+11 0.10000D+16   0.0300  1   48.38   41.271  0.03081  268.09  256.76  269.11   13.108   12.832   32.43  1503.15
 0.25000D+11 0.10000D+16   0.0300  1   45.60   38.933  0.03016  268.41  257.41  269.35   13.067   13.239   31.55  1503.22
 0.37500D+11 0.10000D+16   0.0300  1   42.90   36.663  0.02956  268.72  258.02  269.58   13.027   13.647   30.71  1503.29
 0.50000D+11 0.10000D+16   0.0300  1   40.28   34.470  0.02899  269.02  258.60  269.81   12.988   14.054   29.91  1503.35
 0.62500D+11 0.10000D+16   0.0300  1   37.79   32.372  0.02848  269.29  259.15  270.02   12.950   14.459   29.16  1503.41
 0.75000D+11 0.10000D+16   0.0300  0   38.20   31.701  0.02831  269.38  259.52  270.09   12.922   14.851   31.70  1503.46
 0.87500D+11 0.10000D+16   0.0300  0   37.67   31.258  0.02821  269.44  259.85  270.14   12.914   15.259   31.26  1503.51
 0.10000D+12 0.10000D+16   0.0300  0   37.15   30.828  0.02810  269.49  260.17  270.18   12.906   15.667   30.83  1503.56
 0.11250D+12 0.10000D+16   0.0300  0   36.65   30.408  0.02800  269.55  260.49  270.22   12.899   16.076   30.41  1503.61
 0.12500D+12 0.10000D+16   0.0300  0   36.15   30.000  0.02791  269.60  260.80  270.26   12.892   16.484   30.00  1503.65
 0.13750D+12 0.10000D+16   0.0300  0   35.67   29.603  0.02781  269.65  261.10  270.30   12.885   16.892   29.60  1503.69
 0.15000D+12 0.10000D+16   0.0300  0   35.21   29.216  0.02772  269.70  261.40  270.34   12.879   17.300   29.22  1503.73
 0.16250D+12 0.10000D+16   0.0300  0   34.75   28.838  0.02764  269.75  261.69  270.38   12.872   17.708   28.84  1503.77
 0.17500D+12 0.10000D+16   0.0300  0   34.31   28.471  0.02755  269.80  261.97  270.42   12.866   18.116   28.47  1503.80
 0.18750D+12 0.10000D+16   0.0300  0   33.88   28.112  0.02747  269.84  262.25  270.45   12.860   18.524   28.11  1503.84
 0.20000D+12 0.10000D+16   0.0300  0   33.46   27.762  0.02739  269.89  262.52  270.49   12.854   18.932   27.76  1503.87
 0.21250D+12 0.10000D+16   0.0300  0   33.04   27.421  0.02731  269.93  262.79  270.52   12.848   19.340   27.42  1503.89
 0.22500D+12 0.10000D+16   0.0300  0   32.64   27.087  0.02724  269.97  263.05  270.56   12.842   19.748   27.09  1503.92
 0.23750D+12 0.10000D+16   0.0300  0   32.25   26.762  0.02717  270.01  263.31  270.59   12.837   20.157   26.76  1503.95
 0.25000D+12 0.10000D+16   0.0300  0   31.87   26.445  0.02710  270.05  263.56  270.62   12.831   20.565   26.44  1503.97
 0.26250D+12 0.10000D+16   0.0300  0   31.49   26.134  0.02703  270.09  263.80  270.65   12.826   20.973   26.13  1503.99
 0.27500D+12 0.10000D+16   0.0300  0   31.13   25.831  0.02696  270.13  264.05  270.68   12.821   21.381   25.83  1504.01
 0.28750D+12 0.10000D+16   0.0300  0   30.77   25.535  0.02689  270.16  264.28  270.71   12.816   21.789   25.53  1504.03
 0.30000D+12 0.10000D+16   0.0300  0   30.42   25.245  0.02683  270.20  264.52  270.74   12.811   22.197   25.25  1504.05
 0.31250D+12 0.10000D+16   0.0300  0   30.08   24.962  0.02677  270.24  264.75  270.77   12.806   22.605   24.96  1504.06
 0.32500D+12 0.10000D+16   0.0300  0   29.75   24.685  0.02671  270.27  264.97  270.79   12.801   23.014   24.69  1504.08
 0.33750D+12 0.10000D+16   0.0300  0   29.42   24.414  0.02665  270.30  265.20  270.82   12.797   23.422   24.41  1504.09
 0.35000D+12 0.10000D+16   0.0300  0   29.10   24.149  0.02659  270.34  265.41  270.85   12.792   23.830   24.15  1504.11
 0.36250D+12 0.10000D+16   0.0300  0   28.79   23.890  0.02654  270.37  265.63  270.87   12.788   24.238   23.89  1504.12
 0.37500D+12 0.10000D+16   0.0300  0   28.48   23.636  0.02648  270.40  265.84  270.90   12.784   24.646   23.64  1504.13
