R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
     Pint       Hint       etaref      pCLA conv   zbot     %vol    Tbot     Tm      Fbot     Ftop     dlid
 0.31335D-09 0.91250D+12 0.10000D+15   0.0150  1  111.090  0.03891  257.16  260.94    0.000   29.800   12.66
 0.34066D-09 0.92500D+12 0.10000D+15   0.0150  1  103.040  0.03325  259.13  261.99    0.000   30.208   12.55
 0.36221D-09 0.93750D+12 0.10000D+15   0.0150  1   97.888  0.03040  260.24  262.65    0.000   30.617   12.46
 0.43308D-09 0.95000D+12 0.10000D+15   0.0150  1   82.110  0.02399  263.14  264.59    1.570   32.434   12.12
 0.47996D-09 0.96250D+12 0.10000D+15   0.0150  1   74.704  0.02180  264.32  265.47    2.130   33.364   11.93
 0.52277D-09 0.97500D+12 0.10000D+15   0.0150  1   69.230  0.02041  265.14  266.10    2.466   34.093   11.77
 0.56202D-09 0.98750D+12 0.10000D+15   0.0150  1   65.044  0.01946  265.74  266.58    2.663   34.695   11.64
 0.60356D-09 0.10000D+13 0.10000D+15   0.0150  1   61.180  0.01865  266.28  267.00    2.830   35.271   11.52
 0.64371D-09 0.10125D+13 0.10000D+15   0.0150  1   57.960  0.01802  266.71  267.36    2.933   35.785   11.41
 0.68466D-09 0.10250D+13 0.10000D+15   0.0150  1   55.062  0.01749  267.09  267.68    3.006   36.272   11.30
 0.73014D-09 0.10375D+13 0.10000D+15   0.0150  1   52.164  0.01699  267.47  267.99    3.089   36.769   11.20
 0.77603D-09 0.10500D+13 0.10000D+15   0.0150  1   49.588  0.01656  267.80  268.26    3.143   37.237   11.10
 0.82146D-09 0.10625D+13 0.10000D+15   0.0150  1   47.334  0.01621  268.08  268.51    3.166   37.675   11.00
 0.86541D-09 0.10750D+13 0.10000D+15   0.0150  1   45.402  0.01591  268.31  268.72    3.154   38.080   10.91
 0.91987D-09 0.10875D+13 0.10000D+15   0.0150  1   43.148  0.01558  268.59  268.95    3.196   38.537   10.82
 0.97284D-09 0.11000D+13 0.10000D+15   0.0150  1   41.216  0.01531  268.82  269.15    3.203   38.960   10.73
 0.10228D-08 0.11125D+13 0.10000D+15   0.0150  1   39.606  0.01509  269.01  269.32    3.172   39.345   10.65
 0.10770D-08 0.11250D+13 0.10000D+15   0.0150  1   37.996  0.01487  269.20  269.50    3.150   39.738   10.57
 0.11360D-08 0.11375D+13 0.10000D+15   0.0150  1   36.386  0.01466  269.39  269.66    3.136   40.139   10.48
 0.12004D-08 0.11500D+13 0.10000D+15   0.0150  1   34.776  0.01446  269.57  269.82    3.132   40.550   10.40
 0.12591D-08 0.11625D+13 0.10000D+15   0.0150  1   33.488  0.01430  269.72  269.96    3.083   40.916   10.32
 0.13224D-08 0.11750D+13 0.10000D+15   0.0150  1   32.200  0.01414  269.87  270.09    3.041   41.290   10.25
 0.13910D-08 0.11875D+13 0.10000D+15   0.0150  1   30.912  0.01399  270.01  270.22    3.009   41.672   10.17
 0.14656D-08 0.12000D+13 0.10000D+15   0.0150  1   29.624  0.01384  270.16  270.35    2.985   42.062   10.09
 0.15298D-08 0.12125D+13 0.10000D+15   0.0150  1   28.658  0.01373  270.27  270.46    2.907   42.398   10.03
 0.16169D-08 0.12250D+13 0.10000D+15   0.0150  1   27.370  0.01358  270.41  270.57    2.902   42.807    9.95
 0.16921D-08 0.12375D+13 0.10000D+15   0.0150  1   26.404  0.01348  270.52  270.67    2.839   43.158    9.88
 0.17730D-08 0.12500D+13 0.10000D+15   0.0150  1   25.438  0.01337  270.62  270.77    2.784   43.516    9.81
 0.18603D-08 0.12625D+13 0.10000D+15   0.0150  1   24.472  0.01327  270.73  270.87    2.736   43.881    9.74
