R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
  time_Gyr   Prad    Ptidal    Fcore     Pint     Hint     conv melt P(MPa)   zbot     %vol    Tbot     Tm      Fbot     Ftop     dlid   T_core
 0.10000D-01   1.0375   0.0000    0.746   1.5320 0.10911D-07  0  0    6.02    5.000  0.01145  272.75  269.85   64.996  114.611    5.00   274.38
 0.12270D-01   1.0362   0.0000    1.300   1.6053 0.65493D-08  0  0   10.54    8.750  0.01176  272.37  270.93   25.099   77.244    8.75   276.01
 0.14540D-01   1.0349   0.0000    1.638   1.6758 0.50998D-08  0  0   14.16   11.753  0.01203  272.07  271.64   10.714   65.281   11.75   277.64
 0.16810D-01   1.0336   0.0000    1.853   1.7423 0.46945D-08  0  0   16.01   13.287  0.01216  271.91  272.12    5.152   61.964   13.29   279.27
 0.19080D-01   1.0324   0.0000    2.022   1.8038 0.46357D-08  0  0   16.79   13.936  0.01222  271.84  272.49    2.540   61.403   13.94   280.89
 0.21350D-01   1.0311   0.0000    2.170   1.8594 0.47241D-08  0  0   16.99   14.098  0.01224  271.83  268.64    1.247   61.947   14.10   282.52
 0.23620D-01   1.0298   0.0000    2.308   1.9081 0.48811D-08  0  0   16.87   14.002  0.01223  271.84  268.91    0.666   62.966   14.00   284.14
 0.25890D-01   1.0285   0.0000    2.439   1.9491 0.50648D-08  0  0   16.61   13.782  0.01221  271.86  269.09    0.508   64.150   13.78   285.76
 0.28160D-01   1.0273   0.0000    2.566   1.9817 0.52484D-08  0  0   16.29   13.520  0.01219  271.89  269.22    0.609   65.316   13.52   287.37
 0.30430D-01   1.0260   0.0000    2.688   2.0054 0.54128D-08  0  0   15.98   13.264  0.01216  271.91  269.28    0.868   66.344   13.26   288.99
 0.32700D-01   1.0247   0.0000    2.807   2.0197 0.55443D-08  0  0   15.71   13.040  0.01214  271.94  269.30    1.221   67.160   13.04   290.60
 0.34970D-01   1.0234   0.0000    2.923   2.0245 0.56334D-08  0  0   15.50   12.862  0.01213  271.96  269.28    1.625   67.712   12.86   292.21
 0.37240D-01   1.0222   0.0000    3.035   2.0195 0.56743D-08  0  0   15.35   12.737  0.01211  271.97  269.21    2.054   67.973   12.74   293.82
 0.39510D-01   1.0209   0.0000    3.144   2.0050 0.56640D-08  0  0   15.27   12.668  0.01211  271.98  269.11    2.489   67.926   12.67   295.43
 0.41780D-01   1.0196   0.0000    3.250   1.9811 0.56023D-08  0  0   15.25   12.655  0.01211  271.98  268.97    2.921   67.571   12.65   297.03
 0.44050D-01   1.0184   0.0000    3.354   1.9483 0.54911D-08  0  0   15.30   12.698  0.01211  271.97  268.79    3.342   66.913   12.70   298.63
 0.46320D-01   1.0171   0.0000    3.455   1.9071 0.53342D-08  0  0   15.42   12.796  0.01212  271.96  268.58    3.747   65.966   12.80   300.24
 0.48590D-01   1.0159   0.0000    3.554   1.8582 0.51365D-08  0  0   15.60   12.949  0.01213  271.95  268.34    4.133   64.750   12.95   301.83
 0.50860D-01   1.0146   0.0000    3.650   1.8025 0.49044D-08  0  0   15.85   13.157  0.01215  271.92  272.42    4.497   63.288   13.16   303.43
 0.53130D-01   1.0134   0.0000    3.745   1.7408 0.46446D-08  0  0   16.17   13.420  0.01218  271.90  272.12    4.839   61.607   13.42   305.03
 0.55400D-01   1.0121   0.0000    3.837   1.6742 0.43644D-08  0  0   16.55   13.737  0.01221  271.86  271.79    5.155   59.740   13.74   306.62
 0.57670D-01   1.0109   0.0000    3.928   1.6036 0.40709D-08  0  0   17.00   14.110  0.01224  271.83  271.44    5.447   57.719   14.11   308.21
 0.59940D-01   1.0096   0.0000    4.017   1.5301 0.37711D-08  1  0   17.33   14.538  0.01228  271.78  271.06    5.783   55.646    7.78   309.80
 0.62210D-01   1.0084   0.0000    4.110   1.4548 0.34479D-08  1  0   17.99   15.123  0.01233  271.72  270.67    7.127   54.499    7.94   311.39
 0.64480D-01   1.0071   0.0000    4.212   1.3786 0.30830D-08  1  0   19.07   16.037  0.01242  271.63  270.26    8.353   53.204    8.12   312.97
 0.66750D-01   1.0059   0.0000    4.319   1.3026 0.27062D-08  1  0   20.55   17.276  0.01254  271.50  269.84    9.464   51.795    8.33   314.55
 0.69020D-01   1.0046   0.0000    4.429   1.2276 0.23416D-08  1  0   22.41   18.837  0.01269  271.33  269.40   10.468   50.308    8.56   316.13
 0.71290D-01   1.0034   0.0000    4.542   1.1546 0.20053D-08  1  0   24.66   20.712  0.01288  271.13  268.94   11.373   48.779    8.80   317.71
 0.73560D-01   1.0021   0.0000    4.657   1.0842 0.17064D-08  1  0   27.27   22.888  0.01310  270.90  268.44   12.186   47.239    9.07   319.29
 0.75830D-01   1.0009   0.0000    4.774   1.0171 0.14478D-08  1  0   30.22   25.348  0.01336  270.63  267.92   12.913   45.714    9.34   320.87
 0.78100D-01   0.9997   0.0000    4.892   0.9539 0.12284D-08  1  0   33.49   28.067  0.01366  270.33  267.38   13.557   44.227    9.62   322.44
 0.80370D-01   0.9984   0.0000    5.010   0.8950 0.10449D-08  1  0   37.03   31.018  0.01400  270.00  266.81   14.120   42.794    9.90   324.01
 0.82640D-01   0.9972   0.0000    5.128   0.8408 0.89294D-09  1  0   40.81   34.168  0.01438  269.64  266.23   14.603   41.430   10.19   325.58
 0.84910D-01   0.9960   0.0000    5.246   0.7916 0.76791D-09  1  0   44.80   37.484  0.01481  269.26  265.64   15.004   40.142   10.47   327.15
 0.87180D-01   0.9947   0.0000    5.362   0.7474 0.66553D-09  1  0   48.94   40.930  0.01527  268.85  265.04   15.323   38.939   10.74   328.71
 0.89450D-01   0.9935   0.0000    5.476   0.7086 0.58201D-09  1  0   53.20   44.471  0.01578  268.43  264.45   15.558   37.825   11.00   330.28
 0.91720D-01   0.9923   0.0000    5.588   0.6750 0.51412D-09  1  0   57.52   48.071  0.01632  267.98  263.87   15.711   36.802   11.25   331.84
 0.93990D-01   0.9911   0.0000    5.696   0.6468 0.45916D-09  1  0   61.88   51.696  0.01691  267.53  263.30   15.779   35.873   11.48   333.40
 0.96260D-01   0.9898   0.0000    5.802   0.6239 0.41493D-09  1  0   66.23   55.311  0.01754  267.06  262.77   15.762   35.040   11.70   334.96
 0.98530D-01   0.9886   0.0000    5.904   0.6063 0.37964D-09  1  0   70.53   58.884  0.01820  266.59  262.26   15.662   34.303   11.89   336.51
 0.10080D+00   0.9874   0.0000    6.001   0.5940 0.35185D-09  1  0   74.75   62.383  0.01890  266.11  261.80   15.477   33.662   12.05   338.07
 0.10307D+00   0.9862   0.0000    6.094   0.5869 0.33042D-09  1  0   78.84   65.779  0.01962  265.64  261.39   15.207   33.118   12.18   339.62
 0.10534D+00   0.9850   0.0000    6.181   0.5850 0.31446D-09  1  0   82.77   69.042  0.02037  265.17  261.03   14.853   32.672   12.29   341.17
 0.10761D+00   0.9838   0.0000    6.263   0.5883 0.30325D-09  1  0   86.52   72.145  0.02113  264.71  260.73   14.414   32.325   12.36   342.72
 0.10988D+00   0.9826   0.0000    6.337   0.5968 0.29626D-09  1  0   90.04   75.062  0.02190  264.27  260.49   13.891   32.077   12.40   344.26
 0.11215D+00   0.9813   0.0000    6.405   0.6106 0.29306D-09  1  0   93.31   77.767  0.02266  263.84  260.33   13.282   31.931   12.40   345.81
 0.11442D+00   0.9801   0.0000    6.465   0.6296 0.29336D-09  1  0   96.30   80.236  0.02340  263.45  260.25   12.587   31.888   12.37   347.35
