R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
     Pint       Hint       etaref      pCLA conv   zbot     %vol    Tbot     Tm      Fbot     Ftop     dlid
 0.74387D-09 0.98750D+12 0.10000D+16   0.0000  1   48.622  0.00000  268.33  272.00   -7.485   25.223   17.68
 0.75329D-09 0.10000D+13 0.10000D+16   0.0000  1   48.622  0.00000  268.33  272.21   -7.718   25.413   17.55
 0.76270D-09 0.10125D+13 0.10000D+16   0.0000  1   48.622  0.00000  268.33  272.43   -7.950   25.603   17.42
 0.76720D-09 0.10250D+13 0.10000D+16   0.0000  1   48.944  0.00000  268.30  272.67   -8.180   25.799   17.28
 0.77656D-09 0.10375D+13 0.10000D+16   0.0000  1   48.944  0.00000  268.30  272.89   -8.411   25.990   17.15
 0.78591D-09 0.10500D+13 0.10000D+16   0.0000  1   48.944  0.00000  268.30  273.10   -8.642   26.182   17.03
 0.79024D-09 0.10625D+13 0.10000D+16   0.0000  1   49.266  0.00000  268.26  273.34   -8.869   26.381   16.89
 0.79953D-09 0.10750D+13 0.10000D+16   0.0000  1   49.266  0.00000  268.26  273.55   -9.098   26.574   16.77
 0.80883D-09 0.10875D+13 0.10000D+16   0.0000  1   49.266  0.00000  268.26  273.77   -9.327   26.768   16.65
 0.81813D-09 0.11000D+13 0.10000D+16   0.0000  1   49.266  0.00000  268.26  273.98   -9.555   26.962   16.53
 0.82742D-09 0.11125D+13 0.10000D+16   0.0000  1   49.266  0.00000  268.26  274.19   -9.783   27.157   16.41
 0.83146D-09 0.11250D+13 0.10000D+16   0.0000  1   49.588  0.00000  268.23  274.43  -10.006   27.360   16.28
 0.84070D-09 0.11375D+13 0.10000D+16   0.0000  1   49.588  0.00000  268.23  274.64  -10.232   27.556   16.17
 0.84994D-09 0.11500D+13 0.10000D+16   0.0000  1   49.588  0.00000  268.23  274.85  -10.458   27.752   16.05
 0.85918D-09 0.11625D+13 0.10000D+16   0.0000  1   49.588  0.00000  268.23  275.06  -10.684   27.949   15.94
 0.86841D-09 0.11750D+13 0.10000D+16   0.0000  1   49.588  0.00000  268.23  275.27  -10.909   28.146   15.83
 0.87217D-09 0.11875D+13 0.10000D+16   0.0000  1   49.910  0.00000  268.19  275.51  -11.128   28.353   15.71
 0.88135D-09 0.12000D+13 0.10000D+16   0.0000  1   49.910  0.00000  268.19  275.72  -11.352   28.552   15.60
 0.89053D-09 0.12125D+13 0.10000D+16   0.0000  1   49.910  0.00000  268.19  275.92  -11.575   28.750   15.49
 0.89971D-09 0.12250D+13 0.10000D+16   0.0000  1   49.910  0.00000  268.19  276.13  -11.799   28.949   15.38
 0.90890D-09 0.12375D+13 0.10000D+16   0.0000  1   49.910  0.00000  268.19  276.34  -12.021   29.149   15.28
 0.91808D-09 0.12500D+13 0.10000D+16   0.0000  1   49.910  0.00000  268.19  276.54  -12.244   29.349   15.17
 0.92726D-09 0.12625D+13 0.10000D+16   0.0000  1   49.910  0.00000  268.19  276.75  -12.466   29.549   15.07
 0.93063D-09 0.12750D+13 0.10000D+16   0.0000  1   50.232  0.00000  268.16  276.98  -12.679   29.762   14.96
 0.93975D-09 0.12875D+13 0.10000D+16   0.0000  1   50.232  0.00000  268.16  277.19  -12.900   29.963   14.85
 0.94888D-09 0.13000D+13 0.10000D+16   0.0000  1   50.232  0.00000  268.16  277.39  -13.121   30.165   14.76
 0.95800D-09 0.13125D+13 0.10000D+16   0.0000  1   50.232  0.00000  268.16  277.59  -13.341   30.367   14.66
 0.96712D-09 0.13250D+13 0.10000D+16   0.0000  1   50.232  0.00000  268.16  277.80  -13.560   30.570   14.56
 0.97625D-09 0.13375D+13 0.10000D+16   0.0000  1   50.232  0.00000  268.16  278.00  -13.780   30.772   14.46
 0.98537D-09 0.13500D+13 0.10000D+16   0.0000  1   50.232  0.00000  268.16  278.20  -13.999   30.975   14.37
 0.99450D-09 0.13625D+13 0.10000D+16   0.0000  1   50.232  0.00000  268.16  278.40  -14.218   31.179   14.28
 0.10036D-08 0.13750D+13 0.10000D+16   0.0000  1   50.232  0.00000  268.16  278.60  -14.436   31.382   14.18
 0.10127D-08 0.13875D+13 0.10000D+16   0.0000  1   50.232  0.00000  268.16  278.80  -14.654   31.587   14.09
 0.10219D-08 0.14000D+13 0.10000D+16   0.0000  1   50.232  0.00000  268.16  279.00  -14.871   31.791   14.00
 0.10310D-08 0.14125D+13 0.10000D+16   0.0000  1   50.232  0.00000  268.16  279.19  -15.089   31.996   13.91
 0.10401D-08 0.14250D+13 0.10000D+16   0.0000  1   50.232  0.00000  268.16  279.39  -15.306   32.201   13.82
 0.10428D-08 0.14375D+13 0.10000D+16   0.0000  1   50.554  0.00000  268.13  279.62  -15.509   32.424   13.72
 0.10518D-08 0.14500D+13 0.10000D+16   0.0000  1   50.554  0.00000  268.13  279.82  -15.725   32.630   13.64
 0.10609D-08 0.14625D+13 0.10000D+16   0.0000  1   50.554  0.00000  268.13  280.01  -15.941   32.837   13.55
 0.10700D-08 0.14750D+13 0.10000D+16   0.0000  1   50.554  0.00000  268.13  280.21  -16.156   33.043   13.46
 0.10790D-08 0.14875D+13 0.10000D+16   0.0000  1   50.554  0.00000  268.13  280.40  -16.371   33.250   13.38
 0.10881D-08 0.15000D+13 0.10000D+16   0.0000  1   50.554  0.00000  268.13  280.59  -16.586   33.458   13.30
 0.10972D-08 0.15125D+13 0.10000D+16   0.0000  1   50.554  0.00000  268.13  280.78  -16.800   33.665   13.22
 0.11062D-08 0.15250D+13 0.10000D+16   0.0000  1   50.554  0.00000  268.13  280.98  -17.014   33.873   13.13
 0.11153D-08 0.15375D+13 0.10000D+16   0.0000  1   50.554  0.00000  268.13  281.17  -17.227   34.082   13.05
 0.11244D-08 0.15500D+13 0.10000D+16   0.0000  1   50.554  0.00000  268.13  281.36  -17.441   34.290   12.98
 0.11334D-08 0.15625D+13 0.10000D+16   0.0000  1   50.554  0.00000  268.13  281.55  -17.654   34.499   12.90
 0.11425D-08 0.15750D+13 0.10000D+16   0.0000  1   50.554  0.00000  268.13  281.74  -17.866   34.708   12.82
 0.11516D-08 0.15875D+13 0.10000D+16   0.0000  1   50.554  0.00000  268.13  281.93  -18.079   34.917   12.74
 0.11607D-08 0.16000D+13 0.10000D+16   0.0000  1   50.554  0.00000  268.13  282.12  -18.291   35.127   12.67
 0.11697D-08 0.16125D+13 0.10000D+16   0.0000  1   50.554  0.00000  268.13  282.30  -18.502   35.337   12.59
 0.11788D-08 0.16250D+13 0.10000D+16   0.0000  1   50.554  0.00000  268.13  282.49  -18.714   35.547   12.52
 0.11879D-08 0.16375D+13 0.10000D+16   0.0000  1   50.554  0.00000  268.13  282.68  -18.925   35.758   12.44
 0.11969D-08 0.16500D+13 0.10000D+16   0.0000  1   50.554  0.00000  268.13  282.86  -19.136   35.969   12.37
 0.12060D-08 0.16625D+13 0.10000D+16   0.0000  1   50.554  0.00000  268.13  283.05  -19.346   36.180   12.30
 0.12151D-08 0.16750D+13 0.10000D+16   0.0000  1   50.554  0.00000  268.13  283.23  -19.556   36.391   12.23
 0.12241D-08 0.16875D+13 0.10000D+16   0.0000  1   50.554  0.00000  268.13  283.42  -19.766   36.603   12.16
 0.12408D-08 0.17000D+13 0.10000D+16   0.0000  1   50.232  0.00000  268.16  283.56  -19.996   36.788   12.10
 0.12500D-08 0.17125D+13 0.10000D+16   0.0000  1   50.232  0.00000  268.16  283.74  -20.205   37.000   12.03
 0.12591D-08 0.17250D+13 0.10000D+16   0.0000  1   50.232  0.00000  268.16  283.92  -20.415   37.212   11.96
 0.12682D-08 0.17375D+13 0.10000D+16   0.0000  1   50.232  0.00000  268.16  284.11  -20.624   37.425   11.89
 0.12773D-08 0.17500D+13 0.10000D+16   0.0000  1   50.232  0.00000  268.16  284.29  -20.833   37.637   11.83
 0.12865D-08 0.17625D+13 0.10000D+16   0.0000  1   50.232  0.00000  268.16  284.47  -21.041   37.850   11.76
 0.12956D-08 0.17750D+13 0.10000D+16   0.0000  1   50.232  0.00000  268.16  284.65  -21.250   38.063   11.69
 0.13047D-08 0.17875D+13 0.10000D+16   0.0000  1   50.232  0.00000  268.16  284.82  -21.458   38.277   11.63
