R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  rho_core =  3300.00  k_core =    3.96
 Radius (km) and temperature (K) at    0.010   0.160   0.312   0.464   0.616   0.768   0.920   1.072   1.224   1.377   1.529   1.681   1.833   1.985   2.137   2.289   2.441   2.593   2.745   2.897   3.050   3.202   3.354   3.506   3.658   3.810   3.962   4.114   4.266   4.418   4.550
     0.00   274.38     0.00   377.81     0.00   474.57     0.00   563.78     0.00   646.10     0.00   722.14     0.00   792.45     0.00   857.51     0.00   917.78     0.00   973.66     0.00  1025.52     0.00  1073.67     0.00  1118.39     0.00  1159.93     0.00  1198.49     0.00  1234.24     0.00  1267.35     0.00  1297.92     0.00  1326.08     0.00  1351.92     0.00  1375.53     0.00  1396.98     0.00  1416.35     0.00  1433.71     0.00  1449.14     0.00  1462.70     0.00  1474.46     0.00  1484.50     0.00  1492.88     0.00  1499.68     0.00  1504.34
     1.00   274.38     1.00   377.81     1.00   474.57     1.00   563.78     1.00   646.10     1.00   722.14     1.00   792.45     1.00   857.51     1.00   917.78     1.00   973.66     1.00  1025.52     1.00  1073.67     1.00  1118.39     1.00  1159.93     1.00  1198.49     1.00  1234.24     1.00  1267.35     1.00  1297.92     1.00  1326.08     1.00  1351.92     1.00  1375.53     1.00  1396.98     1.00  1416.35     1.00  1433.71     1.00  1449.14     1.00  1462.70     1.00  1474.46     1.00  1484.50     1.00  1492.88     1.00  1499.68     1.00  1504.34
     3.00   274.38     3.00   377.81     3.00   474.57     3.00   563.78     3.00   646.10     3.00   722.14     3.00   792.45     3.00   857.51     3.00   917.78     3.00   973.66     3.00  1025.52     3.00  1073.67     3.00  1118.39     3.00  1159.93     3.00  1198.49     3.00  1234.24     3.00  1267.35     3.00  1297.92     3.00  1326.08     3.00  1351.92     3.00  1375.53     3.00  1396.98     3.00  1416.35     3.00  1433.71     3.00  1449.14     3.00  1462.70     3.00  1474.46     3.00  1484.50     3.00  1492.88     3.00  1499.68     3.00  1504.34
     5.00   274.38     5.00   377.81     5.00   474.57     5.00   563.78     5.00   646.10     5.00   722.14     5.00   792.45     5.00   857.51     5.00   917.78     5.00   973.66     5.00  1025.52     5.00  1073.67     5.00  1118.39     5.00  1159.93     5.00  1198.49     5.00  1234.24     5.00  1267.35     5.00  1297.92     5.00  1326.08     5.00  1351.92     5.00  1375.53     5.00  1396.98     5.00  1416.35     5.00  1433.71     5.00  1449.14     5.00  1462.69     5.00  1474.46     5.00  1484.49     5.00  1492.87     5.00  1499.67     5.00  1504.34
     7.00   274.38     7.00   377.81     7.00   474.57     7.00   563.78     7.00   646.10     7.00   722.14     7.00   792.45     7.00   857.51     7.00   917.78     7.00   973.66     7.00  1025.52     7.00  1073.67     7.00  1118.39     7.00  1159.93     7.00  1198.49     7.00  1234.24     7.00  1267.34     7.00  1297.92     7.00  1326.08     7.00  1351.92     7.00  1375.53     7.00  1396.97     7.00  1416.34     7.00  1433.71     7.00  1449.13     7.00  1462.69     7.00  1474.45     7.00  1484.49     7.00  1492.87     7.00  1499.67     7.00  1504.33
     8.99   274.38     8.99   377.81     8.99   474.57     8.99   563.78     8.99   646.10     8.99   722.14     8.99   792.45     8.99   857.51     8.99   917.78     8.99   973.66     8.99  1025.52     8.99  1073.67     8.99  1118.39     8.99  1159.93     8.99  1198.48     8.99  1234.24     8.99  1267.34     8.99  1297.92     8.99  1326.08     8.99  1351.92     8.99  1375.52     8.99  1396.97     8.99  1416.34     8.99  1433.70     8.99  1449.13     8.99  1462.68     8.99  1474.44     8.99  1484.48     8.99  1492.86     8.99  1499.66     8.99  1504.32
    10.99   274.38    10.99   377.81    10.99   474.57    10.99   563.78    10.99   646.10    10.99   722.14    10.99   792.45    10.99   857.51    10.99   917.78    10.99   973.66    10.99  1025.52    10.99  1073.67    10.99  1118.39    10.99  1159.93    10.99  1198.48    10.99  1234.24    10.99  1267.34    10.99  1297.92    10.99  1326.08    10.99  1351.91    10.99  1375.52    10.99  1396.97    10.99  1416.33    10.99  1433.69    10.99  1449.12    10.99  1462.67    10.99  1474.43    10.99  1484.47    10.99  1492.85    10.99  1499.64    10.99  1504.31
    12.99   274.38    12.99   377.81    12.99   474.57    12.99   563.78    12.99   646.10    12.99   722.14    12.99   792.45    12.99   857.51    12.99   917.78    12.99   973.66    12.99  1025.52    12.99  1073.67    12.99  1118.39    12.99  1159.92    12.99  1198.48    12.99  1234.24    12.99  1267.34    12.99  1297.92    12.99  1326.07    12.99  1351.91    12.99  1375.51    12.99  1396.96    12.99  1416.33    12.99  1433.69    12.99  1449.11    12.99  1462.66    12.99  1474.42    12.99  1484.46    12.99  1492.83    12.99  1499.63    12.99  1504.29
    14.99   274.38    14.99   377.81    14.99   474.57    14.99   563.78    14.99   646.10    14.99   722.14    14.99   792.45    14.99   857.51    14.99   917.78    14.99   973.66    14.99  1025.52    14.99  1073.67    14.99  1118.39    14.99  1159.92    14.99  1198.48    14.99  1234.24    14.99  1267.34    14.99  1297.91    14.99  1326.07    14.99  1351.91    14.99  1375.51    14.99  1396.95    14.99  1416.32    14.99  1433.68    14.99  1449.10    14.99  1462.65    14.99  1474.41    14.99  1484.44    14.99  1492.82    14.99  1499.61    14.99  1504.27
    16.99   274.38    16.99   377.81    16.99   474.57    16.99   563.78    16.99   646.10    16.99   722.14    16.99   792.45    16.99   857.51    16.99   917.78    16.99   973.66    16.99  1025.52    16.99  1073.67    16.99  1118.39    16.99  1159.92    16.99  1198.48    16.99  1234.24    16.99  1267.34    16.99  1297.91    16.99  1326.07    16.99  1351.90    16.99  1375.50    16.99  1396.95    16.99  1416.31    16.99  1433.67    16.99  1449.09    16.99  1462.64    16.99  1474.39    16.99  1484.42    16.99  1492.80    16.99  1499.59    16.99  1504.25
