R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
     Pint       etaref      pCLA   dlid_avg dlid_min dlid_max
 0.30000D+11 0.31623D+14   0.0150   39.803   38.271   41.382
 0.30000D+11 0.35481D+14   0.0150   40.011   38.475   41.595
 0.30000D+11 0.39811D+14   0.0150   40.221   38.680   41.810
 0.30000D+11 0.44668D+14   0.0150   40.433   38.888   42.027
 0.30000D+11 0.50119D+14   0.0150   40.646   39.097   42.244
 0.30000D+11 0.56234D+14   0.0150   40.860   39.309   42.463
 0.30000D+11 0.63096D+14   0.0150   41.077   39.523   42.684
 0.30000D+11 0.70795D+14   0.0150   41.295   39.738   42.906
 0.30000D+11 0.79433D+14   0.0150   41.515   39.956   43.130
 0.30000D+11 0.89125D+14   0.0150   41.737   40.177   43.355
 0.30000D+11 0.10000D+15   0.0150   41.961   40.399   43.582
 0.30000D+11 0.11220D+15   0.0150   42.188   40.625   43.810
 0.30000D+11 0.12589D+15   0.0150   42.416   40.853   44.040
 0.30000D+11 0.14125D+15   0.0150   42.646   41.084   44.271
 0.30000D+11 0.15849D+15   0.0150   42.879   41.318   44.504
 0.30000D+11 0.17783D+15   0.0150   43.115   41.555   44.739
 0.30000D+11 0.19953D+15   0.0150   43.353   41.795   44.976
 0.30000D+11 0.22387D+15   0.0150   43.593   42.039   45.215
 0.30000D+11 0.25119D+15   0.0150   43.837   42.287   45.456
 0.30000D+11 0.28184D+15   0.0150   44.084   42.538   45.700
 0.30000D+11 0.31623D+15   0.0150   44.334   42.794   45.945
 0.30000D+11 0.35481D+15   0.0150   44.587   43.053   46.193
 0.30000D+11 0.39811D+15   0.0150   44.845   43.318   46.444
 0.30000D+11 0.44668D+15   0.0150   45.106   43.587   46.698
 0.30000D+11 0.50119D+15   0.0150   45.372   43.860   46.955
 0.30000D+11 0.56234D+15   0.0150   45.642   44.139   47.217
 0.30000D+11 0.63096D+15   0.0150   45.918   44.423   47.483
 0.30000D+11 0.70795D+15   0.0150   46.200   44.713   47.754
 0.30000D+11 0.79433D+15   0.0150   46.488   45.009   48.031
 0.30000D+11 0.89125D+15   0.0150   46.783   45.312   48.314
 0.30000D+11 0.10000D+16   0.0150   47.086   45.623   48.606
 0.45000D+11 0.10000D+14   0.0150   35.715   34.077   37.415
 0.45000D+11 0.11220D+14   0.0150   35.899   34.255   37.606
 0.45000D+11 0.12589D+14   0.0150   36.084   34.434   37.797
 0.45000D+11 0.14125D+14   0.0150   36.271   34.615   37.990
 0.45000D+11 0.15849D+14   0.0150   36.458   34.797   38.184
 0.45000D+11 0.17783D+14   0.0150   36.647   34.981   38.379
 0.45000D+11 0.19953D+14   0.0150   36.837   35.165   38.575
 0.45000D+11 0.22387D+14   0.0150   37.029   35.352   38.772
 0.45000D+11 0.25119D+14   0.0150   37.222   35.540   38.971
 0.45000D+11 0.28184D+14   0.0150   37.416   35.729   39.170
 0.45000D+11 0.31623D+14   0.0150   37.611   35.921   39.371
 0.45000D+11 0.35481D+14   0.0150   37.809   36.113   39.573
