R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
     Pint       Hint       etaref      pCLA conv   zbot     %vol    Tbot     Tm      Fbot     Ftop     dlid
 0.70000D+12 0.20193D-09 0.32000D+13   0.0300  1  134.274  0.15381  230.92  233.71    0.000   22.860   12.91
 0.71250D+12 0.20553D-09 0.32000D+13   0.0300  1  134.274  0.15381  230.92  233.95   -0.000   23.269   12.76
 0.72500D+12 0.20960D-09 0.32000D+13   0.0300  1  133.952  0.15184  231.47  234.47    0.000   23.677   12.51
 0.73750D+12 0.21368D-09 0.32000D+13   0.0300  1  133.630  0.14992  232.00  234.98   -0.000   24.085   12.27
 0.75000D+12 0.21730D-09 0.32000D+13   0.0300  1  133.630  0.14992  232.00  235.22    0.000   24.493   12.13
 0.76250D+12 0.22141D-09 0.32000D+13   0.0300  1  133.308  0.14805  232.53  235.71   -0.000   24.901   11.91
 0.77500D+12 0.22554D-09 0.32000D+13   0.0300  1  132.986  0.14622  233.03  236.20   -0.000   25.310   11.69
 0.78750D+12 0.22917D-09 0.32000D+13   0.0300  1  132.986  0.14622  233.03  236.42   -0.000   25.718   11.57
 0.80000D+12 0.23333D-09 0.32000D+13   0.0300  1  132.664  0.14444  233.53  236.89   -0.000   26.126   11.37
 0.81250D+12 0.23750D-09 0.32000D+13   0.0300  1  132.342  0.14270  234.01  237.35   -0.000   26.534   11.17
 0.82500D+12 0.24115D-09 0.32000D+13   0.0300  1  132.342  0.14270  234.01  237.57    0.000   26.943   11.06
 0.83750D+12 0.24535D-09 0.32000D+13   0.0300  1  132.020  0.14100  234.48  238.02    0.000   27.351   10.88
 0.85000D+12 0.24957D-09 0.32000D+13   0.0300  1  131.698  0.13934  234.94  238.47    0.000   27.759   10.70
 0.86250D+12 0.25324D-09 0.32000D+13   0.0300  1  131.698  0.13934  234.94  238.68   -0.000   28.167   10.59
 0.87500D+12 0.25748D-09 0.32000D+13   0.0300  1  131.376  0.13772  235.39  239.11   -0.000   28.575   10.43
 0.88750D+12 0.26175D-09 0.32000D+13   0.0300  1  131.054  0.13613  235.82  239.53   -0.000   28.984   10.27
 0.90000D+12 0.26544D-09 0.32000D+13   0.0300  1  131.054  0.13613  235.82  239.74    0.000   29.392   10.17
 0.91250D+12 0.26973D-09 0.32000D+13   0.0300  1  130.732  0.13458  236.25  240.15    0.000   29.800   10.02
 0.92500D+12 0.27404D-09 0.32000D+13   0.0300  1  130.410  0.13306  236.66  240.56   -0.000   30.208    9.87
 0.93750D+12 0.27837D-09 0.32000D+13   0.0300  1  130.088  0.13158  237.07  240.96   -0.000   30.617    9.73
 0.95000D+12 0.28208D-09 0.32000D+13   0.0300  1  130.088  0.13158  237.07  241.16    0.000   31.025    9.64
 0.96250D+12 0.28644D-09 0.32000D+13   0.0300  1  129.766  0.13013  237.47  241.55   -0.000   31.433    9.51
 0.97500D+12 0.29082D-09 0.32000D+13   0.0300  1  129.444  0.12871  237.85  241.93   -0.000   31.841    9.38
 0.98750D+12 0.29455D-09 0.32000D+13   0.0300  1  129.444  0.12871  237.85  242.12    0.000   32.249    9.30
 0.10000D+13 0.29896D-09 0.32000D+13   0.0300  1  129.122  0.12731  238.23  242.50   -0.000   32.658    9.17
 0.10125D+13 0.30339D-09 0.32000D+13   0.0300  1  128.800  0.12595  238.60  242.87   -0.000   33.066    9.05
 0.10250D+13 0.30784D-09 0.32000D+13   0.0300  1  128.478  0.12462  238.97  243.23   -0.000   33.474    8.94
 0.10375D+13 0.31159D-09 0.32000D+13   0.0300  1  128.478  0.12462  238.97  243.42   -0.000   33.882    8.86
 0.10500D+13 0.31607D-09 0.32000D+13   0.0300  1  128.156  0.12331  239.32  243.78    0.000   34.290    8.75
 0.10625D+13 0.32057D-09 0.32000D+13   0.0300  1  127.834  0.12204  239.67  244.13   -0.000   34.699    8.65
 0.10750D+13 0.32510D-09 0.32000D+13   0.0300  1  127.512  0.12078  240.01  244.47   -0.000   35.107    8.54
 0.10875D+13 0.32888D-09 0.32000D+13   0.0300  1  127.512  0.12078  240.01  244.65    0.000   35.515    8.47
 0.11000D+13 0.33343D-09 0.32000D+13   0.0300  1  127.190  0.11955  240.34  244.99    0.000   35.923    8.37
 0.11125D+13 0.33800D-09 0.32000D+13   0.0300  1  126.868  0.11835  240.67  245.33   -0.000   36.332    8.28
 0.11250D+13 0.34260D-09 0.32000D+13   0.0300  1  126.546  0.11717  240.99  245.66    0.000   36.740    8.18
 0.11375D+13 0.34640D-09 0.32000D+13   0.0300  1  126.546  0.11717  240.99  245.83   -0.000   37.148    8.12
 0.11500D+13 0.35103D-09 0.32000D+13   0.0300  1  126.224  0.11601  241.30  246.15    0.000   37.556    8.03
 0.11625D+13 0.35568D-09 0.32000D+13   0.0300  1  125.902  0.11487  241.61  246.47    0.000   37.964    7.94
 0.11750D+13 0.36035D-09 0.32000D+13   0.0300  1  125.580  0.11376  241.91  246.79    0.000   38.373    7.86
 0.11875D+13 0.36504D-09 0.32000D+13   0.0300  1  125.258  0.11267  242.21  247.10   -0.000   38.781    7.78
 0.12000D+13 0.36888D-09 0.32000D+13   0.0300  1  125.258  0.11267  242.21  247.27   -0.000   39.189    7.72
 0.12125D+13 0.37361D-09 0.32000D+13   0.0300  1  124.936  0.11159  242.50  247.57    0.000   39.597    7.64
 0.12250D+13 0.37835D-09 0.32000D+13   0.0300  1  124.614  0.11054  242.78  247.87    0.000   40.006    7.56
 0.12375D+13 0.38312D-09 0.32000D+13   0.0300  1  124.292  0.10951  243.06  248.17   -0.000   40.414    7.49
 0.12500D+13 0.38791D-09 0.32000D+13   0.0300  1  123.970  0.10849  243.34  248.46    0.000   40.822    7.41
 0.12625D+13 0.39273D-09 0.32000D+13   0.0300  1  123.648  0.10749  243.61  248.75    0.000   41.230    7.34
 0.12750D+13 0.39662D-09 0.32000D+13   0.0300  1  123.648  0.10749  243.61  248.91    0.000   41.638    7.29
 0.12875D+13 0.40147D-09 0.32000D+13   0.0300  1  123.326  0.10651  243.87  249.19    0.000   42.047    7.22
 0.13000D+13 0.40634D-09 0.32000D+13   0.0300  1  123.004  0.10555  244.13  249.47    0.000   42.455    7.15
 0.13125D+13 0.41124D-09 0.32000D+13   0.0300  1  122.682  0.10461  244.39  249.75    0.000   42.863    7.09
 0.13250D+13 0.41616D-09 0.32000D+13   0.0300  1  122.360  0.10368  244.64  250.02    0.000   43.271    7.02
 0.13375D+13 0.42110D-09 0.32000D+13   0.0300  1  122.038  0.10276  244.89  250.30    0.000   43.680    6.96
 0.13500D+13 0.42607D-09 0.32000D+13   0.0300  1  121.716  0.10187  245.13  250.56   -0.000   44.088    6.90
 0.13625D+13 0.43107D-09 0.32000D+13   0.0300  1  121.394  0.10098  245.37  250.83    0.000   44.496    6.84
 0.13750D+13 0.43609D-09 0.32000D+13   0.0300  1  121.072  0.10012  245.60  251.09    0.000   44.904    6.78
 0.13875D+13 0.44005D-09 0.32000D+13   0.0300  1  121.072  0.10012  245.60  251.24   -0.000   45.312    6.74
 0.14000D+13 0.44511D-09 0.32000D+13   0.0300  1  120.750  0.09926  245.84  251.50   -0.000   45.721    6.68
 0.14125D+13 0.45019D-09 0.32000D+13   0.0300  1  120.428  0.09842  246.06  251.75   -0.000   46.129    6.62
 0.14250D+13 0.45529D-09 0.32000D+13   0.0300  1  120.106  0.09760  246.29  252.00   -0.000   46.537    6.57
 0.14375D+13 0.46042D-09 0.32000D+13   0.0300  1  119.784  0.09679  246.51  252.25   -0.000   46.945    6.52
 0.14500D+13 0.46558D-09 0.32000D+13   0.0300  1  119.462  0.09599  246.73  252.50   -0.000   47.354    6.47
 0.14625D+13 0.47076D-09 0.32000D+13   0.0300  1  119.140  0.09520  246.94  252.74    0.000   47.762    6.41
 0.14750D+13 0.47597D-09 0.32000D+13   0.0300  1  118.818  0.09443  247.15  252.98    0.000   48.170    6.36
 0.14875D+13 0.48121D-09 0.32000D+13   0.0300  1  118.496  0.09367  247.36  253.22   -0.000   48.578    6.32
 0.15000D+13 0.48647D-09 0.32000D+13   0.0300  1  118.174  0.09292  247.56  253.45   -0.000   48.986    6.27
 0.15125D+13 0.49176D-09 0.32000D+13   0.0300  1  117.852  0.09218  247.77  253.69    0.000   49.395    6.22
 0.15250D+13 0.49708D-09 0.32000D+13   0.0300  1  117.530  0.09145  247.96  253.92   -0.000   49.803    6.17
