R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
   zbot    P(MPa) Hint     conv melt pCLA   Tbot     Tm     etam        k   Fcond_bot Fcond_top   Fbot     Ftop    dlid z_topTBL z_botTBL
    0.00   -0.00 0.11024D-05  0  0  0.00367  273.21  261.55 0.32290D+15  2.167    0.000    0.000    0.000    0.000    0.00    0.00    0.00
    0.32    0.39 0.11026D-06  0  0  0.00368  273.18  265.31 0.21773D+15  2.167 1398.674 1398.097 1382.340 1414.428    0.32    0.32    0.32
    0.64    0.77 0.55143D-07  0  0  0.00369  273.15  265.92 0.20397D+15  2.168  699.359  698.782  683.021  715.115    0.64    0.64    0.64
    0.97    1.16 0.36770D-07  0  0  0.00370  273.12  266.31 0.19550D+15  2.168  466.254  465.677  449.912  482.013    0.97    0.97    0.97
    1.29    1.55 0.27583D-07  0  0  0.00371  273.09  266.60 0.18931D+15  2.168  349.701  349.125  333.355  365.462    1.29    1.29    1.29
    1.61    1.94 0.22071D-07  0  0  0.00372  273.06  266.83 0.18441D+15  2.168  279.770  279.193  263.419  295.533    1.61    1.61    1.61
    1.93    2.33 0.18396D-07  0  0  0.00372  273.03  267.02 0.18036D+15  2.169  233.149  232.572  216.793  248.914    1.93    1.93    1.93
    2.25    2.71 0.15771D-07  0  0  0.00373  273.00  267.18 0.17690D+15  2.169  199.848  199.271  183.488  215.616    2.25    2.25    2.25
    2.58    3.10 0.13803D-07  0  0  0.00374  272.97  267.32 0.17387D+15  2.169  174.872  174.296  158.508  190.642    2.58    2.58    2.58
    2.90    3.49 0.12272D-07  0  0  0.00375  272.94  267.45 0.17119D+15  2.169  155.447  154.870  139.078  171.219    2.90    2.90    2.90
    3.22    3.88 0.11047D-07  0  0  0.00376  272.91  267.56 0.16877D+15  2.170  139.906  139.330  123.533  155.681    3.22    3.22    3.22
    3.54    4.27 0.10045D-07  0  0  0.00377  272.88  267.66 0.16657D+15  2.170  127.191  126.615  110.813  142.968    3.54    3.54    3.54
    3.86    4.65 0.92095D-08  0  0  0.00378  272.85  267.76 0.16455D+15  2.170  116.596  116.019  100.213  132.375    3.86    3.86    3.86
    4.19    5.04 0.85028D-08  0  0  0.00378  272.82  267.84 0.16269D+15  2.170  107.630  107.053   91.243  123.412    4.19    4.19    4.19
    4.51    5.43 0.78971D-08  0  0  0.00379  272.79  267.92 0.16096D+15  2.171   99.945   99.369   83.553  115.729    4.51    4.51    4.51
    4.83    5.82 0.73721D-08  0  0  0.00380  272.76  267.99 0.15935D+15  2.171   93.285   92.708   76.888  109.071    4.83    4.83    4.83
    5.15    6.21 0.69128D-08  0  0  0.00381  272.73  268.05 0.15783D+15  2.171   87.457   86.881   71.056  103.245    5.15    5.15    5.15
    5.47    6.59 0.65075D-08  0  0  0.00382  272.70  268.12 0.15640D+15  2.172   82.315   81.739   65.909   98.106    5.47    5.47    5.47
    5.80    6.98 0.61473D-08  0  0  0.00383  272.67  268.17 0.15505D+15  2.172   77.744   77.168   61.334   93.537    5.80    5.80    5.80
    6.12    7.37 0.58249D-08  0  0  0.00384  272.64  268.23 0.15377D+15  2.172   73.654   73.078   57.240   89.450    6.12    6.12    6.12
    6.44    7.76 0.55348D-08  0  0  0.00385  272.60  268.28 0.15256D+15  2.172   69.974   69.398   53.555   85.771    6.44    6.44    6.44
    6.76    8.15 0.52723D-08  0  0  0.00385  272.57  268.32 0.15140D+15  2.173   66.644   66.067   50.220   82.443    6.76    6.76    6.76
    7.08    8.54 0.50337D-08  0  0  0.00386  272.54  268.37 0.15029D+15  2.173   63.616   63.040   47.188   79.418    7.08    7.08    7.08
    7.41    8.92 0.48159D-08  0  0  0.00387  272.51  268.41 0.14923D+15  2.173   60.852   60.276   44.419   76.656    7.41    7.41    7.41
    7.73    9.31 0.46162D-08  0  0  0.00388  272.48  268.45 0.14821D+15  2.173   58.318   57.742   41.881   74.125    7.73    7.73    7.73
    8.05    9.70 0.44324D-08  0  1  0.00389  272.45  268.48 0.14724D+15  2.174   55.987   55.411   39.545   71.796    8.05    8.05    8.05
    8.37   10.09 0.42628D-08  0  1  0.00390  272.42  268.52 0.14630D+15  2.174   53.835   53.259   37.389   69.646    8.37    8.37    8.37
    8.69   10.48 0.41058D-08  0  1  0.00391  272.39  268.55 0.14539D+15  2.174   51.842   51.267   35.392   67.656    8.69    8.69    8.69
    9.02   10.86 0.39600D-08  0  1  0.00392  272.36  268.58 0.14452D+15  2.174   49.992   49.416   33.537   65.808    9.02    9.02    9.02
    9.34   11.25 0.38242D-08  0  1  0.00393  272.33  268.61 0.14367D+15  2.175   48.270   47.694   31.810   64.088    9.34    9.34    9.34
    9.66   11.64 0.36975D-08  0  1  0.00394  272.29  268.64 0.14286D+15  2.175   46.662   46.086   30.198   62.483    9.66    9.66    9.66
    9.98   12.03 0.35790D-08  0  1  0.00395  272.26  268.66 0.14207D+15  2.175   45.158   44.582   28.689   60.981    9.98    9.98    9.98
   10.30   12.42 0.34679D-08  0  1  0.00395  272.23  268.69 0.14130D+15  2.175   43.748   43.172   27.274   59.573   10.30   10.30   10.30
   10.63   12.80 0.33635D-08  0  1  0.00396  272.20  268.71 0.14055D+15  2.176   42.423   41.848   25.945   58.251   10.63   10.63   10.63
   10.95   13.19 0.32652D-08  0  1  0.00397  272.17  268.73 0.13983D+15  2.176   41.177   40.601   24.694   57.007   10.95   10.95   10.95
   11.27   13.58 0.31726D-08  0  1  0.00398  272.14  268.75 0.13913D+15  2.176   40.001   39.426   23.514   55.833   11.27   11.27   11.27
   11.59   13.97 0.30851D-08  0  1  0.00399  272.11  268.77 0.13845D+15  2.177   38.891   38.316   22.399   54.726   11.59   11.59   11.59
   11.91   14.36 0.30023D-08  0  1  0.00400  272.08  268.79 0.13778D+15  2.177   37.841   37.266   21.345   53.678   11.91   11.91   11.91
   12.24   14.74 0.29239D-08  0  1  0.00401  272.04  268.81 0.13713D+15  2.177   36.846   36.271   20.345   52.685   12.24   12.24   12.24
   12.56   15.13 0.28495D-08  0  1  0.00402  272.01  268.82 0.13650D+15  2.177   35.902   35.327   19.397   51.744   12.56   12.56   12.56
   12.88   15.52 0.27789D-08  0  1  0.00403  271.98  268.84 0.13588D+15  2.178   35.005   34.430   18.496   50.849   12.88   12.88   12.88
   13.20   15.91 0.27117D-08  0  1  0.00404  271.95  268.85 0.13528D+15  2.178   34.153   33.577   17.638   49.999   13.20   13.20   13.20
