R_tot = 1561.0 R_core =  1400.0  Tsurf =   100.00  g =  1.310
   zbot    P(MPa) Hint     conv melt pCLA   Tbot     Tm     etam        k   Fcond_bot Fcond_top   Fbot     Ftop    dlid z_topTBL z_botTBL
   11.59   13.97 0.30851D-08  0  0  0.02413  271.81  268.55 0.14149D+15  2.179   38.824   38.250   22.333   54.660   11.59   11.59   11.59
   11.91   14.36 0.30023D-08  0  0  0.02419  271.78  268.57 0.14085D+15  2.179   37.775   37.201   21.279   53.613   11.91   11.91   11.91
   12.24   14.74 0.29239D-08  0  0  0.02424  271.74  268.58 0.14024D+15  2.179   36.781   36.206   20.280   52.621   12.24   12.24   12.24
   12.56   15.13 0.28495D-08  0  0  0.02430  271.70  268.60 0.13964D+15  2.180   35.837   35.263   19.332   51.680   12.56   12.56   12.56
   12.88   15.52 0.27789D-08  0  0  0.02436  271.67  268.61 0.13906D+15  2.180   34.941   34.367   18.431   50.786   12.88   12.88   12.88
   13.20   15.91 0.27117D-08  0  0  0.02442  271.63  268.62 0.13849D+15  2.180   34.089   33.515   17.574   49.936   13.20   13.20   13.20
   13.52   16.30 0.26476D-08  0  0  0.02448  271.59  268.63 0.13793D+15  2.181   33.277   32.703   16.758   49.127   13.52   13.52   13.52
   13.85   16.68 0.25866D-08  0  0  0.02454  271.56  268.64 0.13739D+15  2.181   32.503   31.929   15.979   48.355   13.85   13.85   13.85
   14.17   17.07 0.25283D-08  0  0  0.02460  271.52  268.65 0.13686D+15  2.181   31.764   31.190   15.236   47.618   14.17   14.17   14.17
   14.49   17.46 0.24727D-08  0  0  0.02466  271.48  268.65 0.13635D+15  2.182   31.058   30.484   14.525   46.914   14.49   14.49   14.49
   14.81   17.85 0.24194D-08  0  0  0.02472  271.44  268.66 0.13584D+15  2.182   30.383   29.809   13.845   46.241   14.81   14.81   14.81
   15.13   18.24 0.23684D-08  0  0  0.02478  271.41  268.67 0.13535D+15  2.182   29.736   29.162   13.194   45.597   15.13   15.13   15.13
   15.46   18.63 0.23196D-08  0  0  0.02484  271.37  268.67 0.13487D+15  2.183   29.116   28.542   12.570   44.980   15.46   15.46   15.46
   15.78   19.01 0.22727D-08  0  0  0.02490  271.33  268.68 0.13440D+15  2.183   28.522   27.948   11.971   44.387   15.78   15.78   15.78
   16.10   19.40 0.22277D-08  0  0  0.02496  271.30  268.68 0.13394D+15  2.183   27.951   27.377   11.395   43.819   16.10   16.10   16.10
   16.42   19.79 0.21845D-08  0  0  0.02502  271.26  268.68 0.13349D+15  2.184   27.403   26.829   10.842   43.273   16.42   16.42   16.42
   16.74   20.18 0.21429D-08  0  0  0.02509  271.22  268.69 0.13304D+15  2.184   26.875   26.302   10.311   42.748   16.74   16.74   16.74
   17.07   20.18 0.21029D-08  1  0  0.02515  271.18  268.69 0.13261D+15  2.184   26.368   25.795   10.026   42.465   10.14   14.64   16.42
   17.39   20.57 0.20644D-08  1  0  0.02521  271.15  268.69 0.13219D+15  2.184   25.879   25.306    9.914   42.352   10.16   14.57   16.74
   17.71   20.96 0.20273D-08  1  0  0.02527  271.11  268.69 0.13177D+15  2.185   25.409   24.835    9.804   42.240   10.19   14.51   17.07
   18.03   21.35 0.19915D-08  1  0  0.02534  271.07  268.69 0.13136D+15  2.185   24.955   24.381    9.696   42.131   10.21   14.45   17.39
   18.35   21.74 0.19570D-08  1  0  0.02540  271.03  268.69 0.13096D+15  2.185   24.516   23.943    9.590   42.023   10.23   14.40   17.72
   18.68   22.13 0.19236D-08  1  0  0.02546  270.99  268.69 0.13057D+15  2.186   24.093   23.520    9.485   41.917   10.25   14.35   18.04
   19.00   22.52 0.18914D-08  1  0  0.02553  270.96  268.69 0.13019D+15  2.186   23.685   23.112    9.383   41.814   10.27   14.30   18.37
   19.32   22.91 0.18603D-08  1  0  0.02559  270.92  268.69 0.12981D+15  2.186   23.290   22.717    9.283   41.712   10.29   14.25   18.69
   19.64   23.30 0.18302D-08  1  0  0.02566  270.88  268.68 0.12944D+15  2.187   22.908   22.335    9.184   41.612   10.31   14.21   19.02
   19.96   23.69 0.18010D-08  1  0  0.02572  270.84  268.68 0.12907D+15  2.187   22.538   21.965    9.086   41.513   10.33   14.17   19.35
   20.29   24.08 0.17728D-08  1  0  0.02579  270.80  268.68 0.12871D+15  2.187   22.180   21.607    8.991   41.416   10.35   14.14   19.67
   20.61   24.47 0.17454D-08  1  0  0.02585  270.76  268.67 0.12836D+15  2.188   21.833   21.260    8.897   41.321   10.37   14.10   20.00
   20.93   24.86 0.17190D-08  1  0  0.02592  270.73  268.67 0.12801D+15  2.188   21.496   20.924    8.804   41.227   10.39   14.07   20.32
   21.25   25.25 0.16933D-08  1  0  0.02599  270.69  268.67 0.12767D+15  2.188   21.170   20.598    8.712   41.134   10.41   14.04   20.65
   21.57   25.64 0.16683D-08  1  0  0.02605  270.65  268.66 0.12734D+15  2.189   20.854   20.282    8.623   41.043   10.43   14.01   20.97
   21.90   26.03 0.16441D-08  1  0  0.02612  270.61  268.66 0.12701D+15  2.189   20.547   19.975    8.534   40.954   10.45   13.98   21.30
   22.22   26.42 0.16206D-08  1  0  0.02619  270.57  268.65 0.12669D+15  2.189   20.249   19.676    8.446   40.865   10.46   13.96   21.63
   22.54   26.81 0.15978D-08  1  0  0.02625  270.53  268.64 0.12637D+15  2.190   19.959   19.387    8.360   40.778   10.48   13.93   21.95
   22.86   27.20 0.15756D-08  1  0  0.02632  270.49  268.64 0.12606D+15  2.190   19.678   19.105    8.275   40.692   10.50   13.91   22.28
   23.18   27.59 0.15541D-08  1  0  0.02639  270.45  268.63 0.12575D+15  2.190   19.404   18.832    8.191   40.607   10.52   13.89   22.61
   23.51   27.98 0.15331D-08  1  0  0.02646  270.41  268.62 0.12545D+15  2.191   19.138   18.566    8.109   40.524   10.53   13.87   22.93
   23.83   28.37 0.15127D-08  1  0  0.02653  270.37  268.62 0.12515D+15  2.191   18.879   18.307    8.027   40.441   10.55   13.85   23.26
   24.15   28.76 0.14928D-08  1  0  0.02659  270.34  268.61 0.12485D+15  2.191   18.627   18.055    7.946   40.360   10.57   13.83   23.58
   24.47   29.16 0.14735D-08  1  0  0.02666  270.30  268.60 0.12456D+15  2.192   18.381   17.809    7.867   40.279   10.58   13.81   23.91
   24.79   29.55 0.14547D-08  1  0  0.02673  270.26  268.59 0.12428D+15  2.192   18.142   17.570    7.788   40.200   10.60   13.80   24.24
   25.12   29.94 0.14363D-08  1  0  0.02680  270.22  268.58 0.12400D+15  2.192   17.909   17.337    7.710   40.122   10.62   13.78   24.57
   25.44   30.33 0.14184D-08  1  0  0.02687  270.18  268.57 0.12372D+15  2.193   17.682   17.110    7.633   40.044   10.63   13.77   24.89
   25.76   30.72 0.14010D-08  1  0  0.02694  270.14  268.56 0.12345D+15  2.193   17.460   16.889    7.557   39.967   10.65   13.76   25.22
   26.08   31.11 0.13840D-08  1  0  0.02702  270.10  268.55 0.12318D+15  2.193   17.244   16.673    7.482   39.892   10.66   13.74   25.55
   26.40   31.50 0.13674D-08  1  0  0.02709  270.06  268.54 0.12292D+15  2.194   17.034   16.462    7.408   39.817   10.68   13.73   25.87
   26.73   31.89 0.13512D-08  1  0  0.02716  270.02  268.53 0.12266D+15  2.194   16.828   16.257    7.334   39.743   10.69   13.72   26.20
   27.05   32.28 0.13354D-08  1  0  0.02723  269.98  268.52 0.12240D+15  2.194   16.627   16.056    7.262   39.670   10.71   13.71   26.53
